                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	1             	0.2317       	0.04139       	--           	0.02081      	0.2351       	0.000347     	0.9793       	0.04702      	0.1357       	0.06767      	0.0916       	0.09167        	--             	--            
FirstTries                            	2317         	1             	1            	0.09572       	0.07072      	0.08982      	0.2351       	0.001497     	0.9934       	0.2029       	0.5855       	0.2921       	0.3953       	0.09167        	0.387          	0.387         
SomeoneTries                          	2317         	1             	1            	0.09572       	0.07072      	0.08982      	0.2351       	0.001497     	0.9934       	0.2029       	0.5855       	0.2921       	0.3953       	0.09167        	0.387          	0.387         
NooneTries                            	7683         	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.09167        	--             	--            
InventionOccurs                       	916          	1             	1            	0.09536       	0.07036      	0.2272       	0.2351       	0.003788     	1.13         	0.5133       	1.481        	0.7388       	1            	0.09167        	0.3866         	0.3866        
InadvertentInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	900          	1             	1            	0.09539       	0.07039      	0.2274       	0.2354       	0            	1.132        	0.5189       	1.493        	0.7463       	1            	0.09167        	0.3866         	0.3866        
IntentionalInfringement               	16           	1             	1            	0.09356       	0.06856      	0.2169       	0.2169       	0.2169       	1.023        	0.1968       	0.8273       	0.3137       	1            	0.09167        	0.3847         	0.3847        
InventionUsed                         	916          	1             	1            	0.09536       	0.07036      	0.2272       	0.2351       	0.003788     	1.13         	0.5133       	1.481        	0.7388       	1            	0.09167        	0.3866         	0.3866        
AllHighValue                          	2033         	1             	0.5022       	0.06416       	--           	0.04652      	0.2496       	0            	0.9824       	0.1359       	0.3648       	0.1824       	0.2022       	0.09167        	--             	--            
FirstTriesHighValue                   	1021         	1             	1            	0.103         	0.07797      	0.09262      	0.2496       	0            	0.9896       	0.2706       	0.7265       	0.3632       	0.4025       	0.09167        	0.3863         	0.3863        
SomeoneTriesHighValue                 	1021         	1             	1            	0.103         	0.07797      	0.09262      	0.2496       	0            	0.9896       	0.2706       	0.7265       	0.3632       	0.4025       	0.09167        	0.3863         	0.3863        
NooneTriesHighValue                   	1012         	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.09167        	--             	--            
InventionOccursHighValue              	411          	1             	1            	0.1012        	0.07615      	0.2301       	0.2496       	0            	1.129        	0.6723       	1.805        	0.9024       	1            	0.09167        	0.386          	0.386         
InadvertentHighValue                  	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	411          	1             	1            	0.1012        	0.07615      	0.2301       	0.2496       	0            	1.129        	0.6723       	1.805        	0.9024       	1            	0.09167        	0.386          	0.386         
IntentionalInfringementHighValue      	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	411          	1             	1            	0.1012        	0.07615      	0.2301       	0.2496       	0            	1.129        	0.6723       	1.805        	0.9024       	1            	0.09167        	0.386          	0.386         
