                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	1             	0.5027       	0.06426       	--           	0.08388      	0.9551       	0            	1.02         	0.08392      	0.3356       	0.1678       	0.2573       	0.2581         	--             	--            
FirstTries                            	5027         	1             	1            	0.1031        	0.0781       	0.1669       	0.9551       	0            	1.064        	0.1669       	0.6676       	0.3338       	0.5118       	0.2581         	0.4991         	0.4991        
SomeoneTries                          	5027         	1             	1            	0.1031        	0.0781       	0.1669       	0.9551       	0            	1.064        	0.1669       	0.6676       	0.3338       	0.5118       	0.2581         	0.4991         	0.4991        
NooneTries                            	4973         	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.2581         	--             	--            
InventionOccurs                       	2573         	1             	1            	0.1003        	0.07528      	0.326        	0.9551       	0            	1.226        	0.3261       	1.304        	0.6521       	1            	0.2581         	0.5404         	0.5404        
InadvertentInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	2573         	1             	1            	0.1003        	0.07528      	0.326        	0.9551       	0            	1.226        	0.3261       	1.304        	0.6521       	1            	0.2581         	0.5404         	0.5404        
IntentionalInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsed                         	2573         	1             	1            	0.1003        	0.07528      	0.326        	0.9551       	0            	1.226        	0.3261       	1.304        	0.6521       	1            	0.2581         	0.5404         	0.5404        
AllHighValue                          	1967         	1             	0.8419       	0.1113        	--           	0.1988       	1.289        	0            	1.087        	0.1988       	0.795        	0.3975       	0.4403       	0.2581         	--             	--            
FirstTriesHighValue                   	1656         	1             	1            	0.1275        	0.1025       	0.2361       	1.289        	0            	1.109        	0.2361       	0.9443       	0.4722       	0.5229       	0.2581         	0.498          	0.498         
SomeoneTriesHighValue                 	1656         	1             	1            	0.1275        	0.1025       	0.2361       	1.289        	0            	1.109        	0.2361       	0.9443       	0.4722       	0.5229       	0.2581         	0.498          	0.498         
NooneTriesHighValue                   	311          	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.2581         	--             	--            
InventionOccursHighValue              	866          	1             	1            	0.1242        	0.09921      	0.4514       	1.289        	0            	1.327        	0.4514       	1.806        	0.9029       	1            	0.2581         	0.5348         	0.5348        
InadvertentHighValue                  	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	866          	1             	1            	0.1242        	0.09921      	0.4514       	1.289        	0            	1.327        	0.4514       	1.806        	0.9029       	1            	0.2581         	0.5348         	0.5348        
IntentionalInfringementHighValue      	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	866          	1             	1            	0.1242        	0.09921      	0.4514       	1.289        	0            	1.327        	0.4514       	1.806        	0.9029       	1            	0.2581         	0.5348         	0.5348        
