                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	1.126         	0.5599       	0.1107        	--           	0.1061       	--           	0.0005503    	0.9999       	0.1002       	0.4126       	0.2061       	0.2795       	0.2806         	--             	--            
FirstTries                            	4953         	1.125         	1.104        	0.1914        	0.1475       	0.2112       	--           	0.001111     	1.025        	0.1994       	0.8213       	0.4103       	0.5643       	0.2806         	--             	--            
SomeoneTries                          	5082         	1.147         	1.102        	0.1911        	0.1471       	0.2087       	--           	0.001083     	1.024        	0.1972       	0.8119       	0.4056       	0.55         	0.2806         	--             	--            
NooneTries                            	4918         	1.103         	0            	0.02759       	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.2806         	0              	0             
InventionOccurs                       	3020         	1.15          	1.114        	0.1922        	0.1464       	0.3512       	--           	0.001822     	1.156        	0.3319       	1.366        	0.6825       	0.9255       	0.2806         	--             	--            
InadvertentInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	3001         	1.151         	1.115        	0.1924        	0.1465       	0.3516       	--           	0            	1.157        	0.333        	1.369        	0.6846       	0.925        	0.2806         	--             	--            
IntentionalInfringement               	19           	1.053         	1.053        	0.1598        	0.1317       	0.2896       	0.2896       	0.2896       	1.031        	0.1555       	0.8902       	0.3451       	1            	0.2806         	0.7692         	0.7907        
InventionUsed                         	3020         	1.15          	1.114        	0.1922        	0.1464       	0.3512       	--           	0.001822     	1.156        	0.3319       	1.366        	0.6825       	0.9255       	0.2806         	--             	--            
AllHighValue                          	1915         	1.131         	1.076        	0.2391        	--           	0.2579       	--           	0            	1.027        	0.2675       	1.051        	0.5253       	0.5415       	0.2806         	--             	--            
FirstTriesHighValue                   	1824         	1.128         	1.123        	0.2484        	0.1963       	0.2698       	--           	0            	1.03         	0.2799       	1.099        	0.5496       	0.5685       	0.2806         	--             	--            
SomeoneTriesHighValue                 	1836         	1.133         	1.122        	0.2483        	0.1962       	0.269        	--           	0            	1.03         	0.279        	1.096        	0.5479       	0.5648       	0.2806         	--             	--            
NooneTriesHighValue                   	79           	1.063         	0            	0.02658       	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.2806         	0              	0             
InventionOccursHighValue              	1116         	1.141         	1.134        	0.247         	0.1934       	0.4425       	--           	0            	1.193        	0.4589       	1.803        	0.9014       	0.9292       	0.2806         	--             	--            
InadvertentHighValue                  	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	1116         	1.141         	1.134        	0.247         	0.1934       	0.4425       	--           	0            	1.193        	0.4589       	1.803        	0.9014       	0.9292       	0.2806         	--             	--            
IntentionalInfringementHighValue      	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	1116         	1.141         	1.134        	0.247         	0.1934       	0.4425       	--           	0            	1.193        	0.4589       	1.803        	0.9014       	0.9292       	0.2806         	--             	--            
