                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	1             	0.1714       	0.03012       	--           	0.01294      	0.9259       	0            	0.9828       	0.01247      	0.05081      	0.0254       	0.0366       	0.03689        	--             	--            
FirstTries                            	1714         	1             	1            	0.05489       	0.02989      	0.07548      	0.9259       	0            	1.021        	0.07274      	0.2964       	0.1482       	0.2135       	0.03689        	0.1851         	0.1851        
SomeoneTries                          	1714         	1             	1            	0.05489       	0.02989      	0.07548      	0.9259       	0            	1.021        	0.07274      	0.2964       	0.1482       	0.2135       	0.03689        	0.1851         	0.1851        
NooneTries                            	8286         	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.03689        	--             	--            
InventionOccurs                       	366          	1             	1            	0.05461       	0.02961      	0.3535       	0.9259       	0            	1.299        	0.3406       	1.388        	0.6941       	1            	0.03689        	0.191          	0.191         
InadvertentInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	366          	1             	1            	0.05461       	0.02961      	0.3535       	0.9259       	0            	1.299        	0.3406       	1.388        	0.6941       	1            	0.03689        	0.191          	0.191         
IntentionalInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsed                         	366          	1             	1            	0.05461       	0.02961      	0.3535       	0.9259       	0            	1.299        	0.3406       	1.388        	0.6941       	1            	0.03689        	0.191          	0.191         
AllHighValue                          	2077         	1             	0.3211       	0.03771       	--           	0.03237      	0.9799       	0            	0.9947       	0.03011      	0.125        	0.06249      	0.06885      	0.03689        	--             	--            
FirstTriesHighValue                   	667          	1             	1            	0.06458       	0.03958      	0.1008       	0.9799       	0            	1.036        	0.09377      	0.3892       	0.1946       	0.2144       	0.03689        	0.1876         	0.1876        
SomeoneTriesHighValue                 	667          	1             	1            	0.06458       	0.03958      	0.1008       	0.9799       	0            	1.036        	0.09377      	0.3892       	0.1946       	0.2144       	0.03689        	0.1876         	0.1876        
NooneTriesHighValue                   	1410         	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.03689        	--             	--            
InventionOccursHighValue              	143          	1             	1            	0.06438       	0.03938      	0.4702       	0.9799       	0            	1.406        	0.4374       	1.815        	0.9076       	1            	0.03689        	0.1957         	0.1957        
InadvertentHighValue                  	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	143          	1             	1            	0.06438       	0.03938      	0.4702       	0.9799       	0            	1.406        	0.4374       	1.815        	0.9076       	1            	0.03689        	0.1957         	0.1957        
IntentionalInfringementHighValue      	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	143          	1             	1            	0.06438       	0.03938      	0.4702       	0.9799       	0            	1.406        	0.4374       	1.815        	0.9076       	1            	0.03689        	0.1957         	0.1957        
