                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	1             	0.8259       	0.5124        	--           	0.5639       	0.9046       	0.5639       	0.9891       	-0.3142      	0.4994       	0.1874       	0.6234       	0.6237         	--             	--            
FirstTries                            	8259         	1             	1            	0.6152        	0.5902       	0.6828       	0.9046       	0.6828       	0.9921       	-0.3804      	0.6047       	0.2269       	0.7548       	0.6237         	0.748          	0.748         
SomeoneTries                          	8259         	1             	1            	0.6152        	0.5902       	0.6828       	0.9046       	0.6828       	0.9921       	-0.3804      	0.6047       	0.2269       	0.7548       	0.6237         	0.748          	0.748         
NooneTries                            	1741         	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.6237         	--             	--            
InventionOccurs                       	6234         	1             	1            	0.6132        	0.5882       	0.9046       	0.9046       	0.9046       	1.191        	-0.504       	0.8011       	0.3006       	1            	0.6237         	0.7495         	0.7495        
InadvertentInfringement               	6234         	1             	1            	0.6132        	0.5882       	0.9046       	0.9046       	0.9046       	1.191        	-0.504       	0.8011       	0.3006       	1            	0.6237         	0.7495         	0.7495        
AgreementReached                      	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
IntentionalInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsed                         	6234         	1             	1            	0.6132        	0.5882       	0.9046       	0.9046       	0.9046       	1.191        	-0.504       	0.8011       	0.3006       	1            	0.6237         	0.7495         	0.7495        
AllHighValue                          	1946         	1             	0.8027       	0.5011        	--           	0.5513       	0.9131       	0.5513       	0.9898       	-0.06879     	0.9651       	0.4222       	0.6038       	0.6237         	--             	--            
FirstTriesHighValue                   	1562         	1             	1            	0.6182        	0.5932       	0.6869       	0.9131       	0.6869       	0.9935       	-0.0857      	1.202        	0.5259       	0.7522       	0.6237         	0.7412         	0.7412        
SomeoneTriesHighValue                 	1562         	1             	1            	0.6182        	0.5932       	0.6869       	0.9131       	0.6869       	0.9935       	-0.0857      	1.202        	0.5259       	0.7522       	0.6237         	0.7412         	0.7412        
NooneTriesHighValue                   	384          	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.6237         	--             	--            
InventionOccursHighValue              	1175         	1             	1            	0.6126        	0.5876       	0.9131       	0.9131       	0.9131       	1.201        	-0.1139      	1.598        	0.6992       	1            	0.6237         	0.7426         	0.7426        
InadvertentHighValue                  	1175         	1             	1            	0.6126        	0.5876       	0.9131       	0.9131       	0.9131       	1.201        	-0.1139      	1.598        	0.6992       	1            	0.6237         	0.7426         	0.7426        
AgreementReachedHighValue             	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
IntentionalInfringementHighValue      	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	1175         	1             	1            	0.6126        	0.5876       	0.9131       	0.9131       	0.9131       	1.201        	-0.1139      	1.598        	0.6992       	1            	0.6237         	0.7426         	0.7426        
