                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	10            	3.95         	0.5509        	--           	0.1681       	--           	0.002588     	1.009        	0.1763       	1.161        	0.8159       	0.0533       	0.05329        	--             	--            
FirstTries                            	3957         	10            	8.407        	0.8807        	0.07647      	0.3241       	--           	0.00654      	0.9897       	0.3448       	1.794        	1.123        	0.1347       	0.05329        	--             	--            
SomeoneTries                          	5946         	10            	6.643        	0.7561        	0.07894      	0.2826       	--           	0.004352     	0.9987       	0.2964       	1.62         	1.04         	0.08964      	0.05329        	--             	--            
NooneTries                            	4054         	10            	0            	0.25          	--           	0            	--           	0            	1.024        	0            	0.4875       	0.4875       	0            	0.05329        	--             	--            
InventionOccurs                       	5178         	10            	7.321        	0.8035        	0.07754      	0.3246       	--           	0.004998     	0.9979       	0.3404       	1.79         	1.123        	0.1029       	0.05329        	--             	--            
InadvertentInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	5093         	10            	7.276        	0.8024        	0.0778       	0.3249       	--           	0            	0.9982       	0.3427       	1.795        	1.127        	0.1035       	0.05329        	--             	--            
IntentionalInfringement               	85           	10            	10           	0.8689        	0.06189      	0.3045       	0.3045       	0.3045       	0.9792       	0.2026       	1.471        	0.8636       	0.07059      	0.05329        	0.09877        	0.9987        
InventionUsed                         	5178         	10            	7.321        	0.8035        	0.07754      	0.3246       	--           	0.004998     	0.9979       	0.3404       	1.79         	1.123        	0.1029       	0.05329        	--             	--            
AllHighValue                          	2019         	10            	7.721        	0.9763        	--           	0.3979       	--           	0            	0.9873       	0.4331       	2.113        	1.282        	0.09361      	0.05329        	--             	--            
FirstTriesHighValue                   	1564         	10            	8.836        	1.064         	0.09434      	0.4152       	--           	0            	0.9798       	0.4607       	2.199        	1.323        	0.1208       	0.05329        	--             	--            
SomeoneTriesHighValue                 	2010         	10            	7.756        	0.9795        	0.09767      	0.3997       	--           	0            	0.9871       	0.4351       	2.121        	1.286        	0.09403      	0.05329        	--             	--            
NooneTriesHighValue                   	9            	10            	0            	0.25          	--           	0            	--           	0            	1.024        	0            	0.4875       	0.4875       	0            	0.05329        	--             	--            
InventionOccursHighValue              	1858         	10            	8.135        	1.011         	0.09671      	0.4324       	--           	0            	0.987        	0.4707       	2.256        	1.352        	0.1017       	0.05329        	--             	--            
InadvertentHighValue                  	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	1858         	10            	8.135        	1.011         	0.09671      	0.4324       	--           	0            	0.987        	0.4707       	2.256        	1.352        	0.1017       	0.05329        	--             	--            
IntentionalInfringementHighValue      	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	1858         	10            	8.135        	1.011         	0.09671      	0.4324       	--           	0            	0.987        	0.4707       	2.256        	1.352        	0.1017       	0.05329        	--             	--            
