                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	1.003         	0.4246       	0.07933       	--           	0.0758       	--           	0.001734     	0.9959       	0.08958      	0.3307       	0.1647       	0.2428       	0.2441         	--             	--            
FirstTries                            	4231         	1.002         	1.002        	0.153         	0.1277       	0.1789       	--           	0.004099     	1.024        	0.2115       	0.7809       	0.3889       	0.5739       	0.2441         	--             	--            
SomeoneTries                          	4238         	1.004         	1.002        	0.1531        	0.1278       	0.1788       	--           	0.004093     	1.024        	0.2114       	0.7804       	0.3887       	0.5729       	0.2441         	--             	--            
NooneTries                            	5762         	1.002         	0            	0.02504       	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.2441         	--             	--            
InventionOccurs                       	2436         	1.005         	1.003        	0.1507        	0.1252       	0.3111       	--           	0.00712      	1.158        	0.3677       	1.358        	0.6762       	0.9967       	0.2441         	--             	--            
InadvertentInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	2371         	1.005         	1.003        	0.1515        	0.1259       	0.3124       	--           	0            	1.161        	0.3746       	1.374        	0.6869       	0.9966       	0.2441         	--             	--            
IntentionalInfringement               	65           	1             	1            	0.1218        	0.09683      	0.2668       	0.2668       	0.2668       	1.045        	0.1179       	0.7695       	0.2847       	1            	0.2441         	0.7353         	0.7353        
InventionUsed                         	2436         	1.005         	1.003        	0.1507        	0.1252       	0.3111       	--           	0.00712      	1.158        	0.3677       	1.358        	0.6762       	0.9967       	0.2441         	--             	--            
AllHighValue                          	2061         	1.003         	0.8278       	0.1547        	--           	0.1712       	0.4166       	0            	1.017        	0.2553       	0.853        	0.4265       	0.4716       	0.2441         	--             	--            
FirstTriesHighValue                   	1700         	1.003         	1.002        	0.182         	0.1566       	0.2075       	0.4166       	0            	1.026        	0.3095       	1.034        	0.5171       	0.5718       	0.2441         	--             	--            
SomeoneTriesHighValue                 	1702         	1.004         	1.002        	0.1821        	0.1566       	0.2073       	0.4166       	0            	1.025        	0.3092       	1.033        	0.5165       	0.5711       	0.2441         	--             	--            
NooneTriesHighValue                   	359          	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.2441         	--             	--            
InventionOccursHighValue              	974          	1.003         	1.003        	0.1809        	0.1553       	0.3622       	0.4166       	0            	1.181        	0.5402       	1.805        	0.9025       	0.9979       	0.2441         	0.6139         	0.6152        
InadvertentHighValue                  	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	974          	1.003         	1.003        	0.1809        	0.1553       	0.3622       	0.4166       	0            	1.181        	0.5402       	1.805        	0.9025       	0.9979       	0.2441         	0.6139         	0.6152        
IntentionalInfringementHighValue      	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	974          	1.003         	1.003        	0.1809        	0.1553       	0.3622       	0.4166       	0            	1.181        	0.5402       	1.805        	0.9025       	0.9979       	0.2441         	0.6139         	0.6152        
