                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	1             	0.787        	0.07273       	--           	0.1299       	0.2995       	0.005333     	1.055        	0.1397       	0.5391       	0.2676       	0.4446       	0.4456         	--             	--            
FirstTries                            	7870         	1             	1            	0.08565       	0.06065      	0.165        	0.2995       	0.006776     	1.077        	0.1775       	0.685        	0.3401       	0.5649       	0.4456         	0.5683         	0.5683        
SomeoneTries                          	7870         	1             	1            	0.08565       	0.06065      	0.165        	0.2995       	0.006776     	1.077        	0.1775       	0.685        	0.3401       	0.5649       	0.4456         	0.5683         	0.5683        
NooneTries                            	2130         	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.4456         	--             	--            
InventionOccurs                       	4446         	1             	1            	0.08656       	0.06156      	0.2921       	0.2995       	0.012        	1.201        	0.3142       	1.213        	0.602        	1            	0.4456         	0.6133         	0.6133        
InadvertentInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	4255         	1             	1            	0.08611       	0.06111      	0.2926       	0.3004       	0            	1.207        	0.3203       	1.226        	0.613        	1            	0.4456         	0.6111         	0.6111        
IntentionalInfringement               	191          	1             	1            	0.09678       	0.07178      	0.2792       	0.2792       	0.2792       	1.082        	0.1778       	0.9141       	0.357        	1            	0.4456         	0.6621         	0.6621        
InventionUsed                         	4446         	1             	1            	0.08656       	0.06156      	0.2921       	0.2995       	0.012        	1.201        	0.3142       	1.213        	0.602        	1            	0.4456         	0.6133         	0.6133        
AllHighValue                          	1983         	1             	1            	0.1134        	0.08843      	0.2692       	0.4273       	0            	1.156        	0.3096       	1.158        	0.5788       	0.644        	0.4456         	0.6404         	0.6404        
FirstTriesHighValue                   	1983         	1             	1            	0.1134        	0.08843      	0.2692       	0.4273       	0            	1.156        	0.3096       	1.158        	0.5788       	0.644        	0.4456         	0.6404         	0.6404        
SomeoneTriesHighValue                 	1983         	1             	1            	0.1134        	0.08843      	0.2692       	0.4273       	0            	1.156        	0.3096       	1.158        	0.5788       	0.644        	0.4456         	0.6404         	0.6404        
NooneTriesHighValue                   	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionOccursHighValue              	1277         	1             	1            	0.1115        	0.08652      	0.418        	0.4273       	0            	1.306        	0.4808       	1.798        	0.8988       	1            	0.4456         	0.6731         	0.6731        
InadvertentHighValue                  	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	1277         	1             	1            	0.1115        	0.08652      	0.418        	0.4273       	0            	1.306        	0.4808       	1.798        	0.8988       	1            	0.4456         	0.6731         	0.6731        
IntentionalInfringementHighValue      	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	1277         	1             	1            	0.1115        	0.08652      	0.418        	0.4273       	0            	1.306        	0.4808       	1.798        	0.8988       	1            	0.4456         	0.6731         	0.6731        
