                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	1             	0.4416       	0.05829       	--           	0.07267      	0.3324       	0.01079      	1.011        	0.07405      	0.2934       	0.1433       	0.2203       	0.2206         	--             	--            
FirstTries                            	4416         	1             	1            	0.1004        	0.07539      	0.1646       	0.3324       	0.02443      	1.056        	0.1677       	0.6645       	0.3245       	0.4989       	0.2206         	0.4937         	0.4937        
SomeoneTries                          	4416         	1             	1            	0.1004        	0.07539      	0.1646       	0.3324       	0.02443      	1.056        	0.1677       	0.6645       	0.3245       	0.4989       	0.2206         	0.4937         	0.4937        
NooneTries                            	5584         	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.2206         	--             	--            
InventionOccurs                       	2203         	1             	1            	0.09807       	0.07307      	0.3299       	0.3324       	0.04897      	1.216        	0.3361       	1.332        	0.6505       	1            	0.2206         	0.5336         	0.5336        
InadvertentInfringement               	209          	1             	1            	0.09593       	0.07093      	0.3374       	0.3374       	0.3374       	1.141        	0.2525       	1.18         	0.4899       	1            	0.2206         	0.5434         	0.5434        
AgreementReached                      	1862         	1             	1            	0.09752       	0.07252      	0.3324       	0.3353       	0            	1.235        	0.3556       	1.376        	0.688        	1            	0.2206         	0.5333         	0.5333        
IntentionalInfringement               	132          	1             	1            	0.1092        	0.08419      	0.2831       	0.2831       	0.2831       	1.074        	0.1934       	0.9531       	0.3765       	1            	0.2206         	0.5223         	0.5223        
InventionUsed                         	2203         	1             	1            	0.09807       	0.07307      	0.3299       	0.3324       	0.04897      	1.216        	0.3361       	1.332        	0.6505       	1            	0.2206         	0.5336         	0.5336        
AllHighValue                          	1938         	1             	0.8153       	0.101         	--           	0.1713       	0.4295       	0.0173       	1.066        	0.1926       	0.7277       	0.3598       	0.4061       	0.2206         	--             	--            
FirstTriesHighValue                   	1580         	1             	1            	0.1182        	0.09319      	0.2101       	0.4295       	0.02122      	1.087        	0.2362       	0.8926       	0.4414       	0.4981       	0.2206         	0.4921         	0.4921        
SomeoneTriesHighValue                 	1580         	1             	1            	0.1182        	0.09319      	0.2101       	0.4295       	0.02122      	1.087        	0.2362       	0.8926       	0.4414       	0.4981       	0.2206         	0.4921         	0.4921        
NooneTriesHighValue                   	358          	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.2206         	--             	--            
InventionOccursHighValue              	787          	1             	1            	0.1151        	0.09013      	0.4217       	0.4295       	0.0426       	1.297        	0.4743       	1.792        	0.8861       	1            	0.2206         	0.5392         	0.5392        
InadvertentHighValue                  	77           	1             	1            	0.1152        	0.09016      	0.4307       	0.4307       	0.4307       	1.216        	0.3755       	1.612        	0.7062       	1            	0.2206         	0.552          	0.552         
AgreementReachedHighValue             	709          	1             	1            	0.1151        	0.09013      	0.4208       	0.4295       	0            	1.306        	0.4852       	1.812        	0.9061       	1            	0.2206         	0.538          	0.538         
IntentionalInfringementHighValue      	1            	1             	1            	0.1151        	0.09009      	0.3667       	0.3667       	0.3667       	1.152        	0.3378       	1.409        	0.6045       	1            	0.2206         	0.408          	0.408         
InventionUsedHighValue                	787          	1             	1            	0.1151        	0.09013      	0.4217       	0.4295       	0.0426       	1.297        	0.4743       	1.792        	0.8861       	1            	0.2206         	0.5392         	0.5392        
