                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	1             	0.2945       	0.04327       	--           	0.05291      	0.3511       	0.05291      	0.9946       	0.04065      	0.1871       	0.07849      	0.1507       	0.1506         	--             	--            
FirstTries                            	2945         	1             	1            	0.08703       	0.06203      	0.1797       	0.3511       	0.1797       	1.041        	0.138        	0.6354       	0.2665       	0.5117       	0.1506         	0.503          	0.503         
SomeoneTries                          	2945         	1             	1            	0.08703       	0.06203      	0.1797       	0.3511       	0.1797       	1.041        	0.138        	0.6354       	0.2665       	0.5117       	0.1506         	0.503          	0.503         
NooneTries                            	7055         	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.1506         	--             	--            
InventionOccurs                       	1507         	1             	1            	0.08415       	0.05915      	0.3511       	0.3511       	0.3511       	1.167        	0.2697       	1.242        	0.5209       	1            	0.1506         	0.5456         	0.5456        
InadvertentInfringement               	1507         	1             	1            	0.08415       	0.05915      	0.3511       	0.3511       	0.3511       	1.167        	0.2697       	1.242        	0.5209       	1            	0.1506         	0.5456         	0.5456        
AgreementReached                      	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
IntentionalInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsed                         	1507         	1             	1            	0.08415       	0.05915      	0.3511       	0.3511       	0.3511       	1.167        	0.2697       	1.242        	0.5209       	1            	0.1506         	0.5456         	0.5456        
AllHighValue                          	1978         	1             	0.6173       	0.0716        	--           	0.1338       	0.4284       	0.1338       	1.031        	0.1175       	0.5027       	0.2201       	0.3124       	0.1506         	--             	--            
FirstTriesHighValue                   	1221         	1             	1            	0.1005        	0.0755       	0.2168       	0.4284       	0.2168       	1.066        	0.1904       	0.8144       	0.3566       	0.5061       	0.1506         	0.4978         	0.4978        
SomeoneTriesHighValue                 	1221         	1             	1            	0.1005        	0.0755       	0.2168       	0.4284       	0.2168       	1.066        	0.1904       	0.8144       	0.3566       	0.5061       	0.1506         	0.4978         	0.4978        
NooneTriesHighValue                   	757          	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.1506         	--             	--            
InventionOccursHighValue              	618          	1             	1            	0.09806       	0.07306      	0.4284       	0.4284       	0.4284       	1.23         	0.3761       	1.609        	0.7045       	1            	0.1506         	0.5434         	0.5434        
InadvertentHighValue                  	618          	1             	1            	0.09806       	0.07306      	0.4284       	0.4284       	0.4284       	1.23         	0.3761       	1.609        	0.7045       	1            	0.1506         	0.5434         	0.5434        
AgreementReachedHighValue             	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
IntentionalInfringementHighValue      	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	618          	1             	1            	0.09806       	0.07306      	0.4284       	0.4284       	0.4284       	1.23         	0.3761       	1.609        	0.7045       	1            	0.1506         	0.5434         	0.5434        
