                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	1             	0.4848       	0.06231       	--           	0.08518      	0.8704       	8.409E-05    	1.023        	0.07528      	0.3209       	0.1604       	0.2425       	0.243          	--             	--            
FirstTries                            	4848         	1             	1            	0.102         	0.07695      	0.1757       	0.8704       	0.0001735    	1.074        	0.1553       	0.6619       	0.3309       	0.5002       	0.243          	0.4926         	0.4926        
SomeoneTries                          	4848         	1             	1            	0.102         	0.07695      	0.1757       	0.8704       	0.0001735    	1.074        	0.1553       	0.6619       	0.3309       	0.5002       	0.243          	0.4926         	0.4926        
NooneTries                            	5152         	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.243          	--             	--            
InventionOccurs                       	2425         	1             	1            	0.09967       	0.07467      	0.3512       	0.8704       	0.0003468    	1.251        	0.3104       	1.323        	0.6616       	1            	0.243          	0.5387         	0.5387        
InadvertentInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	2423         	1             	1            	0.09972       	0.07472      	0.3512       	0.8707       	0            	1.251        	0.3106       	1.323        	0.6617       	1            	0.243          	0.5384         	0.5384        
IntentionalInfringement               	2            	1             	1            	0.04707       	0.02207      	0.4205       	0.4205       	0.4205       	1.273        	0.156        	1.153        	0.4764       	1            	0.243          	0.8999         	0.8999        
InventionUsed                         	2425         	1             	1            	0.09967       	0.07467      	0.3512       	0.8704       	0.0003468    	1.251        	0.3104       	1.323        	0.6616       	1            	0.243          	0.5387         	0.5387        
AllHighValue                          	2065         	1             	0.8208       	0.1053        	--           	0.2025       	1.019        	0            	1.097        	0.1687       	0.7423       	0.3711       	0.4116       	0.243          	--             	--            
FirstTriesHighValue                   	1695         	1             	1            	0.1228        	0.09783      	0.2467       	1.019        	0            	1.124        	0.2055       	0.9043       	0.4522       	0.5015       	0.243          	0.49           	0.49          
SomeoneTriesHighValue                 	1695         	1             	1            	0.1228        	0.09783      	0.2467       	1.019        	0            	1.124        	0.2055       	0.9043       	0.4522       	0.5015       	0.243          	0.49           	0.49          
NooneTriesHighValue                   	370          	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.243          	--             	--            
InventionOccursHighValue              	850          	1             	1            	0.1198        	0.09475      	0.4919       	1.019        	0            	1.372        	0.4097       	1.803        	0.9017       	1            	0.243          	0.5411         	0.5411        
InadvertentHighValue                  	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	850          	1             	1            	0.1198        	0.09475      	0.4919       	1.019        	0            	1.372        	0.4097       	1.803        	0.9017       	1            	0.243          	0.5411         	0.5411        
IntentionalInfringementHighValue      	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	850          	1             	1            	0.1198        	0.09475      	0.4919       	1.019        	0            	1.372        	0.4097       	1.803        	0.9017       	1            	0.243          	0.5411         	0.5411        
