                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	1             	0.6695       	0.1927        	--           	0.2047       	0.3253       	0.0005808    	1.012        	0.2029       	0.8152       	0.4074       	0.6514       	0.6522         	--             	--            
FirstTries                            	6695         	1             	1            	0.2754        	0.2504       	0.3058       	0.3253       	0.0008675    	1.03         	0.303        	1.218        	0.6085       	0.973        	0.6522         	0.9727         	0.9727        
SomeoneTries                          	6695         	1             	1            	0.2754        	0.2504       	0.3058       	0.3253       	0.0008675    	1.03         	0.303        	1.218        	0.6085       	0.973        	0.6522         	0.9727         	0.9727        
NooneTries                            	3305         	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.6522         	--             	--            
InventionOccurs                       	6514         	1             	1            	0.2758        	0.2508       	0.3143       	0.3253       	0.0008916    	1.038        	0.3115       	1.252        	0.6254       	1            	0.6522         	0.9729         	0.9729        
InadvertentInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	6490         	1             	1            	0.2761        	0.2511       	0.3146       	0.3256       	0            	1.038        	0.3119       	1.253        	0.6265       	1            	0.6522         	0.9728         	0.9728        
IntentionalInfringement               	24           	1             	1            	0.2044        	0.1794       	0.242        	0.242        	0.242        	0.9376       	0.1848       	0.8537       	0.3268       	1            	0.6522         	0.9874         	0.9874        
InventionUsed                         	6514         	1             	1            	0.2758        	0.2508       	0.3143       	0.3253       	0.0008916    	1.038        	0.3115       	1.252        	0.6254       	1            	0.6522         	0.9729         	0.9729        
AllHighValue                          	2018         	1             	0.9708       	0.4017        	--           	0.4353       	0.4775       	0            	1.034        	0.4213       	1.713        	0.8566       	0.9534       	0.6522         	--             	--            
FirstTriesHighValue                   	1959         	1             	1            	0.413         	0.388        	0.4484       	0.4775       	0            	1.035        	0.434        	1.765        	0.8824       	0.9821       	0.6522         	0.9802         	0.9802        
SomeoneTriesHighValue                 	1959         	1             	1            	0.413         	0.388        	0.4484       	0.4775       	0            	1.035        	0.434        	1.765        	0.8824       	0.9821       	0.6522         	0.9802         	0.9802        
NooneTriesHighValue                   	59           	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.6522         	--             	--            
InventionOccursHighValue              	1924         	1             	1            	0.4121        	0.3871       	0.4566       	0.4775       	0            	1.045        	0.4419       	1.797        	0.8984       	1            	0.6522         	0.9803         	0.9803        
InadvertentHighValue                  	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	1924         	1             	1            	0.4121        	0.3871       	0.4566       	0.4775       	0            	1.045        	0.4419       	1.797        	0.8984       	1            	0.6522         	0.9803         	0.9803        
IntentionalInfringementHighValue      	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	1924         	1             	1            	0.4121        	0.3871       	0.4566       	0.4775       	0            	1.045        	0.4419       	1.797        	0.8984       	1            	0.6522         	0.9803         	0.9803        
