                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	1             	0.4984       	0.09777       	--           	0.102        	0.3647       	0.0006152    	1.004        	0.1012       	0.4066       	0.2031       	0.2964       	0.2967         	0.293          	0.293         
FirstTries                            	4984         	1             	1            	0.171         	0.146        	0.2047       	0.3647       	0.001234     	1.033        	0.2031       	0.8157       	0.4074       	0.5947       	0.2967         	0.5878         	0.5878        
SomeoneTries                          	4984         	1             	1            	0.171         	0.146        	0.2047       	0.3647       	0.001234     	1.033        	0.2031       	0.8157       	0.4074       	0.5947       	0.2967         	0.5878         	0.5878        
NooneTries                            	5016         	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.2967         	0              	0             
InventionOccurs                       	2964         	1             	1            	0.1707        	0.1457       	0.3443       	0.3647       	0.002076     	1.173        	0.3415       	1.372        	0.6851       	1            	0.2967         	0.6349         	0.6349        
InadvertentInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	2942         	1             	1            	0.171         	0.146        	0.3448       	0.3654       	0            	1.174        	0.3429       	1.375        	0.6877       	1            	0.2967         	0.634          	0.634         
IntentionalInfringement               	22           	1             	1            	0.1417        	0.1167       	0.2796       	0.2796       	0.2796       	1.038        	0.1572       	0.8736       	0.3368       	1            	0.2967         	0.7558         	0.7558        
InventionUsed                         	2964         	1             	1            	0.1707        	0.1457       	0.3443       	0.3647       	0.002076     	1.173        	0.3415       	1.372        	0.6851       	1            	0.2967         	0.6349         	0.6349        
AllHighValue                          	2007         	1             	0.9213       	0.201         	--           	0.2359       	0.4453       	0            	1.035        	0.2654       	1.003        	0.5013       	0.5556       	0.2967         	0.5524         	0.5524        
FirstTriesHighValue                   	1849         	1             	1            	0.2161        	0.1911       	0.2561       	0.4453       	0            	1.04         	0.2881       	1.088        	0.5442       	0.603        	0.2967         	0.5997         	0.5997        
SomeoneTriesHighValue                 	1849         	1             	1            	0.2161        	0.1911       	0.2561       	0.4453       	0            	1.04         	0.2881       	1.088        	0.5442       	0.603        	0.2967         	0.5997         	0.5997        
NooneTriesHighValue                   	158          	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.2967         	0              	0             
InventionOccursHighValue              	1115         	1             	1            	0.2176        	0.1926       	0.4247       	0.4453       	0            	1.207        	0.4777       	1.805        	0.9024       	1            	0.2967         	0.6511         	0.6511        
InadvertentHighValue                  	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	1115         	1             	1            	0.2176        	0.1926       	0.4247       	0.4453       	0            	1.207        	0.4777       	1.805        	0.9024       	1            	0.2967         	0.6511         	0.6511        
IntentionalInfringementHighValue      	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	1115         	1             	1            	0.2176        	0.1926       	0.4247       	0.4453       	0            	1.207        	0.4777       	1.805        	0.9024       	1            	0.2967         	0.6511         	0.6511        
