                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	1             	0.7658       	0.1156        	--           	0.1214       	0.2405       	0.0009426    	1.005        	0.2109       	0.6647       	0.3319       	0.5294       	0.5302         	--             	--            
FirstTries                            	7658         	1             	1            	0.1433        	0.1183       	0.1585       	0.2405       	0.001231     	1.015        	0.2755       	0.868        	0.4334       	0.6913       	0.5302         	0.6924         	0.6924        
SomeoneTries                          	7658         	1             	1            	0.1433        	0.1183       	0.1585       	0.2405       	0.001231     	1.015        	0.2755       	0.868        	0.4334       	0.6913       	0.5302         	0.6924         	0.6924        
NooneTries                            	2342         	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.5302         	--             	--            
InventionOccurs                       	5294         	1             	1            	0.1466        	0.1216       	0.2293       	0.2405       	0.001781     	1.082        	0.3985       	1.256        	0.6269       	1            	0.5302         	0.7178         	0.7178        
InadvertentInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	5246         	1             	1            	0.1468        	0.1218       	0.2296       	0.2409       	0            	1.083        	0.4003       	1.26         	0.63         	1            	0.5302         	0.7171         	0.7171        
IntentionalInfringement               	48           	1             	1            	0.1277        	0.1027       	0.1964       	0.1964       	0.1964       	0.9686       	0.1928       	0.7783       	0.2891       	1            	0.5302         	0.7934         	0.7934        
InventionUsed                         	5294         	1             	1            	0.1466        	0.1216       	0.2293       	0.2405       	0.001781     	1.082        	0.3985       	1.256        	0.6269       	1            	0.5302         	0.7178         	0.7178        
AllHighValue                          	2026         	1             	1            	0.197         	0.172        	0.216        	0.2966       	0            	1.019        	0.4914       	1.415        	0.7073       	0.7858       	0.5302         	0.7798         	0.7798        
FirstTriesHighValue                   	2026         	1             	1            	0.197         	0.172        	0.216        	0.2966       	0            	1.019        	0.4914       	1.415        	0.7073       	0.7858       	0.5302         	0.7798         	0.7798        
SomeoneTriesHighValue                 	2026         	1             	1            	0.197         	0.172        	0.216        	0.2966       	0            	1.019        	0.4914       	1.415        	0.7073       	0.7858       	0.5302         	0.7798         	0.7798        
NooneTriesHighValue                   	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionOccursHighValue              	1592         	1             	1            	0.1951        	0.1701       	0.2748       	0.2966       	0            	1.08         	0.6253       	1.8          	0.9001       	1            	0.5302         	0.7834         	0.7834        
InadvertentHighValue                  	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	1592         	1             	1            	0.1951        	0.1701       	0.2748       	0.2966       	0            	1.08         	0.6253       	1.8          	0.9001       	1            	0.5302         	0.7834         	0.7834        
IntentionalInfringementHighValue      	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	1592         	1             	1            	0.1951        	0.1701       	0.2748       	0.2966       	0            	1.08         	0.6253       	1.8          	0.9001       	1            	0.5302         	0.7834         	0.7834        
