                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	1.454         	1.136        	0.1649        	--           	0.1596       	--           	0.0009466    	1            	0.2164       	0.7521       	0.3756       	0.4506       	0.4519         	--             	--            
FirstTries                            	7795         	1.453         	1.414        	0.1986        	0.1134       	0.202        	--           	0.001214     	1.007        	0.2748       	0.9535       	0.4762       	0.5781       	0.4519         	--             	--            
SomeoneTries                          	8130         	1.475         	1.397        	0.195         	0.1112       	0.1963       	--           	0.001164     	1.006        	0.2662       	0.925        	0.462        	0.5542       	0.4519         	--             	--            
NooneTries                            	1870         	1.359         	0            	0.03398       	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.4519         	--             	--            
InventionOccurs                       	6162         	1.522         	1.471        	0.2097        	0.1155       	0.259        	--           	0.001536     	1.045        	0.3512       	1.22         	0.6096       	0.7313       	0.4519         	--             	--            
InadvertentInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	6121         	1.523         	1.472        	0.21          	0.1156       	0.2592       	--           	0            	1.046        	0.3524       	1.223        	0.6116       	0.7306       	0.4519         	--             	--            
IntentionalInfringement               	41           	1.293         	1.293        	0.1615        	0.1019       	0.2309       	0.2309       	0.2309       	0.9765       	0.176        	0.8137       	0.3068       	0.8293       	0.4519         	0.6993         	0.8382        
InventionUsed                         	6162         	1.522         	1.471        	0.2097        	0.1155       	0.259        	--           	0.001536     	1.045        	0.3512       	1.22         	0.6096       	0.7313       	0.4519         	--             	--            
AllHighValue                          	2003         	1.455         	1.454        	0.2825        	--           	0.2896       	0.378        	0            	1.01         	0.4792       	1.538        	0.7688       	0.6355       	0.4519         	--             	--            
FirstTriesHighValue                   	2001         	1.455         	1.455        	0.2827        	0.1691       	0.2899       	0.378        	0            	1.01         	0.4797       	1.539        	0.7695       	0.6362       	0.4519         	0.6357         	0.8509        
SomeoneTriesHighValue                 	2001         	1.455         	1.455        	0.2827        	0.1691       	0.2899       	0.378        	0            	1.01         	0.4797       	1.539        	0.7695       	0.6362       	0.4519         	0.6357         	0.8509        
NooneTriesHighValue                   	2            	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.4519         	--             	--            
InventionOccursHighValue              	1716         	1.503         	1.503        	0.2874        	0.1655       	0.338        	0.378        	0            	1.047        	0.5593       	1.795        	0.8974       	0.7418       	0.4519         	0.6237         	0.8612        
InadvertentHighValue                  	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	1716         	1.503         	1.503        	0.2874        	0.1655       	0.338        	0.378        	0            	1.047        	0.5593       	1.795        	0.8974       	0.7418       	0.4519         	0.6237         	0.8612        
IntentionalInfringementHighValue      	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	1716         	1.503         	1.503        	0.2874        	0.1655       	0.338        	0.378        	0            	1.047        	0.5593       	1.795        	0.8974       	0.7418       	0.4519         	0.6237         	0.8612        
