                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	1.015         	0.4467       	0.05919       	--           	--           	--           	--           	--           	--           	0.2707       	0.1322       	0.208        	0.2075         	--             	--            
FirstTries                            	4405         	1.013         	1.012        	0.1019        	0.07564      	0.1517       	--           	0.02229      	1.043        	0.155        	0.6135       	0.2996       	0.4722       	0.2075         	--             	--            
SomeoneTries                          	4414         	1.015         	1.012        	0.102         	0.07566      	--           	--           	--           	--           	--           	0.6134       	0.2995       	0.4712       	0.2075         	--             	--            
NooneTries                            	5586         	1.015         	0            	0.02538       	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.2075         	--             	--            
InventionOccurs                       	2102         	1.02          	1.017        	0.1002        	0.07334      	--           	--           	--           	--           	--           	1.288        	0.6289       	0.9895       	0.2075         	--             	--            
InadvertentInfringement               	207          	1.019         	1.014        	0.102         	0.07536      	--           	--           	--           	--           	--           	1.123        	0.4613       	0.9855       	0.2075         	--             	--            
AgreementReached                      	1784         	1.019         	1.016        	0.09915       	0.07244      	0.3201       	--           	0            	1.22         	0.3442       	1.329        	0.6643       	0.9905       	0.2075         	--             	--            
IntentionalInfringement               	111          	1.036         	1.036        	0.1131        	0.08406      	0.287        	0.287        	0.287        	1.074        	0.185        	0.9439       	0.372        	0.982        	0.2075         	0.5197         	0.5313        
InventionUsed                         	2102         	1.02          	1.017        	0.1002        	0.07334      	--           	--           	--           	--           	--           	1.288        	0.6289       	0.9895       	0.2075         	--             	--            
AllHighValue                          	1977         	1.013         	0.7521       	0.0987        	--           	0.1506       	--           	0.01479      	1.048        	0.1671       	0.6355       	0.3143       	0.352        	0.2075         	--             	--            
FirstTriesHighValue                   	1470         	1.012         	1.01         	0.1238        	0.09753      	0.2023       	--           	0.01989      	1.073        	0.2245       	0.8535       	0.4221       	0.4735       	0.2075         	--             	--            
SomeoneTriesHighValue                 	1472         	1.014         	1.01         	0.1239        	0.09756      	0.2023       	--           	0.01986      	1.073        	0.2245       	0.8535       	0.4222       	0.4728       	0.2075         	--             	--            
NooneTriesHighValue                   	505          	1.01          	0            	0.02525       	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.2075         	--             	--            
InventionOccursHighValue              	703          	1.023         	1.018        	0.1218        	0.09441      	0.4236       	--           	0.04158      	1.29         	0.47         	1.787        	0.8839       	0.99         	0.2075         	--             	--            
InadvertentHighValue                  	68           	1             	1            	0.1187        	0.09371      	0.4299       	0.4299       	0.4299       	1.211        	0.3759       	1.612        	0.7058       	1            	0.2075         	0.5345         	0.5345        
AgreementReachedHighValue             	635          	1.025         	1.02         	0.1221        	0.09448      	0.423        	--           	0            	1.298        	0.4801       	1.806        	0.903        	0.989        	0.2075         	--             	--            
IntentionalInfringementHighValue      	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	703          	1.023         	1.018        	0.1218        	0.09441      	0.4236       	--           	0.04158      	1.29         	0.47         	1.787        	0.8839       	0.99         	0.2075         	--             	--            
