                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	1             	0.482        	0.09552       	--           	0.09895      	0.3689       	0.0005938    	1.003        	0.09666      	0.3912       	0.1954       	0.2871       	0.2902         	--             	--            
FirstTries                            	4820         	1             	1            	0.1713        	0.1463       	0.2053       	0.3689       	0.001232     	1.034        	0.2005       	0.8117       	0.4054       	0.5956       	0.2902         	0.5911         	0.5911        
SomeoneTries                          	4820         	1             	1            	0.1713        	0.1463       	0.2053       	0.3689       	0.001232     	1.034        	0.2005       	0.8117       	0.4054       	0.5956       	0.2902         	0.5911         	0.5911        
NooneTries                            	5180         	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.2902         	--             	--            
InventionOccurs                       	2871         	1             	1            	0.17          	0.145        	0.3446       	0.3689       	0.002068     	1.174        	0.3367       	1.363        	0.6806       	1            	0.2902         	0.6249         	0.6249        
InadvertentInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	2850         	1             	1            	0.1701        	0.1451       	0.3451       	0.3695       	0            	1.175        	0.3378       	1.366        	0.6829       	1            	0.2902         	0.6239         	0.6239        
IntentionalInfringement               	21           	1             	1            	0.1484        	0.1234       	0.2828       	0.2828       	0.2828       	1.034        	0.1908       	0.9472       	0.3736       	1            	0.2902         	0.7576         	0.7576        
InventionUsed                         	2871         	1             	1            	0.17          	0.145        	0.3446       	0.3689       	0.002068     	1.174        	0.3367       	1.363        	0.6806       	1            	0.2902         	0.6249         	0.6249        
AllHighValue                          	2028         	1             	0.8831       	0.1993        	--           	0.2331       	0.4568       	0            	1.034        	0.2511       	0.9684       	0.4842       	0.537        	0.2902         	--             	--            
FirstTriesHighValue                   	1791         	1             	1            	0.2224        	0.1974       	0.2639       	0.4568       	0            	1.042        	0.2843       	1.097        	0.5483       	0.608        	0.2902         	0.606          	0.606         
SomeoneTriesHighValue                 	1791         	1             	1            	0.2224        	0.1974       	0.2639       	0.4568       	0            	1.042        	0.2843       	1.097        	0.5483       	0.608        	0.2902         	0.606          	0.606         
NooneTriesHighValue                   	237          	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.2902         	--             	--            
InventionOccursHighValue              	1089         	1             	1            	0.22          	0.195        	0.4341       	0.4568       	0            	1.214        	0.4676       	1.803        	0.9017       	1            	0.2902         	0.6453         	0.6453        
InadvertentHighValue                  	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	1089         	1             	1            	0.22          	0.195        	0.4341       	0.4568       	0            	1.214        	0.4676       	1.803        	0.9017       	1            	0.2902         	0.6453         	0.6453        
IntentionalInfringementHighValue      	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	1089         	1             	1            	0.22          	0.195        	0.4341       	0.4568       	0            	1.214        	0.4676       	1.803        	0.9017       	1            	0.2902         	0.6453         	0.6453        
