                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	1             	0.8147       	0.08141       	--           	0.214        	0.2858       	0.008567     	1.129        	0.2333       	0.8945       	0.4442       	0.7767       	0.7829         	--             	--            
FirstTries                            	8147         	1             	1            	0.09424       	0.06924      	0.2627       	0.2858       	0.01052      	1.165        	0.2863       	1.098        	0.5452       	0.9534       	0.7829         	0.9511         	0.9511        
SomeoneTries                          	8147         	1             	1            	0.09424       	0.06924      	0.2627       	0.2858       	0.01052      	1.165        	0.2863       	1.098        	0.5452       	0.9534       	0.7829         	0.9511         	0.9511        
NooneTries                            	1853         	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.7829         	--             	--            
InventionOccurs                       	7767         	1             	1            	0.09401       	0.06901      	0.2755       	0.2858       	0.01103      	1.178        	0.3003       	1.152        	0.5719       	1            	0.7829         	0.9511         	0.9511        
InadvertentInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	7456         	1             	1            	0.09355       	0.06855      	0.2755       	0.2862       	0            	1.182        	0.3052       	1.161        	0.5807       	1            	0.7829         	0.9511         	0.9511        
IntentionalInfringement               	311          	1             	1            	0.105         	0.07999      	0.2755       	0.2755       	0.2755       	1.07         	0.1834       	0.9178       	0.3589       	1            	0.7829         	0.9511         	0.9511        
InventionUsed                         	7767         	1             	1            	0.09401       	0.06901      	0.2755       	0.2858       	0.01103      	1.178        	0.3003       	1.152        	0.5719       	1            	0.7829         	0.9511         	0.9511        
AllHighValue                          	1973         	1             	1            	0.1023        	0.07733      	0.3993       	0.4279       	0.0001829    	1.297        	0.4629       	1.724        	0.8622       	0.9584       	0.7829         	0.9512         	0.9512        
FirstTriesHighValue                   	1973         	1             	1            	0.1023        	0.07733      	0.3993       	0.4279       	0.0001829    	1.297        	0.4629       	1.724        	0.8622       	0.9584       	0.7829         	0.9512         	0.9512        
SomeoneTriesHighValue                 	1973         	1             	1            	0.1023        	0.07733      	0.3993       	0.4279       	0.0001829    	1.297        	0.4629       	1.724        	0.8622       	0.9584       	0.7829         	0.9512         	0.9512        
NooneTriesHighValue                   	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionOccursHighValue              	1891         	1             	1            	0.1022        	0.07722      	0.4166       	0.4279       	0.0001909    	1.314        	0.483        	1.799        	0.8996       	1            	0.7829         	0.9512         	0.9512        
InadvertentHighValue                  	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	1890         	1             	1            	0.1022        	0.07722      	0.4166       	0.428        	0            	1.314        	0.4831       	1.799        	0.8997       	1            	0.7829         	0.9512         	0.9512        
IntentionalInfringementHighValue      	1            	1             	1            	0.09685       	0.07185      	0.361        	0.361        	0.361        	1.164        	0.3427       	1.407        	0.6036       	1            	0.7829         	0.9507         	0.9507        
InventionUsedHighValue                	1891         	1             	1            	0.1022        	0.07722      	0.4166       	0.4279       	0.0001909    	1.314        	0.483        	1.799        	0.8996       	1            	0.7829         	0.9512         	0.9512        
