                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	1.01          	0.4441       	0.09263       	--           	0.09466      	--           	0.00986      	0.9997       	0.08753      	0.3644       	0.1795       	0.2664       	0.2708         	--             	--            
FirstTries                            	4398         	1.01          	1.008        	0.1781        	0.1518       	0.2151       	--           	0.02242      	1.031        	0.1989       	0.8278       	0.4078       	0.6057       	0.2708         	--             	--            
SomeoneTries                          	4408         	1.012         	1.007        	0.1781        	0.1518       	0.2148       	--           	0.02237      	1.031        	0.1986       	0.8267       	0.4072       	0.6044       	0.2708         	--             	--            
NooneTries                            	5592         	1.009         	0            	0.02523       	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.2708         	--             	--            
InventionOccurs                       	2684         	1.013         	1.01         	0.1752        	0.1487       	0.3527       	--           	0.03674      	1.167        	0.3261       	1.358        	0.6688       	0.9925       	0.2708         	--             	--            
InadvertentInfringement               	254          	1.016         	1.016        	0.1746        	0.1468       	0.3686       	0.3686       	0.3686       	1.093        	0.2277       	1.193        	0.4963       	0.9882       	0.2708         	0.6498         	0.6559        
AgreementReached                      	2416         	1.013         	1.009        	0.1752        	0.1488       	0.351        	--           	0            	1.176        	0.3377       	1.377        	0.6887       	0.993        	0.2708         	--             	--            
IntentionalInfringement               	14           	1             	1            	0.1866        	0.1616       	0.3555       	0.3555       	0.3555       	1.069        	0.1136       	0.9382       	0.3691       	1            	0.2708         	0.7282         	0.7282        
InventionUsed                         	2684         	1.013         	1.01         	0.1752        	0.1487       	0.3527       	--           	0.03674      	1.167        	0.3261       	1.358        	0.6688       	0.9925       	0.2708         	--             	--            
AllHighValue                          	1962         	1.009         	0.8945       	0.1988        	--           	0.2341       	--           	0.02462      	1.03         	0.2441       	0.9563       	0.4725       	0.5321       	0.2708         	--             	--            
FirstTriesHighValue                   	1740         	1.009         	1.008        	0.2209        	0.1942       	0.2639       	--           	0.02776      	1.037        	0.2752       	1.078        	0.5328       	0.6          	0.2708         	--             	--            
SomeoneTriesHighValue                 	1741         	1.009         	1.008        	0.2209        	0.1942       	0.2638       	--           	0.02774      	1.037        	0.275        	1.078        	0.5325       	0.5997       	0.2708         	--             	--            
NooneTriesHighValue                   	221          	1.005         	0            	0.02511       	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.2708         	--             	--            
InventionOccursHighValue              	1051         	1.01          	1.009        	0.217         	0.1904       	0.437        	--           	0.04596      	1.209        	0.4556       	1.785        	0.8821       	0.9933       	0.2708         	--             	--            
InadvertentHighValue                  	110          	1.009         	1.009        	0.213         	0.1861       	0.4391       	0.4391       	0.4391       	1.125        	0.3569       	1.592        	0.696        	0.9909       	0.2708         	0.6581         	0.661         
AgreementReachedHighValue             	941          	1.01          	1.009        	0.2175        	0.1909       	0.4367       	--           	0            	1.219        	0.4671       	1.808        	0.9039       	0.9936       	0.2708         	--             	--            
IntentionalInfringementHighValue      	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	1051         	1.01          	1.009        	0.217         	0.1904       	0.437        	--           	0.04596      	1.209        	0.4556       	1.785        	0.8821       	0.9933       	0.2708         	--             	--            
