                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	1             	0.4689       	0.08938       	--           	0.09243      	0.3664       	0.0005583    	1.048        	0.09135      	0.8631       	0.6791       	0.2679       	0.2748         	--             	--            
FirstTries                            	4689         	1             	1            	0.1623        	0.1373       	0.1971       	0.3664       	0.001191     	1.076        	0.1948       	1.276        	0.8834       	0.5713       	0.2748         	0.5759         	0.5759        
SomeoneTries                          	4689         	1             	1            	0.1623        	0.1373       	0.1971       	0.3664       	0.001191     	1.076        	0.1948       	1.276        	0.8834       	0.5713       	0.2748         	0.5759         	0.5759        
NooneTries                            	5311         	1             	0            	0.025         	--           	0            	--           	0            	1.024        	0            	0.4988       	0.4988       	0            	0.2748         	--             	--            
InventionOccurs                       	2679         	1             	1            	0.1634        	0.1384       	0.345        	0.3664       	0.002084     	1.223        	0.341        	1.864        	1.177        	1            	0.2748         	0.6118         	0.6118        
InadvertentInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	2661         	1             	1            	0.1635        	0.1385       	0.3452       	0.3668       	0            	1.224        	0.3424       	1.867        	1.179        	1            	0.2748         	0.6109         	0.6109        
IntentionalInfringement               	18           	1             	1            	0.1589        	0.1339       	0.3101       	0.3101       	0.3101       	1.093        	0.1343       	1.381        	0.8365       	1            	0.2748         	0.743          	0.743         
InventionUsed                         	2679         	1             	1            	0.1634        	0.1384       	0.345        	0.3664       	0.002084     	1.223        	0.341        	1.864        	1.177        	1            	0.2748         	0.6118         	0.6118        
AllHighValue                          	2034         	1             	0.8687       	0.1893        	--           	0.2165       	0.4525       	0            	1.068        	0.2422       	1.408        	0.9493       	0.5079       	0.2748         	--             	--            
FirstTriesHighValue                   	1767         	1             	1            	0.2141        	0.1891       	0.2492       	0.4525       	0            	1.074        	0.2788       	1.545        	1.017        	0.5846       	0.2748         	0.5969         	0.5969        
SomeoneTriesHighValue                 	1767         	1             	1            	0.2141        	0.1891       	0.2492       	0.4525       	0            	1.074        	0.2788       	1.545        	1.017        	0.5846       	0.2748         	0.5969         	0.5969        
NooneTriesHighValue                   	267          	1             	0            	0.025         	--           	0            	--           	0            	1.024        	0            	0.4988       	0.4988       	0            	0.2748         	--             	--            
InventionOccursHighValue              	1033         	1             	1            	0.2115        	0.1865       	0.4264       	0.4525       	0            	1.254        	0.4769       	2.296        	1.393        	1            	0.2748         	0.6332         	0.6332        
InadvertentHighValue                  	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	1033         	1             	1            	0.2115        	0.1865       	0.4264       	0.4525       	0            	1.254        	0.4769       	2.296        	1.393        	1            	0.2748         	0.6332         	0.6332        
IntentionalInfringementHighValue      	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	1033         	1             	1            	0.2115        	0.1865       	0.4264       	0.4525       	0            	1.254        	0.4769       	2.296        	1.393        	1            	0.2748         	0.6332         	0.6332        
