                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	1.119         	0.8245       	0.2291        	--           	0.2203       	--           	0.001061     	1.001        	0.2199       	0.8803       	0.4398       	0.6758       	0.6784         	--             	--            
FirstTries                            	7348         	1.121         	1.11         	0.3001        	0.2446       	0.298        	--           	0.001444     	1.011        	0.2974       	1.191        	0.595        	0.9197       	0.6784         	--             	--            
SomeoneTries                          	7435         	1.131         	1.109        	0.2987        	0.2433       	0.2963       	--           	0.001427     	1.01         	0.2957       	1.184        	0.5916       	0.9089       	0.6784         	--             	--            
NooneTries                            	2565         	1.085         	0            	0.02712       	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.6784         	--             	--            
InventionOccurs                       	7252         	1.133         	1.112        	0.3004        	0.2443       	0.3038       	--           	0.001463     	1.016        	0.3032       	1.214        	0.6065       	0.9319       	0.6784         	--             	--            
InadvertentInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	7218         	1.134         	1.112        	0.3006        	0.2443       	0.3037       	--           	0            	1.017        	0.3042       	1.216        	0.6079       	0.9316       	0.6784         	--             	--            
IntentionalInfringement               	34           	1             	1            	0.2678        	0.2428       	0.3121       	0.3121       	0.3121       	0.9443       	0.095        	0.8142       	0.3071       	1            	0.6784         	0.9851         	0.9851        
InventionUsed                         	7252         	1.133         	1.112        	0.3004        	0.2443       	0.3038       	--           	0.001463     	1.016        	0.3032       	1.214        	0.6065       	0.9319       	0.6784         	--             	--            
AllHighValue                          	1983         	1.118         	1.117        	0.4622        	--           	0.4469       	--           	0            	1.008        	0.4434       	1.781        	0.8904       	0.9314       	0.6784         	--             	--            
FirstTriesHighValue                   	1982         	1.118         	1.118        	0.4625        	0.3878       	0.4472       	--           	0            	1.008        	0.4437       	1.782        	0.8908       	0.9319       	0.6784         	--             	--            
SomeoneTriesHighValue                 	1982         	1.118         	1.118        	0.4625        	0.3878       	0.4472       	--           	0            	1.008        	0.4437       	1.782        	0.8908       	0.9319       	0.6784         	--             	--            
NooneTriesHighValue                   	1            	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.6784         	--             	--            
InventionOccursHighValue              	1957         	1.12          	1.119        	0.4627        	0.3874       	0.4529       	--           	0            	1.014        	0.4493       	1.804        	0.9022       	0.9438       	0.6784         	--             	--            
InadvertentHighValue                  	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	1957         	1.12          	1.119        	0.4627        	0.3874       	0.4529       	--           	0            	1.014        	0.4493       	1.804        	0.9022       	0.9438       	0.6784         	--             	--            
IntentionalInfringementHighValue      	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	1957         	1.12          	1.119        	0.4627        	0.3874       	0.4529       	--           	0            	1.014        	0.4493       	1.804        	0.9022       	0.9438       	0.6784         	--             	--            
