                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	1             	0.4791       	0.06076       	--           	0.07627      	0.3224       	0.003089     	1.061        	0.08153      	0.8126       	0.6537       	0.2401       	0.2499         	--             	--            
FirstTries                            	4791         	1             	1            	0.09964       	0.07464      	0.1592       	0.3224       	0.006448     	1.102        	0.1702       	1.154        	0.8221       	0.5011       	0.2499         	0.4848         	0.4848        
SomeoneTries                          	4791         	1             	1            	0.09964       	0.07464      	0.1592       	0.3224       	0.006448     	1.102        	0.1702       	1.154        	0.8221       	0.5011       	0.2499         	0.4848         	0.4848        
NooneTries                            	5209         	1             	0            	0.025         	--           	0            	--           	0            	1.024        	0            	0.4988       	0.4988       	0            	0.2499         	--             	--            
InventionOccurs                       	2401         	1             	1            	0.09778       	0.07278      	0.3177       	0.3224       	0.01287      	1.26         	0.3396       	1.81         	1.148        	1            	0.2499         	0.5248         	0.5248        
InadvertentInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	2292         	1             	1            	0.09732       	0.07232      	0.3193       	0.3243       	0            	1.267        	0.3472       	1.828        	1.162        	1            	0.2499         	0.5254         	0.5254        
IntentionalInfringement               	109          	1             	1            	0.1074        	0.08243      	0.2834       	0.2834       	0.2834       	1.121        	0.1802       	1.422        	0.8582       	1            	0.2499         	0.5122         	0.5122        
InventionUsed                         	2401         	1             	1            	0.09778       	0.07278      	0.3177       	0.3224       	0.01287      	1.26         	0.3396       	1.81         	1.148        	1            	0.2499         	0.5248         	0.5248        
AllHighValue                          	1981         	1             	0.8299       	0.1064        	--           	0.1815       	0.4281       	0            	1.12         	0.2088       	1.275        	0.8849       	0.4321       	0.2499         	--             	--            
FirstTriesHighValue                   	1644         	1             	1            	0.1231        	0.09808      	0.2187       	0.4281       	0            	1.139        	0.2515       	1.434        	0.9641       	0.5207       	0.2499         	0.4912         	0.4912        
SomeoneTriesHighValue                 	1644         	1             	1            	0.1231        	0.09808      	0.2187       	0.4281       	0            	1.139        	0.2515       	1.434        	0.9641       	0.5207       	0.2499         	0.4912         	0.4912        
NooneTriesHighValue                   	337          	1             	0            	0.025         	--           	0            	--           	0            	1.024        	0            	0.4988       	0.4988       	0            	0.2499         	--             	--            
InventionOccursHighValue              	856          	1             	1            	0.1204        	0.09543      	0.42         	0.4281       	0            	1.344        	0.4831       	2.3          	1.397        	1            	0.2499         	0.5348         	0.5348        
InadvertentHighValue                  	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	856          	1             	1            	0.1204        	0.09543      	0.42         	0.4281       	0            	1.344        	0.4831       	2.3          	1.397        	1            	0.2499         	0.5348         	0.5348        
IntentionalInfringementHighValue      	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	856          	1             	1            	0.1204        	0.09543      	0.42         	0.4281       	0            	1.344        	0.4831       	2.3          	1.397        	1            	0.2499         	0.5348         	0.5348        
