                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	1.275         	0.5996       	0.1213        	--           	0.117        	--           	0.0005492    	0.9994       	0.106        	0.446        	0.2228       	0.2629       	0.3081         	--             	--            
FirstTries                            	4681         	1.274         	1.232        	0.2166        	0.1495       	0.2438       	--           	0.001173     	1.027        	0.2203       	0.9283       	0.4637       	0.5616       	0.3081         	--             	--            
SomeoneTries                          	4912         	1.308         	1.221        	0.2148        	0.1485       	0.2382       	--           	0.001118     	1.025        	0.2158       	0.908        	0.4536       	0.5352       	0.3081         	--             	--            
NooneTries                            	5088         	1.242         	0            	0.03105       	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.3081         	--             	--            
InventionOccurs                       	3169         	1.352         	1.286        	0.2232        	0.1464       	0.3692       	--           	0.001733     	1.131        	0.3345       	1.407        	0.7031       	0.8296       	0.3081         	--             	--            
InadvertentInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	3150         	1.354         	1.287        	0.2236        	0.1465       	0.3697       	--           	0            	1.132        	0.3358       	1.411        	0.7055       	0.8292       	0.3081         	--             	--            
IntentionalInfringement               	19           	1.105         	1.105        	0.1549        	0.1244       	0.2891       	0.2891       	0.2891       	1.032        	0.1248       	0.8276       	0.3138       	0.8947       	0.3081         	0.7351         	0.7832        
InventionUsed                         	3169         	1.352         	1.286        	0.2232        	0.1464       	0.3692       	--           	0.001733     	1.131        	0.3345       	1.407        	0.7031       	0.8296       	0.3081         	--             	--            
AllHighValue                          	2033         	1.276         	1.172        	0.2627        	--           	0.2931       	--           	0            	1.028        	0.2685       	1.123        	0.5616       	0.5184       	0.3081         	--             	--            
FirstTriesHighValue                   	1851         	1.278         	1.267        	0.2815        	0.1974       	0.3183       	--           	0            	1.034        	0.2912       	1.219        	0.6095       	0.5694       	0.3081         	--             	--            
SomeoneTriesHighValue                 	1887         	1.291         	1.262        	0.2809        	0.1974       	0.3158       	--           	0            	1.032        	0.2893       	1.21         	0.6051       	0.5586       	0.3081         	--             	--            
NooneTriesHighValue                   	146          	1.075         	0            	0.02688       	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.3081         	--             	--            
InventionOccursHighValue              	1264         	1.35          	1.334        	0.2936        	0.1953       	0.4714       	--           	0            	1.157        	0.4319       	1.807        	0.9033       	0.8339       	0.3081         	--             	--            
InadvertentHighValue                  	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	1264         	1.35          	1.334        	0.2936        	0.1953       	0.4714       	--           	0            	1.157        	0.4319       	1.807        	0.9033       	0.8339       	0.3081         	--             	--            
IntentionalInfringementHighValue      	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	1264         	1.35          	1.334        	0.2936        	0.1953       	0.4714       	--           	0            	1.157        	0.4319       	1.807        	0.9033       	0.8339       	0.3081         	--             	--            
