                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	1.612         	0.8175       	0.1062        	--           	0.1049       	--           	0.003869     	1.001        	0.1116       	0.433        	0.2151       	0.2146       	0.2085         	--             	--            
FirstTries                            	5082         	1.616         	1.509        	0.1613        	0.08072      	0.1953       	--           	0.007613     	1.025        	0.2086       	0.8077       	0.4012       	0.4223       	0.2085         	--             	--            
SomeoneTries                          	5589         	1.651         	1.463        	0.1592        	0.08143      	0.1876       	--           	0.006922     	1.022        	0.1997       	0.7747       	0.3849       	0.384        	0.2085         	--             	--            
NooneTries                            	4411         	1.562         	0            	0.03906       	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.2085         	--             	--            
InventionOccurs                       	3332         	1.711         	1.577        	0.1659        	0.07864      	0.3147       	--           	0.01161      	1.103        	0.335        	1.299        	0.6456       	0.6441       	0.2085         	--             	--            
InadvertentInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	3197         	1.713         	1.573        	0.1654        	0.07849      	0.3159       	--           	0            	1.107        	0.3411       	1.314        	0.657        	0.6431       	0.2085         	--             	--            
IntentionalInfringement               	135          	1.681         	1.681        	0.1782        	0.08219      	0.2866       	0.2866       	0.2866       	1.014        	0.1907       	0.9546       	0.3773       	0.6667       	0.2085         	0.3965         	0.6579        
InventionUsed                         	3332         	1.711         	1.577        	0.1659        	0.07864      	0.3147       	--           	0.01161      	1.103        	0.335        	1.299        	0.6456       	0.6441       	0.2085         	--             	--            
AllHighValue                          	1988         	1.6           	1.389        	0.1832        	--           	0.2336       	--           	0            	1.039        	0.2665       	1            	0.5002       	0.3597       	0.2085         	--             	--            
FirstTriesHighValue                   	1732         	1.601         	1.54         	0.1973        	0.1032       	0.2603       	--           	0            	1.048        	0.2981       	1.117        	0.5584       	0.4128       	0.2085         	--             	--            
SomeoneTriesHighValue                 	1827         	1.622         	1.512        	0.1964        	0.1046       	0.2542       	--           	0            	1.044        	0.29         	1.088        	0.5442       	0.3914       	0.2085         	--             	--            
NooneTriesHighValue                   	161          	1.354         	0            	0.03385       	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.2085         	--             	--            
InventionOccursHighValue              	1104         	1.686         	1.618        	0.204         	0.1008       	0.4207       	--           	0            	1.155        	0.48         	1.801        	0.9007       	0.6476       	0.2085         	--             	--            
InadvertentHighValue                  	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	1104         	1.686         	1.618        	0.204         	0.1008       	0.4207       	--           	0            	1.155        	0.48         	1.801        	0.9007       	0.6476       	0.2085         	--             	--            
IntentionalInfringementHighValue      	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	1104         	1.686         	1.618        	0.204         	0.1008       	0.4207       	--           	0            	1.155        	0.48         	1.801        	0.9007       	0.6476       	0.2085         	--             	--            
