                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	1             	0.4761       	0.08139       	--           	0.0865       	0.3409       	0.002483     	1.004        	0.0907       	0.3544       	0.1764       	0.259        	0.2626         	--             	--            
FirstTries                            	4761         	1             	1            	0.1434        	0.1184       	0.1817       	0.3409       	0.005216     	1.037        	0.1905       	0.7444       	0.3705       	0.544        	0.2626         	0.5396         	0.5396        
SomeoneTries                          	4761         	1             	1            	0.1434        	0.1184       	0.1817       	0.3409       	0.005216     	1.037        	0.1905       	0.7444       	0.3705       	0.544        	0.2626         	0.5396         	0.5396        
NooneTries                            	5239         	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.2626         	--             	--            
InventionOccurs                       	2590         	1             	1            	0.1385        	0.1135       	0.334        	0.3409       	0.009589     	1.192        	0.3502       	1.368        	0.6811       	1            	0.2626         	0.5732         	0.5732        
InadvertentInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	2511         	1             	1            	0.1384        	0.1134       	0.3346       	0.3418       	0            	1.196        	0.3565       	1.382        	0.6911       	1            	0.2626         	0.5726         	0.5726        
IntentionalInfringement               	79           	1             	1            	0.142         	0.117        	0.3144       	0.3144       	0.3144       	1.072        	0.1498       	0.9283       	0.3641       	1            	0.2626         	0.5924         	0.5924        
InventionUsed                         	2590         	1             	1            	0.1385        	0.1135       	0.334        	0.3409       	0.009589     	1.192        	0.3502       	1.368        	0.6811       	1            	0.2626         	0.5732         	0.5732        
AllHighValue                          	1962         	1             	0.9093       	0.1605        	--           	0.1973       	0.4209       	0            	1.037        	0.2406       	0.8759       	0.4379       	0.4842       	0.2626         	--             	--            
FirstTriesHighValue                   	1784         	1             	1            	0.174         	0.149        	0.217        	0.4209       	0            	1.043        	0.2646       	0.9633       	0.4816       	0.5325       	0.2626         	0.5362         	0.5362        
SomeoneTriesHighValue                 	1784         	1             	1            	0.174         	0.149        	0.217        	0.4209       	0            	1.043        	0.2646       	0.9633       	0.4816       	0.5325       	0.2626         	0.5362         	0.5362        
NooneTriesHighValue                   	178          	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.2626         	--             	--            
InventionOccursHighValue              	950          	1             	1            	0.1681        	0.1431       	0.4075       	0.4209       	0            	1.239        	0.497        	1.809        	0.9045       	1            	0.2626         	0.5705         	0.5705        
InadvertentHighValue                  	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	950          	1             	1            	0.1681        	0.1431       	0.4075       	0.4209       	0            	1.239        	0.497        	1.809        	0.9045       	1            	0.2626         	0.5705         	0.5705        
IntentionalInfringementHighValue      	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	950          	1             	1            	0.1681        	0.1431       	0.4075       	0.4209       	0            	1.239        	0.497        	1.809        	0.9045       	1            	0.2626         	0.5705         	0.5705        
