                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	1.159         	0.4982       	0.06334       	--           	0.06419      	--           	0.005012     	1.001        	0.07845      	0.2853       	0.1408       	0.2038       	0.2043         	--             	--            
FirstTries                            	4335         	1.155         	1.115        	0.1054        	0.06918      	0.1445       	--           	0.01156      	1.034        	0.1774       	0.6438       	0.3178       	0.4701       	0.2043         	--             	--            
SomeoneTries                          	4483         	1.183         	1.111        	0.1062        	0.06954      	0.1432       	--           	0.01118      	1.033        	0.175        	0.6363       	0.3142       	0.4546       	0.2043         	--             	--            
NooneTries                            	5517         	1.14          	0            	0.0285        	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.2043         	--             	--            
InventionOccurs                       	2287         	1.213         	1.158        	0.1055        	0.06568      	0.2807       	--           	0.02191      	1.155        	0.343        	1.247        	0.6158       	0.8911       	0.2043         	--             	--            
InadvertentInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	2108         	1.221         	1.161        	0.1051        	0.06491      	0.2807       	--           	0            	1.163        	0.3578       	1.277        	0.6385       	0.8871       	0.2043         	--             	--            
IntentionalInfringement               	179          	1.123         	1.123        	0.111         	0.07473      	0.28         	0.28         	0.28         	1.068        	0.1689       	0.8978       	0.3489       	0.9385       	0.2043         	0.5077         	0.5567        
InventionUsed                         	2287         	1.213         	1.158        	0.1055        	0.06568      	0.2807       	--           	0.02191      	1.155        	0.343        	1.247        	0.6158       	0.8911       	0.2043         	--             	--            
AllHighValue                          	1960         	1.143         	0.8321       	0.09931       	--           	0.1403       	--           	0            	1.039        	0.2017       	0.6839       	0.342        	0.3444       	0.2043         	--             	--            
FirstTriesHighValue                   	1432         	1.138         	1.118        	0.123         	0.08533      	0.1886       	--           	0            	1.062        	0.2726       	0.9224       	0.4612       	0.4714       	0.2043         	--             	--            
SomeoneTriesHighValue                 	1462         	1.156         	1.116        	0.1237        	0.08582      	0.1881       	--           	0            	1.061        	0.2704       	0.9169       	0.4584       	0.4617       	0.2043         	--             	--            
NooneTriesHighValue                   	498          	1.106         	0            	0.02766       	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.2043         	--             	--            
InventionOccursHighValue              	746          	1.196         	1.162        	0.1241        	0.08196      	0.3686       	--           	0            	1.227        	0.5299       	1.797        	0.8984       	0.9048       	0.2043         	--             	--            
InadvertentHighValue                  	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	746          	1.196         	1.162        	0.1241        	0.08196      	0.3686       	--           	0            	1.227        	0.5299       	1.797        	0.8984       	0.9048       	0.2043         	--             	--            
IntentionalInfringementHighValue      	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	746          	1.196         	1.162        	0.1241        	0.08196      	0.3686       	--           	0            	1.227        	0.5299       	1.797        	0.8984       	0.9048       	0.2043         	--             	--            
