                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	1             	0.1768       	0.03007       	--           	0.009952     	0.3327       	0.000526     	0.9797       	0.01043      	0.04075      	0.02022      	0.0302       	0.03102        	--             	--            
FirstTries                            	1768         	1             	1            	0.05367       	0.02867      	0.05629      	0.3327       	0.002975     	1.002        	0.05897      	0.2305       	0.1143       	0.1708       	0.03102        	0.1801         	0.1801        
SomeoneTries                          	1768         	1             	1            	0.05367       	0.02867      	0.05629      	0.3327       	0.002975     	1.002        	0.05897      	0.2305       	0.1143       	0.1708       	0.03102        	0.1801         	0.1801        
NooneTries                            	8232         	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.03102        	--             	--            
InventionOccurs                       	302          	1             	1            	0.05307       	0.02807      	0.3295       	0.3327       	0.01742      	1.271        	0.3452       	1.349        	0.6694       	1            	0.03102        	0.1851         	0.1851        
InadvertentInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	286          	1             	1            	0.05287       	0.02787      	0.3296       	0.3329       	0            	1.277        	0.3531       	1.365        	0.6827       	1            	0.03102        	0.1851         	0.1851        
IntentionalInfringement               	16           	1             	1            	0.05665       	0.03165      	0.3288       	0.3288       	0.3288       	1.172        	0.2035       	1.065        	0.4323       	1            	0.03102        	0.1855         	0.1855        
InventionUsed                         	302          	1             	1            	0.05307       	0.02807      	0.3295       	0.3327       	0.01742      	1.271        	0.3452       	1.349        	0.6694       	1            	0.03102        	0.1851         	0.1851        
AllHighValue                          	2104         	1             	0.3218       	0.03637       	--           	0.02215      	0.4265       	0            	0.9858       	0.02512      	0.09454      	0.04727      	0.05276      	0.03102        	--             	--            
FirstTriesHighValue                   	677          	1             	1            	0.06035       	0.03535      	0.06885      	0.4265       	0            	1.009        	0.07806      	0.2938       	0.1469       	0.164        	0.03102        	0.1806         	0.1806        
SomeoneTriesHighValue                 	677          	1             	1            	0.06035       	0.03535      	0.06885      	0.4265       	0            	1.009        	0.07806      	0.2938       	0.1469       	0.164        	0.03102        	0.1806         	0.1806        
NooneTriesHighValue                   	1427         	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.03102        	--             	--            
InventionOccursHighValue              	111          	1             	1            	0.06065       	0.03565      	0.4199       	0.4265       	0            	1.359        	0.4761       	1.792        	0.896        	1            	0.03102        	0.1865         	0.1865        
InadvertentHighValue                  	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	111          	1             	1            	0.06065       	0.03565      	0.4199       	0.4265       	0            	1.359        	0.4761       	1.792        	0.896        	1            	0.03102        	0.1865         	0.1865        
IntentionalInfringementHighValue      	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	111          	1             	1            	0.06065       	0.03565      	0.4199       	0.4265       	0            	1.359        	0.4761       	1.792        	0.896        	1            	0.03102        	0.1865         	0.1865        
