                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	1.002         	0.1995       	0.03188       	--           	0.0126       	--           	0.0007912    	0.9805       	0.01294      	0.05108      	0.02527      	0.0362       	0.03915        	--             	--            
FirstTries                            	1989         	1.004         	1.003        	0.05935       	0.03419      	0.06335      	--           	0.003978     	1.003        	0.06504      	0.2568       	0.127        	0.182        	0.03915        	--             	--            
SomeoneTries                          	1990         	1.004         	1.003        	0.05937       	0.03419      	0.06332      	--           	0.003976     	1.002        	0.06501      	0.2567       	0.127        	0.1819       	0.03915        	--             	--            
NooneTries                            	8010         	1.002         	0            	0.02505       	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.03915        	--             	--            
InventionOccurs                       	363          	1.011         	1.008        	0.05793       	0.03241      	0.3471       	--           	0.0218       	1.281        	0.3564       	1.407        	0.6961       	0.9972       	0.03915        	--             	--            
InadvertentInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	336          	1.012         	1.009        	0.05785       	0.03229      	0.3515       	--           	0            	1.292        	0.3719       	1.447        	0.7233       	0.997        	0.03915        	--             	--            
IntentionalInfringement               	27           	1             	1            	0.05893       	0.03393      	0.293        	0.293        	0.293        	1.134        	0.164        	0.914        	0.357        	1            	0.03915        	0.1867         	0.1867        
InventionUsed                         	363          	1.011         	1.008        	0.05793       	0.03241      	0.3471       	--           	0.0218       	1.281        	0.3564       	1.407        	0.6961       	0.9972       	0.03915        	--             	--            
AllHighValue                          	2009         	1.002         	0.4012       	0.04193       	--           	0.02979      	0.4266       	0            	0.9878       	0.03396      	0.1275       	0.06375      	0.07068      	0.03915        	--             	--            
FirstTriesHighValue                   	805          	1.002         	1.001        	0.06718       	0.04208      	0.07433      	0.4266       	0            	1.007        	0.08475      	0.3182       	0.1591       	0.1764       	0.03915        	--             	--            
SomeoneTriesHighValue                 	805          	1.002         	1.001        	0.06718       	0.04208      	0.07433      	0.4266       	0            	1.007        	0.08475      	0.3182       	0.1591       	0.1764       	0.03915        	--             	--            
NooneTriesHighValue                   	1204         	1.002         	0            	0.02504       	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.03915        	--             	--            
InventionOccursHighValue              	142          	1.007         	1.007        	0.06548       	0.04008      	0.4214       	0.4266       	0            	1.355        	0.4805       	1.804        	0.9019       	1            	0.03915        	0.1825         	0.1838        
InadvertentHighValue                  	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	142          	1.007         	1.007        	0.06548       	0.04008      	0.4214       	0.4266       	0            	1.355        	0.4805       	1.804        	0.9019       	1            	0.03915        	0.1825         	0.1838        
IntentionalInfringementHighValue      	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	142          	1.007         	1.007        	0.06548       	0.04008      	0.4214       	0.4266       	0            	1.355        	0.4805       	1.804        	0.9019       	1            	0.03915        	0.1825         	0.1838        
