                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	1             	0.3929       	0.07457       	--           	0.07194      	0.3454       	0.002382     	0.9965       	0.08719      	0.3183       	0.1583       	0.2374       	0.2425         	--             	--            
FirstTries                            	3929         	1             	1            	0.1512        	0.1262       	0.1831       	0.3454       	0.006062     	1.03         	0.2219       	0.81         	0.4028       	0.6042       	0.2425         	0.5964         	0.5964        
SomeoneTries                          	3929         	1             	1            	0.1512        	0.1262       	0.1831       	0.3454       	0.006062     	1.03         	0.2219       	0.81         	0.4028       	0.6042       	0.2425         	0.5964         	0.5964        
NooneTries                            	6071         	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.2425         	--             	--            
InventionOccurs                       	2374         	1             	1            	0.1493        	0.1243       	0.303        	0.3454       	0.01003      	1.15         	0.3673       	1.341        	0.6666       	1            	0.2425         	0.6307         	0.6307        
InadvertentInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	2287         	1             	1            	0.1502        	0.1252       	0.3042       	0.3482       	0            	1.154        	0.3768       	1.362        	0.6809       	1            	0.2425         	0.6266         	0.6266        
IntentionalInfringement               	87           	1             	1            	0.1238        	0.09885      	0.2738       	0.2738       	0.2738       	1.05         	0.1164       	0.7804       	0.2902       	1            	0.2425         	0.7399         	0.7399        
InventionUsed                         	2374         	1             	1            	0.1493        	0.1243       	0.303        	0.3454       	0.01003      	1.15         	0.3673       	1.341        	0.6666       	1            	0.2425         	0.6307         	0.6307        
AllHighValue                          	2004         	1             	0.7156       	0.1394        	--           	0.1544       	0.4088       	0            	1.015        	0.2376       	0.784        	0.392        	0.4336       	0.2425         	--             	--            
FirstTriesHighValue                   	1434         	1             	1            	0.1849        	0.1599       	0.2157       	0.4088       	0            	1.031        	0.3321       	1.096        	0.5478       	0.606        	0.2425         	0.6014         	0.6014        
SomeoneTriesHighValue                 	1434         	1             	1            	0.1849        	0.1599       	0.2157       	0.4088       	0            	1.031        	0.3321       	1.096        	0.5478       	0.606        	0.2425         	0.6014         	0.6014        
NooneTriesHighValue                   	570          	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.2425         	--             	--            
InventionOccursHighValue              	869          	1             	1            	0.1848        	0.1598       	0.356        	0.4088       	0            	1.171        	0.548        	1.808        	0.904        	1            	0.2425         	0.6413         	0.6413        
InadvertentHighValue                  	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	869          	1             	1            	0.1848        	0.1598       	0.356        	0.4088       	0            	1.171        	0.548        	1.808        	0.904        	1            	0.2425         	0.6413         	0.6413        
IntentionalInfringementHighValue      	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	869          	1             	1            	0.1848        	0.1598       	0.356        	0.4088       	0            	1.171        	0.548        	1.808        	0.904        	1            	0.2425         	0.6413         	0.6413        
