                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	1.227         	0.5924       	0.119         	--           	0.1136       	--           	0.0005867    	0.9988       	0.1015       	0.4302       	0.2149       	0.2703       	0.2743         	--             	--            
FirstTries                            	4818         	1.231         	1.193        	0.2092        	0.149        	0.2312       	--           	0.001218     	1.025        	0.2059       	0.8743       	0.4368       	0.561        	0.2743         	--             	--            
SomeoneTries                          	4992         	1.258         	1.187        	0.2085        	0.1486       	0.2276       	--           	0.001175     	1.023        	0.2032       	0.8617       	0.4305       	0.5415       	0.2743         	--             	--            
NooneTries                            	5008         	1.196         	0            	0.02989       	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.2743         	--             	--            
InventionOccurs                       	3158         	1.304         	1.246        	0.2184        	0.1488       	0.3598       	--           	0.001858     	1.133        	0.3213       	1.362        	0.6805       	0.8559       	0.2743         	--             	--            
InadvertentInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	3139         	1.303         	1.245        	0.2186        	0.149        	0.3601       	--           	0            	1.133        	0.3223       	1.365        	0.6825       	0.8557       	0.2743         	--             	--            
IntentionalInfringement               	19           	1.368         	1.368        	0.1889        	0.1206       	0.3088       	0.3088       	0.3088       	1.025        	0.1445       	0.9066       	0.3533       	0.8947       	0.2743         	0.6621         	0.8295        
InventionUsed                         	3158         	1.304         	1.246        	0.2184        	0.1488       	0.3598       	--           	0.001858     	1.133        	0.3213       	1.362        	0.6805       	0.8559       	0.2743         	--             	--            
AllHighValue                          	1970         	1.231         	1.096        	0.2476        	--           	0.2706       	--           	0            	1.025        	0.2583       	1.058        	0.5288       	0.5056       	0.2743         	--             	--            
FirstTriesHighValue                   	1754         	1.238         	1.218        	0.2714        	0.1974       	0.301        	--           	0            	1.031        	0.2872       	1.176        	0.5882       	0.5678       	0.2743         	--             	--            
SomeoneTriesHighValue                 	1778         	1.248         	1.215        	0.2715        	0.1978       	0.2998       	--           	0            	1.03         	0.2862       	1.172        	0.5859       	0.5602       	0.2743         	--             	--            
NooneTriesHighValue                   	192          	1.073         	0            	0.02682       	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.2743         	--             	--            
InventionOccursHighValue              	1156         	1.296         	1.274        	0.2829        	0.1964       	0.4611       	--           	0            	1.165        	0.4402       	1.802        	0.9012       	0.8616       	0.2743         	--             	--            
InadvertentHighValue                  	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	1156         	1.296         	1.274        	0.2829        	0.1964       	0.4611       	--           	0            	1.165        	0.4402       	1.802        	0.9012       	0.8616       	0.2743         	--             	--            
IntentionalInfringementHighValue      	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	1156         	1.296         	1.274        	0.2829        	0.1964       	0.4611       	--           	0            	1.165        	0.4402       	1.802        	0.9012       	0.8616       	0.2743         	--             	--            
