                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	1             	0.4659       	0.0644        	--           	0.08172      	0.328        	0            	1.017        	0.08172      	0.3269       	0.1634       	0.2425       	0.239          	--             	--            
FirstTries                            	4659         	1             	1            	0.1096        	0.08456      	0.1754       	0.328        	0            	1.066        	0.1754       	0.7016       	0.3508       	0.5205       	0.239          	0.5108         	0.5108        
SomeoneTries                          	4659         	1             	1            	0.1096        	0.08456      	0.1754       	0.328        	0            	1.066        	0.1754       	0.7016       	0.3508       	0.5205       	0.239          	0.5108         	0.5108        
NooneTries                            	5341         	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.239          	--             	--            
InventionOccurs                       	2425         	1             	1            	0.107         	0.08205      	0.337        	0.328        	0            	1.23         	0.337        	1.348        	0.674        	1            	0.239          	0.5571         	0.5571        
InadvertentInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	2425         	1             	1            	0.107         	0.08205      	0.337        	0.328        	0            	1.23         	0.337        	1.348        	0.674        	1            	0.239          	0.5571         	0.5571        
IntentionalInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsed                         	2425         	1             	1            	0.107         	0.08205      	0.337        	0.328        	0            	1.23         	0.337        	1.348        	0.674        	1            	0.239          	0.5571         	0.5571        
AllHighValue                          	1950         	1             	0.8677       	0.1197        	--           	0.1975       	0.4275       	0            	1.078        	0.1975       	0.79         	0.395        	0.4379       	0.239          	--             	--            
FirstTriesHighValue                   	1692         	1             	1            	0.1341        	0.1091       	0.2276       	0.4275       	0            	1.093        	0.2276       	0.9104       	0.4552       	0.5047       	0.239          	0.4997         	0.4997        
SomeoneTriesHighValue                 	1692         	1             	1            	0.1341        	0.1091       	0.2276       	0.4275       	0            	1.093        	0.2276       	0.9104       	0.4552       	0.5047       	0.239          	0.4997         	0.4997        
NooneTriesHighValue                   	258          	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.239          	--             	--            
InventionOccursHighValue              	854          	1             	1            	0.1315        	0.1065       	0.4509       	0.4275       	0            	1.319        	0.4509       	1.804        	0.9019       	1            	0.239          	0.5503         	0.5503        
InadvertentHighValue                  	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	854          	1             	1            	0.1315        	0.1065       	0.4509       	0.4275       	0            	1.319        	0.4509       	1.804        	0.9019       	1            	0.239          	0.5503         	0.5503        
IntentionalInfringementHighValue      	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	854          	1             	1            	0.1315        	0.1065       	0.4509       	0.4275       	0            	1.319        	0.4509       	1.804        	0.9019       	1            	0.239          	0.5503         	0.5503        
