                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	1             	0.4487       	0.06016       	--           	0.07162      	0.3282       	0.003031     	1.01         	0.07602      	0.2953       	0.1466       	0.2216       	0.22           	--             	--            
FirstTries                            	4487         	1             	1            	0.1034        	0.07836      	0.1596       	0.3282       	0.006755     	1.054        	0.1694       	0.6581       	0.3267       	0.4939       	0.22           	0.497          	0.497         
SomeoneTries                          	4487         	1             	1            	0.1034        	0.07836      	0.1596       	0.3282       	0.006755     	1.054        	0.1694       	0.6581       	0.3267       	0.4939       	0.22           	0.497          	0.497         
NooneTries                            	5513         	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.22           	--             	--            
InventionOccurs                       	2216         	1             	1            	0.1004        	0.07544      	0.3232       	0.3282       	0.01368      	1.218        	0.3431       	1.332        	0.6615       	1            	0.22           	0.539          	0.539         
InadvertentInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	2111         	1             	1            	0.09991       	0.07491      	0.3249       	0.3302       	0            	1.225        	0.3507       	1.351        	0.6756       	1            	0.22           	0.5387         	0.5387        
IntentionalInfringement               	105          	1             	1            	0.1112        	0.08617      	0.2887       	0.2887       	0.2887       	1.077        	0.1897       	0.9567       	0.3783       	1            	0.22           	0.5446         	0.5446        
InventionUsed                         	2216         	1             	1            	0.1004        	0.07544      	0.3232       	0.3282       	0.01368      	1.218        	0.3431       	1.332        	0.6615       	1            	0.22           	0.539          	0.539         
AllHighValue                          	2045         	1             	0.7707       	0.1022        	--           	0.1626       	0.4303       	0.0004009    	1.06         	0.1862       	0.6977       	0.3487       	0.3868       	0.22           	--             	--            
FirstTriesHighValue                   	1576         	1             	1            	0.1251        	0.1001       	0.211        	0.4303       	0.0005202    	1.086        	0.2416       	0.9053       	0.4525       	0.5019       	0.22           	0.5            	0.5           
SomeoneTriesHighValue                 	1576         	1             	1            	0.1251        	0.1001       	0.211        	0.4303       	0.0005202    	1.086        	0.2416       	0.9053       	0.4525       	0.5019       	0.22           	0.5            	0.5           
NooneTriesHighValue                   	469          	1             	0            	0.025         	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.22           	--             	--            
InventionOccursHighValue              	791          	1             	1            	0.1212        	0.09618      	0.4205       	0.4303       	0.001036     	1.299        	0.4814       	1.804        	0.9016       	1            	0.22           	0.5463         	0.5463        
InadvertentHighValue                  	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	789          	1             	1            	0.1211        	0.09612      	0.4205       	0.4303       	0            	1.299        	0.4818       	1.805        	0.9023       	1            	0.22           	0.5463         	0.5463        
IntentionalInfringementHighValue      	2            	1             	1            	0.1472        	0.1222       	0.4099       	0.4099       	0.4099       	1.163        	0.3006       	1.421        	0.6105       	1            	0.22           	0.5557         	0.5557        
InventionUsedHighValue                	791          	1             	1            	0.1212        	0.09618      	0.4205       	0.4303       	0.001036     	1.299        	0.4814       	1.804        	0.9016       	1            	0.22           	0.5463         	0.5463        
