                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	4.611         	2.251        	0.4012        	--           	0.1821       	--           	7.674E-05    	0.9985       	0.1774       	1.199        	0.8394       	0.1167       	0.1155         	--             	--            
FirstTries                            	4919         	4.602         	3.987        	0.633         	0.1263       	0.3201       	--           	0.000156     	0.9759       	0.3105       	1.73         	1.099        	0.2372       	0.1155         	--             	--            
SomeoneTries                          	6460         	4.607         	3.485        	0.5577        	0.1203       	0.2819       	--           	0.0001188    	0.9847       	0.2745       	1.585        	1.029        	0.1807       	0.1155         	--             	--            
NooneTries                            	3540         	4.619         	0            	0.1155        	--           	0            	--           	0            	1.024        	0            	0.4942       	0.4942       	0            	0.1155         	--             	--            
InventionOccurs                       	5361         	4.614         	3.798        	0.6025        	0.1236       	0.3397       	--           	0.0001431    	0.9874       	0.3308       	1.811        	1.14         	0.2177       	0.1155         	--             	--            
InadvertentInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	5359         	4.614         	3.798        	0.6026        	0.1236       	0.3397       	--           	0            	0.9873       	0.3309       	1.811        	1.14         	0.2178       	0.1155         	--             	--            
IntentionalInfringement               	2            	4             	4            	0.2748        	0.04369      	0.3837       	0.3837       	0.3837       	1.049        	0.2097       	1.673        	0.9797       	0            	0.1155         	0.2507         	0.9987        
InventionUsed                         	5361         	4.614         	3.798        	0.6025        	0.1236       	0.3397       	--           	0.0001431    	0.9874       	0.3308       	1.811        	1.14         	0.2177       	0.1155         	--             	--            
AllHighValue                          	2115         	4.605         	4.279        	0.8422        	--           	0.422        	--           	0            	0.9508       	0.4105       	2.123        	1.29         	0.1976       	0.1155         	--             	--            
FirstTriesHighValue                   	1951         	4.607         	4.394        	0.8626        	0.1697       	0.4298       	--           	0            	0.9479       	0.4173       	2.151        	1.304        	0.2142       	0.1155         	--             	--            
SomeoneTriesHighValue                 	2114         	4.605         	4.281        	0.8425        	0.1695       	0.4222       	--           	0            	0.9507       	0.4107       	2.124        	1.291        	0.1977       	0.1155         	--             	--            
NooneTriesHighValue                   	1            	5             	0            	0.125         	--           	0            	--           	0            	1.024        	0            	0.4938       	0.4938       	0            	0.1155         	--             	--            
InventionOccursHighValue              	1958         	4.612         	4.349        	0.8547        	0.1697       	0.4558       	--           	0            	0.9556       	0.4434       	2.256        	1.357        	0.2135       	0.1155         	--             	--            
InadvertentHighValue                  	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	1958         	4.612         	4.349        	0.8547        	0.1697       	0.4558       	--           	0            	0.9556       	0.4434       	2.256        	1.357        	0.2135       	0.1155         	--             	--            
IntentionalInfringementHighValue      	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	1958         	4.612         	4.349        	0.8547        	0.1697       	0.4558       	--           	0            	0.9556       	0.4434       	2.256        	1.357        	0.2135       	0.1155         	--             	--            
