                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	10            	4.26         	0.5743        	--           	0.1796       	--           	0.002372     	1.008        	0.1881       	1.207        	0.8382       	0.0572       	0.05665        	--             	--            
FirstTries                            	4213         	10            	8.145        	0.8674        	0.07599      	0.3143       	--           	0.005631     	0.9902       	0.3344       	1.754        	1.103        	0.1358       	0.05665        	--             	--            
SomeoneTries                          	6683         	10            	6.374        	0.7352        	0.07641      	0.2687       	--           	0.00355      	0.9996       	0.2814       	1.563        	1.012        	0.08559      	0.05665        	--             	--            
NooneTries                            	3317         	10            	0            	0.25          	--           	0            	--           	0            	1.024        	0            	0.4875       	0.4875       	0            	0.05665        	--             	--            
InventionOccurs                       	5769         	10            	7.054        	0.785         	0.07588      	0.3113       	--           	0.004112     	0.9986       	0.326        	1.735        	1.097        	0.09915      	0.05665        	--             	--            
InadvertentInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	5691         	10            	7.014        	0.7838        	0.07606      	0.3114       	--           	0            	0.9988       	0.3277       	1.739        	1.1          	0.0984       	0.05665        	--             	--            
IntentionalInfringement               	78           	10            	10           	0.8741        	0.06241      	0.3041       	0.3041       	0.3041       	0.9786       	0.2028       	1.47         	0.8632       	0.1538       	0.05665        	0.1012         	0.9989        
InventionUsed                         	5769         	10            	7.054        	0.785         	0.07588      	0.3113       	--           	0.004112     	0.9986       	0.326        	1.735        	1.097        	0.09915      	0.05665        	--             	--            
AllHighValue                          	1989         	10            	7.974        	1.027         	--           	0.3976       	--           	0            	0.9819       	0.4354       	2.115        	1.282        	0.09402      	0.05665        	--             	--            
FirstTriesHighValue                   	1562         	10            	9            	1.115         	0.09741      	0.4143       	--           	0            	0.9743       	0.4624       	2.197        	1.321        	0.1197       	0.05665        	--             	--            
SomeoneTriesHighValue                 	1967         	10            	8.063        	1.036         	0.09944      	0.4021       	--           	0            	0.9815       	0.4403       	2.133        	1.291        	0.09507      	0.05665        	--             	--            
NooneTriesHighValue                   	22           	10            	0            	0.25          	--           	0            	--           	0            	1.024        	0            	0.4875       	0.4875       	0            	0.05665        	--             	--            
InventionOccursHighValue              	1843         	10            	8.388        	1.065         	0.09886      	0.4291       	--           	0            	0.9811       	0.4699       	2.245        	1.346        	0.1015       	0.05665        	--             	--            
InadvertentHighValue                  	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	1843         	10            	8.388        	1.065         	0.09886      	0.4291       	--           	0            	0.9811       	0.4699       	2.245        	1.346        	0.1015       	0.05665        	--             	--            
IntentionalInfringementHighValue      	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	1843         	10            	8.388        	1.065         	0.09886      	0.4291       	--           	0            	0.9811       	0.4699       	2.245        	1.346        	0.1015       	0.05665        	--             	--            
