                                 	Entrants      	Trying       	MainSpendM      	Invention      	ISP          	PropUsing      	UserUt       	PrvWel       	SocWel       	TotSpend      	AvgInv       	CSP          	UAP          	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      	Total        	inois        	wcp          	mnum         	probmin      	inadv        
AllObs                           	1             	0.8945       	3.89            	0.8369         	2.127        	0.3435         	0.4053       	1.29         	5.836        	0.5766        	--           	7.111        	6.939        	0.1531       	0             	3.731        	3.109        	3.048        	1.461        	0.8848        	1.885          	10000        	0.1          	1            	1            	0.75         	0            
FirstTries                       	1             	1            	3.89            	0.9356         	2.127        	0.384          	0.4531       	1.448        	6.53         	0.6387        	0.5887       	7.111        	6.939        	0.1711       	0             	3.731        	3.109        	3.048        	1.634        	0.9951        	1.995          	8945         	0.1          	1            	1            	0.75         	0            
SomeoneTries                     	1             	1            	3.89            	0.9356         	2.127        	0.384          	0.4531       	1.448        	6.53         	0.6387        	0.5887       	7.111        	6.939        	0.1711       	0             	3.731        	3.109        	3.048        	1.634        	0.9951        	1.995          	8945         	0.1          	1            	1            	0.75         	0            
NooneTries                       	1             	0            	--              	0              	--           	0              	0            	-0.05        	-0.05        	0.05          	--           	--           	--           	0            	0             	--           	--           	--           	0            	-0.05         	0.95           	1055         	0.1          	1            	1            	0.75         	0            
InventionOccurs                  	1             	1            	3.973           	1              	2.127        	0.4104         	0.4843       	1.591        	7.022        	0.6395        	0.5895       	7.111        	6.939        	0.1829       	0             	3.731        	3.109        	3.048        	1.746        	1.107         	2.107          	8369         	0.1          	1            	1            	0.75         	0            
SomeUsersPay                     	1             	1            	4.296           	1              	2.054        	0.5901         	1.088        	1.54         	6.85         	0.6293        	0.5793       	7.852        	9.154        	0            	0             	3.682        	2.054        	2.054        	1.081        	0.4515        	1.452          	5820         	0.1          	1            	1            	0.75         	0            
SomeIntentionalInfringement      	1             	1            	3.259           	1              	2.328        	0              	-0.911       	1.746        	7.557        	0.6696        	0.6196       	5.511        	1.914        	0.6118       	0             	3.912        	5.611        	5.411        	3.327        	2.657         	3.657          	2502         	0.1          	1            	1            	0.75         	0            
InventionUsed                    	1             	1            	3.986           	1              	2.139        	0.4133         	0.4877       	1.604        	7.072        	0.6419        	0.5919       	7.158        	6.987        	0.1837       	0             	3.756        	3.127        	3.067        	1.758        	1.117         	2.117          	8311         	0.1          	1            	1            	0.75         	0            
MainInventorLoses                	1             	0.5941       	2.793           	0.3725         	0.8307       	0.1176         	0.138        	-0.07792     	0.5461       	0.2882        	--           	1.283        	1.015        	0.05576      	0             	1.178        	0.7717       	0.6877       	0.07231      	-0.2159       	0.7841         	2599         	0.1          	1            	1            	0.75         	0            
HighValue                        	1             	1            	5.207           	0.9513         	3.066        	0.3714         	0.1167       	2.803        	11.37        	0.9034        	0.8534       	11.94        	8.768        	0.2707       	0             	5.96         	6.247        	6.16         	3.59         	2.687         	3.687          	2034         	0.1          	1            	1            	0.75         	0            
InventionOccursHighValue         	1             	1            	5.28            	1              	3.066        	0.3904         	0.1227       	2.996        	12           	0.9006        	0.8506       	11.94        	8.768        	0.2846       	0             	5.96         	6.247        	6.16         	3.774        	2.873         	3.873          	1935         	0.1          	1            	1            	0.75         	0            
