                                 	Entrants      	Trying       	MainSpendM      	Invention      	ISP          	PropUsing      	UserUt       	PrvWel       	SocWel       	TotSpend      	AvgInv       	CSP          	UAP          	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      	Total        	inois        	wcp          	mnum         	probmin      	inadv        
AllObs                           	1             	0.8367       	1.283           	0.7482         	2.832        	0.2466         	0.5901       	1.337        	5.582        	0.2729        	--           	2.807        	2.837        	0.1363       	0             	4.184        	2.706        	2.625        	1.02         	0.7472        	1.747          	10000        	0.1          	0            	1            	0.75         	0            
FirstTries                       	1             	1            	1.283           	0.8942         	2.832        	0.2948         	0.7053       	1.608        	6.681        	0.3164        	0.2664       	2.807        	2.837        	0.1629       	0             	4.184        	2.706        	2.625        	1.219        	0.9028        	1.903          	8367         	0.1          	0            	1            	0.75         	0            
SomeoneTries                     	1             	1            	1.283           	0.8942         	2.832        	0.2948         	0.7053       	1.608        	6.681        	0.3164        	0.2664       	2.807        	2.837        	0.1629       	0             	4.184        	2.706        	2.625        	1.219        	0.9028        	1.903          	8367         	0.1          	0            	1            	0.75         	0            
NooneTries                       	1             	0            	--              	0              	--           	0              	0            	-0.05        	-0.05        	0.05          	--           	--           	--           	0            	0             	--           	--           	--           	0            	-0.05         	0.95           	1633         	0.1          	0            	1            	0.75         	0            
InventionOccurs                  	1             	1            	1.285           	1              	2.832        	0.3296         	0.7887       	1.836        	7.509        	0.3166        	0.2666       	2.807        	2.837        	0.1822       	0             	4.184        	2.706        	2.625        	1.363        	1.047         	2.047          	7482         	0.1          	0            	1            	0.75         	0            
SomeUsersPay                     	1             	1            	1.292           	1              	2.899        	0.5526         	0.9686       	2.223        	8.631        	0.3177        	0.2677       	3.136        	3.204        	0            	0             	4.654        	2.899        	2.899        	1.572        	1.254         	2.254          	4463         	0.1          	0            	1            	0.75         	0            
SomeIntentionalInfringement      	1             	1            	1.276           	1              	2.772        	0              	0.5325       	1.289        	5.959        	0.3183        	0.2683       	2.354        	2.335        	0.4599       	0             	3.552        	2.454        	2.254        	1.075        	0.7564        	1.756          	2964         	0.1          	0            	1            	0.75         	0            
InventionUsed                    	1             	1            	1.286           	1              	2.848        	0.3321         	0.7946       	1.85         	7.565        	0.3179        	0.2679       	2.824        	2.857        	0.1835       	0             	4.214        	2.721        	2.642        	1.374        	1.056         	2.056          	7427         	0.1          	0            	1            	0.75         	0            
MainInventorLoses                	1             	0.4417       	1.235           	0.1391         	1.151        	0.002355       	0.02514      	-0.1167      	0.06272      	0.168         	--           	0.6345       	0.6447       	0.04263      	0             	1.005        	0.7178       	0.5261       	0.02623      	-0.1418       	0.8582         	2925         	0.1          	0            	1            	0.75         	0            
HighValue                        	1             	1            	1.409           	0.8959         	4.283        	0.4029         	1.145        	2.776        	10.87        	0.3511        	0.3011       	4.285        	4.515        	0.06992      	0             	6.645        	4.233        	4.201        	1.982        	1.631         	2.631          	1969         	0.1          	0            	1            	0.75         	0            
InventionOccursHighValue         	1             	1            	1.415           	1              	4.283        	0.4498         	1.278        	3.141        	12.17        	0.3493        	0.2993       	4.285        	4.515        	0.07805      	0             	6.645        	4.233        	4.201        	2.212        	1.863         	2.863          	1764         	0.1          	0            	1            	0.75         	0            
