"OptionSet","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","PBargains2","DBargains2","POffer2","DOffer2","POfferMixedness2","DOfferMixedness2","Settles2","PBet2","DBet2","PBetMixedness2","DBetMixedness2","PAbandons2","DDefaults2","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","Settles1","PAbandons1","DDefaults1","Settles2","PAbandons2","DDefaults2","P Loses","P Wins"
"liabhighcosts","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"liabhighcosts","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"liabhighcosts","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"liabhighcosts","PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"liabhighcosts","PrePrimary5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"liabhighcosts","PrePrimary6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"liabhighcosts","PrePrimary7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"liabhighcosts","PrePrimary8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"liabhighcosts","PrePrimary9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"liabhighcosts","PrePrimary10",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"liabhighcosts","Truly Liable",0.5064,0,0.5064,0.65441,0.858926,0.0883096,0.0551343,0.0186414,0.507591,0.346535,0.150351,0.125439,0.00347551,,,,,0.0368878,0.000315956,0.0386256,0.0404423,0.595238,0.412698,0.151005,0.125398,0.0176935,,,,,0.00315956,0.00173776,0.025039,0.561514,1049980,913980,1049980,913980,36036.7,2065.36,50016.7,0,0,0.021169,41946.5,0.0400474,0.00205371,7.89889E-05,1,0,-0.00387046,0.858926,0.0883096,0.141074,0.770616,0.00347551,0.0368878,0.000315956,0.0176935,0.00315956,0.00173776,0.0109795,0.01406
"liabhighcosts","Truly Not Liable",0.4936,0,0.4936,0.349122,0.368558,0.114019,0.0715559,0.0170989,0.468079,0.285451,0.15904,0.109336,0.00332253,,,,,0.0597245,0.000324149,0.0428687,0.0428687,0.51087,0.423913,0.168004,0.117213,0.0169368,,,,,0.00453809,0.000648298,0.028525,0.460227,1011950,964448,1011950,964448,23598.9,35551.6,0,0,0,0.0202593,34866.7,0.0642626,0.000972447,8.10373E-05,0,0,-0.000243112,0.368558,0.114019,0.631442,0.254538,0.00332253,0.0597245,0.000324149,0.0169368,0.00453809,0.000648298,0.0153971,0.013128
"liabhighcosts","AllCount",25000,0,25000,0.50372,15422,2525,1581,447,0.487118,0.314885,0.154853,0.117095,85,,,,,1204,8,1018,1041,0.551136,0.418561,0.159891,0.121119,433,,,,,96,30,669,340,1031210,938891,1031210,938891,29897.4,18594.2,25328.4,0,0,518,38529.6,1300,38,2,12660,0,-0.00208,15422,2525,9578,12897,85,1204,8,433,96,30,329,340
"liabhighcosts","Liability Strength1",0.1936,0,0.1936,0.166667,0.0150826,0.0146694,0.0109504,0.000413223,0.435185,0.212963,0.163688,0.0672752,0.000206612,,,,,0.0107438,0,0.00371901,0.0035124,0.333333,0.166667,0.15935,0.0221909,0.000619835,,,,,0.000826446,0,0.002273,0,999131,999013,999131,999013,1856.4,955.923,3131.71,0,0,0.00082645,29166.7,0.0115702,0,0,0.0309917,0,0.0018595,0.0150826,0.0146694,0.984917,0.000413223,0.000206612,0.0107438,0,0.000619835,0.000826446,0,0.00227273,0
"liabhighcosts","Liability Strength2",0.1605,0,0.16052,0.333333,0.20309,0.160977,0.0974333,0.0171941,0.335993,0.22961,0.157097,0.0892028,0.00423623,,,,,0.103912,0.00024919,0.0475953,0.0398704,0.458333,0.277778,0.178122,0.101943,0.0206828,,,,,0.010466,0,0.02143,0.151163,993651,984531,993651,984531,21817.8,11714,25518.7,0,0,0.024919,25333.3,0.114378,0.00024919,0,0.239223,0,-0.0132071,0.20309,0.160977,0.79691,0.0421131,0.00423623,0.103912,0.00024919,0.0206828,0.010466,0,0.0181909,0.0032395
"liabhighcosts","Liability Strength3",0.28,0,0.27996,0.5,0.778254,0.23089,0.146307,0.044292,0.494284,0.322817,0.157144,0.118546,0.00928704,,,,,0.101586,0.00057151,0.100729,0.102586,0.538889,0.422222,0.164572,0.126233,0.0432919,,,,,0.00714388,0.00185741,0.067152,0.506383,1027190,922746,1027190,922746,50068.6,41673.1,36971.7,0,0,0.0525789,38994.6,0.10873,0.00242892,0.000142878,0.502357,0,-0.00757251,0.778254,0.23089,0.221746,0.547364,0.00928704,0.101586,0.00057151,0.0432919,0.00714388,0.00185741,0.0331476,0.0340049
"liabhighcosts","Liability Strength4",0.1618,0,0.1618,0.666667,0.986156,0.0444994,0.025958,0.0153276,0.693651,0.422222,0.138122,0.158684,0.000494438,,,,,0.00568603,0.000494438,0.0242274,0.033869,0.678571,0.511905,0.131759,0.119187,0.010136,,,,,0,0.0039555,0.023733,0.875,1065210,898744,1065210,898744,36048.2,26184.6,26441.7,0,0,0.0106304,62984.5,0.00568603,0.00444994,0.000247219,0.761187,0,0.0239802,0.986156,0.0444994,0.0138443,0.941656,0.000494438,0.00568603,0.000494438,0.010136,0,0.0039555,0.00296663,0.0207664
"liabhighcosts","Liability Strength5",0.2041,0,0.20412,0.833333,0.99902,0.00235156,0.00156771,0.000783853,0.791667,0.416667,0.0930591,0.206611,0,,,,,0.000195963,0.000195963,0.00117578,0.00176367,0.833333,0.833333,0.0546802,0.170414,0.000587889,,,,,0,0.000195963,0.001176,0.833333,1069750,899944,1069750,899944,30305.7,3063.39,29379.8,0,0,0.00058789,83333.3,0.000195963,0.000391926,0,0.970997,0,-0.0101901,0.99902,0.00235156,0.000979816,0.996669,0,0.000195963,0.000195963,0.000587889,0,0.000195963,0.00019596,0.0009798
"liabhighcosts","PLiabilitySignal1",0.1848,0,0.1848,0.197655,0.0051948,0.00497835,0.00497835,0,0.619048,0.166667,0.159017,0.0746071,0,,,,,0.0034632,0,0.00151515,0.00151515,,,,,0,,,,,0,0,0.001515,0.142857,999696,999616,999696,999616,688.312,351.19,6722.4,0,0,0,,0.0034632,0,0,0.0668831,0,-0.374675,0.00519481,0.00497835,0.994805,0.00021645,0,0.0034632,0,0,0,0,0.0012987,0.0002165
"liabhighcosts","PLiabilitySignal2",0.1936,0,0.19356,0.347937,0.0171523,0.0126059,0.00867948,0.000826617,0.355556,0.277778,0.179776,0.0895915,0.000413309,,,,,0.00909279,0,0.00309981,0.00247985,,,,,0.00144658,,,,,0.000619963,0,0.001033,0,999609,998729,999609,998729,1661.5,829.028,28746.3,0,0,0.00185989,28703.7,0.00971275,0,0,0.287869,0,-0.115313,0.0171523,0.0126059,0.982848,0.00454639,0.000413309,0.00909279,0,0.00144658,0.000619963,0,0.00103327,0
"liabhighcosts","PLiabilitySignal3",0.229,0,0.22896,0.499039,0.961915,0.327568,0.198113,0.0536338,0.342691,0.302479,0.153265,0.10988,0.0138015,,,,,0.197414,0.00104822,0.106045,0.0962614,0.400709,0.35461,0.179948,0.116792,0.0595737,,,,,0.015898,0.000349406,0.039483,0.353982,1027380,911641,1027380,911641,60982.7,45430.4,32521.5,0,0,0.0733753,32857.1,0.213312,0.00139762,0.000349406,0.488819,0,-0.00995807,0.961915,0.327568,0.0380853,0.634347,0.0138015,0.197414,0.00104822,0.0595737,0.015898,0.000349406,0.0255066,0.0139762
"liabhighcosts","PLiabilitySignal4",0.1981,0,0.19808,0.653574,0.999192,0.0997577,0.0680533,0.0234249,0.743394,0.338415,0.167236,0.127221,0.000605816,,,,,0.0026252,0.000201939,0.0704766,0.0834006,0.719298,0.47807,0.14339,0.12599,0.0157512,,,,,0.000403877,0.00363489,0.076535,0.577836,1059130,894483,1059130,894483,46384.3,32573.9,27319.4,0,0,0.016357,65226.3,0.00302908,0.00383683,0,0.730816,0,0.0941034,0.999192,0.0997577,0.000807754,0.899435,0.000605816,0.0026252,0.000201939,0.0157512,0.000403877,0.00363489,0.0323102,0.0442246
"liabhighcosts","PLiabilitySignal5",0.1946,0,0.1946,0.802295,0.999178,0.0147996,0.00924974,0.004111,0.799145,0.367521,0.0672249,0.172064,0.00020555,,,,,0.00020555,0.00020555,0.00822199,0.0119219,0.777778,0.666667,0.0546802,0.127219,0.00143885,,,,,0,0.0020555,0.010689,0.769231,1068660,898970,1068660,898970,32364.9,7784.34,29108.1,0,0,0.0016444,77083.3,0.00020555,0.00226105,0,0.933402,0,0.375745,0.999178,0.0147996,0.000822199,0.984378,0.00020555,0.00020555,0.00020555,0.00143885,0,0.0020555,0.0024666,0.008222
"liabhighcosts","DLiabilitySignal1",0.184,0,0.184,0.19663,0.0493478,0.048913,0.0295652,0.00304348,0.363636,0.187879,0.153941,0.0605379,0.000652174,,,,,0.0330435,0.000217391,0.013913,0.0115217,0.458333,0.166667,0.155465,0.0456475,0.00369565,,,,,0.00304348,0,0.008261,0.289474,997230,996450,997230,996450,6319.57,2932.25,7155.62,0,0,0.00434783,21250,0.036087,0.000217391,0,0.0667391,0,0.36587,0.0493478,0.048913,0.950652,0.000434783,0.000652174,0.0330435,0.000217391,0.00369565,0.00304348,0,0.00586957,0.0023913
"liabhighcosts","DLiabilitySignal2",0.1926,0,0.1926,0.347767,0.322326,0.316719,0.199377,0.0344756,0.47007,0.224472,0.155721,0.0934572,0.00539979,,,,,0.168017,0.000415369,0.12378,0.116719,0.529762,0.333333,0.173375,0.132469,0.0384216,,,,,0.015784,0,0.088681,0.461358,983137,971689,983137,971689,45174.5,18120.8,34693.1,0,0,0.0438214,25434.4,0.183801,0.000415369,0,0.27622,0,0.119834,0.322326,0.316719,0.677674,0.00560748,0.00539979,0.168017,0.000415369,0.0384216,0.015784,0,0.0477674,0.0409138
"liabhighcosts","DLiabilitySignal3",0.2308,0,0.23084,0.499278,0.721539,0.131866,0.0823081,0.0441864,0.522599,0.454399,0.154163,0.154188,0.00901057,,,,,0.0421071,0.000866401,0.0611679,0.0724311,0.558642,0.469136,0.155473,0.119082,0.0396812,,,,,0.00103968,0.00485185,0.034309,0.636364,1036690,926124,1036690,926124,37189.4,36395.3,30117.3,0,0,0.0486917,49377.2,0.0431468,0.00571825,0.00034656,0.498181,0,0.00311904,0.721539,0.131866,0.278461,0.589673,0.00901057,0.0421071,0.000866401,0.0396812,0.00103968,0.00485185,0.0124762,0.0218333
"liabhighcosts","DLiabilitySignal4",0.1983,0,0.19832,0.651002,0.936668,0.00201694,0.00141186,0.00201694,0.541667,0.416667,0.147287,0.205904,0.000806777,,,,,0,0,0.000403388,0.00100847,0.833333,0.666667,0.143813,0.165924,0.000201694,,,,,0,0.000201694,0.000807,1,1065410,906235,1065410,906235,28354.2,24633.6,24609.6,0,0,0.00100847,41666.7,0,0.000201694,0,0.728721,0,-0.120008,0.936668,0.00201694,0.063332,0.934651,0.000806777,0,0,0.000201694,0,0.000201694,0,0.0008068
"liabhighcosts","DLiabilitySignal5",0.1942,0,0.19424,0.80416,0.995675,0.000823723,0.000617792,0.000411862,0.833333,0.291667,0.130649,0.243978,0,,,,,0,0,0.000617792,0.000617792,0.833333,0.833333,0.0546802,0.170414,0.000205931,,,,,0,0.000205931,0.000412,1,1069640,900362,1069640,900362,29993.8,6578.12,28300.4,0,0,0.00020593,83333.3,0,0.000205931,0,0.933896,0,-0.35729,0.995675,0.000823723,0.00432455,0.994852,0,0,0,0.000205931,0,0.000205931,0,0.0004119
"liabhighcosts","MutOptLiability5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"liabhighcosts","MutOptLiability4",4E-05,0,4E-05,0.5,1,1,1,0,,,,,0,,,,,0,0,1,0,,,,,0,,,,,0,0,1,1,995000,795000,995000,795000,210000,105000,105000,0,0,0,,0,0,0,1,0,4,1,1,0,0,0,0,0,0,0,0,0,1
"liabhighcosts","MutOptLiability3",0.001,0,0.00104,0.564103,1,1,0.692308,0.0769231,0.811111,0.2,0.0730153,0.0866882,0,,,,,0,0,0.730769,0.807692,0.833333,0.166667,0.143813,0.116017,0,,,,,0,0,1,0.692308,964231,825769,964231,825769,210000,108846,91730.8,0,0,0,,0,0,0,0.653846,0,3,1,1,0,0,0,0,0,0,0,0,0.307692,0.692308
"liabhighcosts","MutOptLiability2",0.0271,0,0.02712,0.514503,0.992625,0.70059,0.452802,0.0752212,0.678879,0.241379,0.156187,0.0975757,0.00442478,,,,,0.184366,0.00294985,0.39233,0.418879,0.653846,0.397436,0.133685,0.116583,0.0368732,,,,,0.020649,0.0117994,0.439528,0.530201,985403,883004,985403,883004,131593,68247.3,46356.9,0,0,0.0412979,38690.5,0.205015,0.0147493,0,0.5059,0,2,0.992625,0.70059,0.00737463,0.292035,0.00442478,0.184366,0.00294985,0.0368732,0.020649,0.0117994,0.20649,0.233038
"liabhighcosts","MutOptLiability1",0.2063,0,0.20632,0.499354,0.744281,0.285382,0.17468,0.0443971,0.446296,0.291975,0.156098,0.113494,0.00562233,,,,,0.15665,0.000581621,0.102559,0.103722,0.59375,0.409722,0.160723,0.119568,0.04905,,,,,0.0145405,0.0036836,0.055254,0.477193,1017750,929685,1017750,929685,52561.1,26491.2,31972,0,0,0.0546724,35933.8,0.17119,0.00426522,0,0.502133,0,1,0.744281,0.285382,0.255719,0.458899,0.00562233,0.15665,0.000581621,0.04905,0.0145405,0.0036836,0.0288872,0.0263668
"liabhighcosts","MutOptLiability0",0.5265,0,0.52648,0.5049,0.609254,0.0406473,0.025756,0.0121562,0.380478,0.439575,0.155163,0.143162,0.00372284,,,,,0.0201337,0.000227929,0.0149673,0.0148154,0.410256,0.455128,0.172077,0.126447,0.0116244,,,,,0.000531834,0.000227929,0.004179,0.454545,1038050,939623,1038050,939623,22322.2,15416.4,21136.1,0,0,0.0153472,42285.5,0.0206656,0.000455858,0.000151953,0.507522,0,0,0.609254,0.0406473,0.390746,0.568607,0.00372284,0.0201337,0.000227929,0.0116244,0.000531834,0.000227929,0.00227929,0.0018994
"liabhighcosts","MutOptLiability-1",0.2128,0,0.2128,0.504543,0.506015,0.00300752,0.00281955,0.00093985,0.433333,0.3,0.171641,0.155781,0.00075188,,,,,0.00112782,0,0.00112782,0.00112782,,,,,0.00037594,,,,,0,0,0.000752,0.5,1035080,949418,1035080,949418,15501.9,13551.8,24741.7,0,0,0.00112782,33333.3,0.00112782,0,0,0.505827,0,-1,0.506015,0.00300752,0.493985,0.503008,0.00075188,0.00112782,0,0.00037594,0,0,0.00037594,0.0003759
"liabhighcosts","MutOptLiability-2",0.0255,0,0.02548,0.493721,0.270016,0,0,0,,,,,0,,,,,0,0,0,0,,,,,0,,,,,0,0,0,,1018900,972998,1018900,972998,8100.47,6279.43,36514.9,0,0,0,,0,0,0,0.510204,0,-2,0.270016,0,0.729984,0.270016,0,0,0,0,0,0,0,0
"liabhighcosts","MutOptLiability-3",0.0007,0,0.00072,0.509259,0,0,0,0,,,,,0,,,,,0,0,0,0,,,,,0,,,,,0,0,0,,1000000,1000000,1000000,1000000,0,0,72222.2,0,0,0,,0,0,0,0.722222,0,-3,0,0,1,0,0,0,0,0,0,0,0,0
"liabhighcosts","MutOptLiability-4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"liabhighcosts","MutOptLiability-5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"liabhighcosts","Truly Liable MutOptLiability5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"liabhighcosts","Truly Liable MutOptLiability4",4E-05,0,4E-05,0.5,1,1,1,0,,,,,0,,,,,0,0,1,0,,,,,0,,,,,0,0,1,1,995000,795000,995000,795000,210000,105000,105000,0,0,0,,0,0,0,1,0,4,1,1,0,0,0,0,0,0,0,0,0,1
"liabhighcosts","Truly Liable MutOptLiability3",0.0007,0,0.00068,0.588235,1,1,0.823529,0,0.833333,0.212121,0.0507297,0.0964191,0,,,,,0,0,0.882353,0.764706,,,,,0,,,,,0,0,1,0.647059,959706,830294,959706,830294,210000,69705.9,140294,0,0,0,,0,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0.352941,0.647059
"liabhighcosts","Truly Liable MutOptLiability2",0.0137,0,0.01372,0.592809,1,0.533528,0.355685,0.0845481,0.70712,0.273463,0.149655,0.107805,0.00291545,,,,,0.0670554,0.0058309,0.338192,0.373178,0.738095,0.452381,0.131079,0.147706,0.0408163,,,,,0.0116618,0.0174927,0.387755,0.541353,1008370,877755,1008370,877755,113878,25884.4,91632.7,0,0,0.0437318,53333.3,0.0787172,0.0233236,0,1,0,2,1,0.533528,0,0.466472,0.00291545,0.0670554,0.0058309,0.0408163,0.0116618,0.0174927,0.177843,0.209913
"liabhighcosts","Truly Liable MutOptLiability1",0.1036,0,0.1036,0.629601,0.936293,0.250579,0.155212,0.0494208,0.467662,0.321517,0.155677,0.121375,0.00733591,,,,,0.120077,0,0.1,0.104633,0.643939,0.393939,0.152736,0.117745,0.0494208,,,,,0.0131274,0.00540541,0.055212,0.566434,1036330,907935,1036330,907935,55737.5,4790.22,63672.5,0,0,0.0567568,39512.5,0.133205,0.00540541,0,1,0,1,0.936293,0.250579,0.0637066,0.685714,0.00733591,0.120077,0,0.0494208,0.0131274,0.00540541,0.0239382,0.0312741
"liabhighcosts","Truly Liable MutOptLiability0",0.2672,0,0.2672,0.680539,0.895958,0.0393713,0.0232036,0.0113772,0.397759,0.480392,0.147736,0.150742,0.00329341,,,,,0.0197605,0.000299401,0.0143713,0.0146707,0.435897,0.423077,0.158805,0.126337,0.0121257,,,,,0.000299401,0.000299401,0.003293,0.545455,1058350,910896,1058350,910896,30750,515.344,41645.7,0,0,0.0154192,44093.9,0.0200599,0.000598802,0.000149701,1,0,0,0.895958,0.0393713,0.104042,0.856587,0.00329341,0.0197605,0.000299401,0.0121257,0.000299401,0.000299401,0.00149701,0.0017964
"liabhighcosts","Truly Liable MutOptLiability-1",0.1076,0,0.10764,0.633346,0.732441,0.00185805,0.00148644,0.00111483,0.416667,0.291667,0.163157,0.178824,0.000743218,,,,,0.000371609,0,0.000743218,0.000743218,,,,,0.000371609,,,,,0,0,0.000372,1,1051090,926745,1051090,926745,22168.3,48.3092,48913.4,0,0,0.00111483,30555.6,0.000371609,0,0,1,0,-1,0.732441,0.00185805,0.267559,0.730583,0.000743218,0.000371609,0,0.000371609,0,0,0,0.0003716
"liabhighcosts","Truly Liable MutOptLiability-2",0.013,0,0.013,0.564103,0.406154,0,0,0,,,,,0,,,,,0,0,0,0,,,,,0,,,,,0,0,0,,1028430,959385,1028430,959385,12184.6,0,71569.2,0,0,0,,0,0,0,1,0,-2,0.406154,0,0.593846,0.406154,0,0,0,0,0,0,0,0
"liabhighcosts","Truly Liable MutOptLiability-3",0.0005,0,0.00052,0.512821,0,0,0,0,,,,,0,,,,,0,0,0,0,,,,,0,,,,,0,0,0,,1000000,1000000,1000000,1000000,0,0,100000,0,0,0,,0,0,0,1,0,-3,0,0,1,0,0,0,0,0,0,0,0,0
"liabhighcosts","Truly Liable MutOptLiability-4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"liabhighcosts","Truly Liable MutOptLiability-5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"liabhighcosts","Truly Not Liable MutOptLiability5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"liabhighcosts","Truly Not Liable MutOptLiability4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"liabhighcosts","Truly Not Liable MutOptLiability3",0.0004,0,0.00036,0.518519,1,1,0.444444,0.222222,0.75,0.166667,0.134301,0.0599281,0,,,,,0,0,0.444444,0.888889,0.833333,0.166667,0.143813,0.116017,0,,,,,0,0,1,0.777778,972778,817222,972778,817222,210000,182778,0,0,0,0,,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0.222222,0.777778
