"Filter","All","D2 0.17  ","D2 0.33  ","D2 0.5  ","D2 0.67  ","D2 0.83  "
"All",1,0.384788,0.454239,0.0375369,0.0490651,0.0743709
"DSignal Liab 1 Dam 1",0.0065,1,0,0,0,0
"DSignal Liab 1 Dam 2",0.0107,1,0,0,0,0
"DSignal Liab 1 Dam 3",0.0167,1,0,0,0,0
"DSignal Liab 1 Dam 4",0.0333,0.995781,0.00421941,0,0,0
"DSignal Liab 1 Dam 5",0.0328,0.995708,0,0.00429185,0,0
"DSignal Liab 2 Dam 1",0.0448,0.153605,0.84326,0.0031348,0,0
"DSignal Liab 2 Dam 2",0.0585,0.223558,0.771635,0.00240385,0.00240385,0
"DSignal Liab 2 Dam 3",0.063,0.995536,0.00223214,0.00223214,0,0
"DSignal Liab 2 Dam 4",0.0821,0.996575,0.00171233,0,0.00171233,0
"DSignal Liab 2 Dam 5",0.104,0.994595,0.0027027,0.0027027,0,0
"DSignal Liab 3 Dam 1",0.1198,0.0575117,0.852113,0.0892019,0.00117371,0
"DSignal Liab 3 Dam 2",0.1189,0.0425532,0.865248,0.0886525,0.0035461,0
"DSignal Liab 3 Dam 3",0.1257,0.0402685,0.671141,0.0894855,0.0302013,0.168904
"DSignal Liab 3 Dam 4",0.0464,0,0,0,0.0030303,0.99697
"DSignal Liab 3 Dam 5",0.0011,0,0,0,0,1
"DSignal Liab 4 Dam 1",0.1298,0.00108342,0.625135,0.0314193,0.340195,0.00216685
"DSignal Liab 4 Dam 2",0.0004,0,0,0,0,1
"DSignal Liab 4 Dam 3",0.0003,0,0,0,0,1
"DSignal Liab 4 Dam 4",0.0004,0,0.333333,0,0,0.666667
"DSignal Liab 4 Dam 5",0.0011,0,0,0,0,1
"DSignal Liab 5 Dam 1",0.0007,0,0,0.2,0.2,0.6
"DSignal Liab 5 Dam 2",0.0008,0,0,0,0,1
"DSignal Liab 5 Dam 3",0.0007,0,0,0,0,1
"DSignal Liab 5 Dam 4",0.0008,0,0,0,0,1
"DSignal Liab 5 Dam 5",0.0006,0,0,0,0,1
