"Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","PBargains2","DBargains2","POffer2","DOffer2","POfferMixedness2","DOfferMixedness2","Settles2","PBet2","DBet2","PBetMixedness2","DBetMixedness2","PAbandons2","DDefaults2","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","Settles1","PAbandons1","DDefaults1","Settles2","PAbandons2","DDefaults2","P Loses","P Wins"
"All",1,0,1,0.500707,0.75804,0.24396,0.18056,0.04,0.423576,0.275552,0.155166,0.096747,0.0182,,,,,0.13436,0.00208,0.0696,0.05564,0.689394,0.477273,0.0993564,0.177033,0.024,,,,,0.01352,0.00272,0.04908,0.531377,1024040,927962,1024040,927962,48002.4,28834.6,27509.7,0,0,0.0422,29660.3,0.14788,0.0048,0.0008,0.5,0,0.00672,0.75804,0.24396,0.24196,0.51408,0.0182,0.13436,0.00208,0.024,0.01352,0.00272,0.023,0.02608
"NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DisputeArises",1,0,1,0.500707,0.75804,0.24396,0.18056,0.04,0.423576,0.275552,0.155166,0.096747,0.0182,,,,,0.13436,0.00208,0.0696,0.05564,0.689394,0.477273,0.0993564,0.177033,0.024,,,,,0.01352,0.00272,0.04908,0.531377,1024040,927962,1024040,927962,48002.4,28834.6,27509.7,0,0,0.0422,29660.3,0.14788,0.0048,0.0008,0.5,0,0.00672,0.75804,0.24396,0.24196,0.51408,0.0182,0.13436,0.00208,0.024,0.01352,0.00272,0.023,0.02608
"Litigated",0.244,0,0.24396,0.386184,1,1,0.740121,0.163961,0.423576,0.275552,0.155166,0.096747,0.0746024,,,,,0.550746,0.00852599,0.285293,0.22807,0.689394,0.477273,0.0993564,0.177033,0.0983768,,,,,0.0554189,0.0111494,0.201181,0.531377,951015,915438,951015,915438,133546,59364.8,47273.9,0,0,0.172979,29660.3,0.606165,0.0196754,0.00327923,0.331366,0,1.30579,1,1,0,0,0.0746024,0.550746,0.00852599,0.0983768,0.0554189,0.0111494,0.0942778,0.106903
"Settles",0.0422,0,0.0422,0.416588,1,1,0.540284,0.452133,0.279621,0.309637,0.14664,0.085535,0.43128,,,,,0,0,0.56872,0.56872,0.625,0.6875,0.118471,0.176505,0.56872,,,,,0,0,0,,964364,905043,964364,905043,130592,60747.2,51842,0,0,1,29660.3,0,0,0,0.384834,0,1.1346,1,1,0,0,0.43128,0,0,0.56872,0,0,0,0
"Tried",0.0491,0,0.04908,0.500951,1,1,0.656072,0.184189,0.654284,0.236278,0.169442,0.119543,0,,,,,0,0,0.640587,0.517522,0.72619,0.357143,0.0884336,0.177334,0,,,,,0,0,1,0.531377,948138,841862,948138,841862,210000,110949,65521.6,0,0,0,,0,0,0,0.471883,0,2.48411,1,1,0,0,0,0,0,0,0,0,0.468623,0.531377
"Abandoned",0.1527,0,0.15268,0.340887,1,1,0.822374,0.0778098,0.575137,0.208333,0.162899,0.0986991,0,,,,,0.88001,0.0136233,0.092743,0.0408698,,,,,0,,,,,0.0885512,0.017815,0,,948251,941963,948251,941963,109786,42400.4,40145.4,0,0,0,,0.968562,0.0314383,0.00523972,0.271417,0,0.974325,1,1,0,0,0,0.88001,0.0136233,0,0.0885512,0.017815,0,0
"OneRound",0.1546,0,0.15464,0.344456,1,1,0.878686,0.181066,0.245242,0.194598,0.200593,0.0613098,0.117693,,,,,0.868857,0.0134506,0,0,,,,,0,,,,,0,0,0,,951005,943995,951005,943995,105000,40377,40596.2,0,0,0.117693,18351.6,0.868857,0.0134506,0.00413864,0.276255,0,0.922142,1,1,0,0,0.117693,0.868857,0.0134506,0,0,0,0,0
"TwoRounds",0.0893,0,0.08932,0.458427,1,1,0.500224,0.134348,0.500797,0.310606,0.135496,0.112092,0,,,,,0,0,0.779221,0.622929,0.689394,0.477273,0.0993564,0.177033,0.268697,,,,,0.151366,0.0304523,0.549485,0.531377,951033,865998,951033,865998,182969,92238.4,58834.9,0,0,0.268697,38236.1,0.151366,0.0304523,0.00179131,0.42678,0,1.97,1,1,0,0,0,0,0,0.268697,0.151366,0.0304523,0.257501,0.291984
"ThreeRounds",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
