"Filter","All","P2 0.17  ","P2 0.33  ","P2 0.5  ","P2 0.67  ","P2 0.83  "
"All",1,0.200461,0.102103,0.09303,0.120248,0.484159
"PSignal Liab 1 Dam 1",0.0004,1,0,0,0,0
"PSignal Liab 1 Dam 2",0.0012,1,0,0,0,0
"PSignal Liab 1 Dam 3",0.001,1,0,0,0,0
"PSignal Liab 1 Dam 4",0.0016,1,0,0,0,0
"PSignal Liab 1 Dam 5",0.001,1,0,0,0,0
"PSignal Liab 2 Dam 1",0.0036,0.92,0.04,0,0.04,0
"PSignal Liab 2 Dam 2",0.0029,0.95,0,0.05,0,0
"PSignal Liab 2 Dam 3",0.0107,0.878378,0.108108,0.0135135,0,0
"PSignal Liab 2 Dam 4",0.0948,0.958967,0.00759878,0.00303951,0.00759878,0.0227964
"PSignal Liab 2 Dam 5",0.0917,0.967033,0.00784929,0.00156986,0.00627943,0.0172684
"PSignal Liab 3 Dam 1",0.1535,0.000938086,0.642589,0.32364,0.0309568,0.00187617
"PSignal Liab 3 Dam 2",0.1326,0,0.00217155,0.270358,0.331162,0.396308
"PSignal Liab 3 Dam 3",0.0994,0,0.00289855,0.00434783,0.0304348,0.962319
"PSignal Liab 3 Dam 4",0.0743,0,0,0.00193798,0.00968992,0.988372
"PSignal Liab 3 Dam 5",0.054,0.00266667,0,0,0.008,0.989333
"PSignal Liab 4 Dam 1",0.0709,0,0,0.0833333,0.79878,0.117886
"PSignal Liab 4 Dam 2",0.0445,0,0,0.00323625,0.165049,0.831715
"PSignal Liab 4 Dam 3",0.0477,0,0.00302115,0,0.00302115,0.993958
"PSignal Liab 4 Dam 4",0.0328,0,0,0,0,1
"PSignal Liab 4 Dam 5",0.019,0,0,0.00757576,0,0.992424
"PSignal Liab 5 Dam 1",0.0338,0,0,0,0.0510638,0.948936
"PSignal Liab 5 Dam 2",0.0167,0,0,0,0.00862069,0.991379
"PSignal Liab 5 Dam 3",0.0075,0,0,0,0,1
"PSignal Liab 5 Dam 4",0.0033,0,0,0,0,1
"PSignal Liab 5 Dam 5",0.0012,0,0,0,0,1
