"Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","PBargains2","DBargains2","POffer2","DOffer2","POfferMixedness2","DOfferMixedness2","Settles2","PBet2","DBet2","PBetMixedness2","DBetMixedness2","PAbandons2","DDefaults2","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","Settles1","PAbandons1","DDefaults1","Settles2","PAbandons2","DDefaults2","P Loses","P Wins"
"All",1,0,1,0.500707,0.75316,0.20188,1,1,0.407107,0.18932,0.151349,0.0697236,0.121,,,,,0.00376,0.01292,1,1,0.555971,0.435826,0.107624,0.100778,0.03644,,,,,0.00292,0.00468,0.02016,0.444444,1068480,891431,1068480,891431,40087.2,61454,11754.6,0,0,0.15744,36852.1,0.00668,0.0176,0.00032,0.5,0,-0.00172,0.75316,0.20188,0.24684,0.55128,0.121,0.00376,0.01292,0.03644,0.00292,0.00468,0.0112,0.00896
"NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DisputeArises",1,0,1,0.500707,0.75316,0.20188,1,1,0.407107,0.18932,0.151349,0.0697236,0.121,,,,,0.00376,0.01292,1,1,0.555971,0.435826,0.107624,0.100778,0.03644,,,,,0.00292,0.00468,0.02016,0.444444,1068480,891431,1068480,891431,40087.2,61454,11754.6,0,0,0.15744,36852.1,0.00668,0.0176,0.00032,0.5,0,-0.00172,0.75316,0.20188,0.24684,0.55128,0.121,0.00376,0.01292,0.03644,0.00292,0.00468,0.0112,0.00896
"Litigated",0.2019,0,0.20188,0.398587,1,1,1,1,0.407107,0.18932,0.151349,0.0697236,0.599366,,,,,0.0186249,0.0639984,1,1,0.555971,0.435826,0.107624,0.100778,0.180503,,,,,0.014464,0.0231821,0.099861,0.444444,970572,871820,970572,871820,157608,99737.4,39413.5,0,0,0.779869,36852.1,0.033089,0.0871805,0.0015851,0.358629,0,0.636814,1,1,0,0,0.599366,0.0186249,0.0639984,0.180503,0.014464,0.0231821,0.0554785,0.0443828
"Settles",0.1574,0,0.15744,0.380251,1,1,1,1,0.307461,0.186272,0.158518,0.0655744,0.768547,,,,,0,0,1,1,0.435419,0.49689,0.0987988,0.0993967,0.231453,,,,,0,0,0,,966437,892732,966437,892732,140831,82907.8,37279,0,0,1,36852.1,0,0,0,0.331555,0,0.471545,1,1,0,0,0.768547,0,0,0.231453,0,0,0,0
"Tried",0.0202,0,0.02016,0.468254,1,1,1,1,0.762235,0.19213,0.120365,0.0609433,0,,,,,0,0,1,1,0.714947,0.347222,0.121133,0.101605,0,,,,,0,0,1,0.444444,925694,774306,925694,774306,300000,185267,69295.9,0,0,0,,0,0,0,0.458333,0,1.53175,1,1,0,0,0,0,0,0,0,0,0.555556,0.444444
"Abandoned",0.0243,0,0.02428,0.459638,1,1,1,1,0.758375,0.206755,0.130589,0.103919,0,,,,,0.15486,0.532125,1,1,0.712281,0.37807,0.114102,0.105205,0,,,,,0.120264,0.192751,0,,1034650,817183,1034650,817183,148171,137850,28443.3,0,0,0,,0.275124,0.724876,0.0131796,0.4514,0,0.965404,1,1,0,0,0,0.15486,0.532125,0,0.120264,0.192751,0,0
"OneRound",0.1377,0,0.13768,0.366018,1,1,1,1,0.241623,0.190829,0.152895,0.0676905,0.87885,,,,,0.0273097,0.0938408,1,1,,,,,0,,,,,0,0,0,,977711,902289,977711,902289,120000,73951.2,32288.6,0,0,0.87885,26892.6,0.0273097,0.0938408,0.00174317,0.313771,0,0.429402,1,1,0,0,0.87885,0.0273097,0.0938408,0,0,0,0,0
"TwoRounds",0.0642,0,0.0642,0.468432,1,1,1,1,0.761994,0.186085,0.148034,0.0740836,0,,,,,0,0,1,1,0.555971,0.435826,0.107624,0.100778,0.567601,,,,,0.0454829,0.0728972,0.314019,0.444444,955261,806477,955261,806477,238262,155037,54693.3,0,0,0.567601,69923.2,0.0454829,0.0728972,0.00124611,0.454829,0,1.08162,1,1,0,0,0,0,0,0.567601,0.0454829,0.0728972,0.174455,0.139564
"ThreeRounds",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PrePrimary5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PrePrimary6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PrePrimary7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PrePrimary8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PrePrimary9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PrePrimary10",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Truly Liable",0.5,0,0.5,0.654387,0.93848,0.1448,1,1,0.472468,0.199908,0.154359,0.0809865,0.07184,,,,,0.00288,0.01168,1,1,0.587443,0.464155,0.10506,0.103499,0.03256,,,,,0.00176,0.0056,0.01848,0.532468,1103690,860106,1103690,860106,36200.4,45663.6,23509.2,0,0,0.1044,42969.3,0.00464,0.01728,0.00016,1,0,-0.00336,0.93848,0.1448,0.06152,0.79368,0.07184,0.00288,0.01168,0.03256,0.00176,0.0056,0.00864,0.00984
"Truly Not Liable",0.5,0,0.5,0.347027,0.56784,0.25896,1,1,0.370559,0.1834,0.149666,0.0634258,0.17016,,,,,0.00464,0.01416,1,1,0.529714,0.41219,0.109763,0.0985073,0.04032,,,,,0.00408,0.00376,0.02184,0.369963,1033270,922756,1033270,922756,43974,77244.4,0,0,0,0.21048,33817.9,0.00872,0.01792,0.00048,0,0,-8E-05,0.56784,0.25896,0.43216,0.30888,0.17016,0.00464,0.01416,0.04032,0.00408,0.00376,0.01376,0.00808
"AllCount",25000,0,25000,0.500707,18829,5047,25000,25000,0.407107,0.18932,0.151349,0.0697236,3025,,,,,94,323,25000,25000,0.555971,0.435826,0.107624,0.100778,911,,,,,73,117,504,224,1068480,891431,1068480,891431,40087.2,61454,11754.6,0,0,3936,36852.1,167,440,8,12500,0,-0.00172,18829,5047,6171,13782,3025,94,323,911,73,117,280,224
"Liability Strength1",0.2024,0,0.2024,0.166667,0.187747,0.173518,1,1,0.23918,0.173311,0.139767,0.0405995,0.149802,,,,,0.00494071,0.00118577,1,1,0.318352,0.219101,0.109515,0.0645315,0.0118577,,,,,0.000790514,0,0.004941,0,994871,982066,994871,982066,23063.2,17460.5,3051.88,0,0,0.16166,25962.7,0.00573123,0.00118577,0.000197628,0.0268775,0,-0.0013834,0.187747,0.173518,0.812253,0.0142292,0.149802,0.00494071,0.00118577,0.0118577,0.000790514,0,0.00494071,0
"Liability Strength2",0.1557,0,0.15572,0.333333,0.628564,0.441048,1,1,0.354688,0.183654,0.155489,0.0631007,0.305677,,,,,0.00693553,0.023889,1,1,0.488124,0.361998,0.119825,0.103104,0.0565117,,,,,0.00976111,0.0035962,0.034678,0.111111,1009010,922718,1009010,922718,68268.7,59258.9,23108.8,0,0,0.362189,31844,0.0166966,0.0274852,0.000256871,0.244798,0,0.0197791,0.628564,0.441048,0.371436,0.187516,0.305677,0.00693553,0.023889,0.0565117,0.00976111,0.0035962,0.0308246,0.0038531
"Liability Strength3",0.2777,0,0.27772,0.5,0.913438,0.301455,1,1,0.479455,0.193024,0.153857,0.0812359,0.144174,,,,,0.00561717,0.0282299,1,1,0.588876,0.476079,0.106626,0.107882,0.072159,,,,,0.00446493,0.00806568,0.038744,0.539033,1075820,864232,1075820,864232,59950.3,90576.8,20584.4,0,0,0.216333,43733.4,0.0100821,0.0362955,0.00086418,0.50036,0,-0.0116664,0.913438,0.301455,0.086562,0.611983,0.144174,0.00561717,0.0282299,0.072159,0.00446493,0.00806568,0.0178597,0.0208843
"Liability Strength4",0.1636,0,0.16356,0.666667,0.997799,0.0772805,1,1,0.637131,0.215717,0.150097,0.0980713,0.01663,,,,,0.000733676,0.00538029,1,1,0.623318,0.501495,0.0928753,0.08124,0.0308144,,,,,0,0.00880411,0.014918,0.836066,1123510,847159,1123510,847159,29332.4,75792.4,7095.26,0,0,0.0474444,63273.2,0.000733676,0.0141844,0,0.750795,0,-0.00880411,0.997799,0.0772805,0.00220103,0.920518,0.01663,0.000733676,0.00538029,0.0308144,0,0.00880411,0.00244559,0.0124725
"Liability Strength5",0.2006,0,0.2006,0.833333,0.999003,0.00857428,1,1,0.717054,0.368217,0.109665,0.160169,0.00159521,,,,,0,0.00119641,1,1,0.747126,0.442529,0.0734822,0.11966,0.000797607,,,,,0,0.00219342,0.002792,0.928571,1133890,849449,1133890,849449,16657,55536.4,3296.11,0,0,0.00239282,79166.7,0,0.00338983,0,0.970489,0,0.000797607,0.999003,0.00857428,0.000997009,0.990429,0.00159521,0,0.00119641,0.000797607,0,0.00219342,0.0001994,0.0025922
"PLiabilitySignal1",0.1911,0,0.19108,0.196706,0.0621729,0.0498221,1,1,0.191877,0.17507,0.0667739,0.0486753,0.0458447,,,,,0.00251204,0,1,1,0.5,0.309524,0.151505,0.0804342,0.000209336,,,,,0,0,0.001256,0,999749,993842,999749,993842,6408.83,5715.93,7035.8,0,0,0.046054,25909.1,0.00251204,0,0,0.066569,0,-0.355244,0.0621729,0.0498221,0.937827,0.0123508,0.0458447,0.00251204,0,0.000209336,0,0,0.00125602,0
