"Scenario","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PDoesntFile","P Files","DDoesntAnswer","D Answers","Settles1","DoesntSettle1","PAbandons1","PDoesntAbandon1","DDefaults1","DDoesntDefault1","POrDQuits1","P Loses","P Wins"
"WarmCosts25000","All",1,0,1,0.498833,0.564,0.437,0,0,,,,,0,,,,,0,0,0.437,0.729977,1031290,936855,1031290,936855,31860,25210,24120,0,0,0,,0,0,0,0.495,0,-0.018,0.436,0.564,0.127,0.437,0,0.437,0,0.437,0,0.437,0,0.118,0.319
"WarmCosts25000","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WarmCosts25000","DisputeArises",1,0,1,0.498833,0.564,0.437,0,0,,,,,0,,,,,0,0,0.437,0.729977,1031290,936855,1031290,936855,31860,25210,24120,0,0,0,,0,0,0,0.495,0,-0.018,0.436,0.564,0.127,0.437,0,0.437,0,0.437,0,0.437,0,0.118,0.319
"WarmCosts25000","Litigated",0.437,0,0.437,0.62624,1,1,0,0,,,,,0,,,,,0,0,1,0.729977,1030900,899096,1030900,899096,70000,47219.7,36659,0,0,0,,0,0,0,0.693364,0,0.302059,0,1,0,1,0,1,0,1,0,1,0,0.270023,0.729977
"WarmCosts25000","Settles",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WarmCosts25000","Tried",0.437,0,0.437,0.62624,1,1,0,0,,,,,0,,,,,0,0,1,0.729977,1030900,899096,1030900,899096,70000,47219.7,36659,0,0,0,,0,0,0,0.693364,0,0.302059,0,1,0,1,0,1,0,1,0,1,0,0.270023,0.729977
"WarmCosts25000","Abandoned",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WarmCosts25000","OneRound",0.437,0,0.437,0.62624,1,1,0,0,,,,,0,,,,,0,0,1,0.729977,1030900,899096,1030900,899096,70000,47219.7,36659,0,0,0,,0,0,0,0.693364,0,0.302059,0,1,0,1,0,1,0,1,0,1,0,0.270023,0.729977
"WarmCosts25000","TwoRounds",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WarmCosts25000","ThreeRounds",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WarmCosts25000","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WarmCosts25000","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WarmCosts25000","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WarmCosts25000","PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WarmCosts25000","PrePrimary5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WarmCosts25000","PrePrimary6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WarmCosts25000","PrePrimary7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WarmCosts25000","PrePrimary8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WarmCosts25000","PrePrimary9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WarmCosts25000","PrePrimary10",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WarmCosts25000","Truly Liable",0.495,0,0.495,0.659596,0.824242,0.612121,0,0,,,,,0,,,,,0,0,0.612121,0.831683,1053320,901707,1053320,901707,44969.7,21656.6,48727.3,0,0,0,,0,0,0,1,0,-3.40531E-17,0.175758,0.824242,0.212121,0.612121,0,0.612121,0,0.612121,0,0.612121,0,0.10303,0.509091
"WarmCosts25000","Truly Not Liable",0.505,0,0.505,0.341254,0.308911,0.265347,0,0,,,,,0,,,,,0,0,0.265347,0.5,1009680,971307,1009680,971307,19009.9,28693.1,0,0,0,0,,0,0,0,0,0,-0.0356436,0.691089,0.308911,0.0435644,0.265347,0,0.265347,0,0.265347,0,0.265347,0,0.132673,0.132673
"WarmCosts25000","AllCount",1000,0,1000,0.498833,564,437,0,0,,,,,0,,,,,0,0,437,319,1031290,936855,1031290,936855,31860,25210,24120,0,0,0,,0,0,0,495,0,-0.018,436,564,127,437,0,437,0,437,0,437,0,118,319
"WarmCosts25000","Liability Strength1",0.207,0,0.207,0.166667,0,0,0,0,,,,,0,,,,,0,0,0,,1000000,1000000,1000000,1000000,0,0,1932.37,0,0,0,,0,0,0,0.0193237,0,-0.0193237,1,0,0,0,0,0,0,0,0,0,0,0,0
"WarmCosts25000","Liability Strength2",0.152,0,0.152,0.333333,0.190789,0.190789,0,0,,,,,0,,,,,0,0,0.190789,0.0344828,994145,992500,994145,992500,13355.3,6118.42,24078.9,0,0,0,,0,0,0,0.210526,0,0.0263158,0.809211,0.190789,0,0.190789,0,0.190789,0,0.190789,0,0.190789,0,0.184211,0.0065789
"WarmCosts25000","Liability Strength3",0.286,0,0.286,0.5,0.65035,0.611888,0,0,,,,,0,,,,,0,0,0.611888,0.485714,1014650,942133,1014650,942133,43216.8,33653.8,43444.1,0,0,0,,0,0,0,0.513986,0,-0.013986,0.34965,0.65035,0.0384615,0.611888,0,0.611888,0,0.611888,0,0.611888,0,0.314685,0.297203
"WarmCosts25000","Liability Strength4",0.151,0,0.151,0.666667,0.966887,0.701987,0,0,,,,,0,,,,,0,0,0.701987,1,1078250,869967,1078250,869967,51788.1,56688.7,20264.9,0,0,0,,0,0,0,0.728477,0,-0.0993377,0.0331126,0.966887,0.264901,0.701987,0,0.701987,0,0.701987,0,0.701987,0,0,0.701987
"WarmCosts25000","Liability Strength5",0.204,0,0.204,0.833333,0.995098,0.622549,0,0,,,,,0,,,,,0,0,0.622549,1,1079260,873431,1079260,873431,47303.9,29877.5,22426.5,0,0,0,,0,0,0,0.990196,0,0.00490196,0.00490196,0.995098,0.372549,0.622549,0,0.622549,0,0.622549,0,0.622549,0,0,0.622549
"WarmCosts25000","PLiabilitySignal1",0.196,0,0.196,0.193027,0,0,0,0,,,,,0,,,,,0,0,0,,1000000,1000000,1000000,1000000,0,0,5612.24,0,0,0,,0,0,0,0.0510204,0,-0.321429,1,0,0,0,0,0,0,0,0,0,0,0,0
"WarmCosts25000","PLiabilitySignal2",0.195,0,0.195,0.35641,0,0,0,0,,,,,0,,,,,0,0,0,,1000000,1000000,1000000,1000000,0,0,24871.8,0,0,0,,0,0,0,0.266667,0,-0.235897,1,0,0,0,0,0,0,0,0,0,0,0,0
"WarmCosts25000","PLiabilitySignal3",0.226,0,0.226,0.498525,0.800885,0.721239,0,0,,,,,0,,,,,0,0,0.721239,0.447853,1018980,929735,1018980,929735,51283.2,39756.6,38141.6,0,0,0,,0,0,0,0.504425,0,-0.00442478,0.199115,0.800885,0.079646,0.721239,0,0.721239,0,0.721239,0,0.721239,0,0.39823,0.323009
"WarmCosts25000","PLiabilitySignal4",0.178,0,0.178,0.640449,1,0.775281,0,0,,,,,0,,,,,0,0,0.775281,0.804348,1062890,880590,1062890,880590,56516.9,50786.5,28792.1,0,0,0,,0,0,0,0.696629,0,0.129213,0,1,0.224719,0.775281,0,0.775281,0,0.775281,0,0.775281,0,0.151685,0.623596
