"Scenario","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","PBargains2","DBargains2","POffer2","DOffer2","POfferMixedness2","DOfferMixedness2","Settles2","PBet2","DBet2","PBetMixedness2","DBetMixedness2","PAbandons2","DDefaults2","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PDoesntFile","P Files","DDoesntAnswer","D Answers","Settles1","DoesntSettle1","PAbandons1","PDoesntAbandon1","DDefaults1","DDoesntDefault1","POrDQuits1","Settles2","DoesntSettle2","PAbandons2","PDoesntAbandon2","DDefaults2","DDoesntDefault2","POrDQuits2","P Loses","P Wins"
"CostsMult0","PrePrimary10",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CostsMult0","Truly Liable",0.4968,0,0.4968,0.657609,1,1,0.0785024,0.298712,0.773201,0.295928,0.0402249,0.0686944,0,,,,,0,0,0.256844,0.640097,0.688889,0.344444,0.0879585,0.0622463,0.000805153,,,,,0,0,0.999195,0.721998,1072180,927818,1072180,927818,0,0,27818,0,0,0.00080515,50000,0,0,0,1,0,0.00161031,0,1,0,1,0,1,0,1,0,1,0,0.000805153,0.999195,0,0.999195,0,0.999195,0,0.277778,0.721417
"CostsMult0","Truly Not Liable",0.5032,0,0.5032,0.343336,1,1,0.263911,0.127186,0.69944,0.221423,0.0786326,0.0373164,0,,,,,0,0,0.504372,0.329889,0.619048,0.261905,0.0932089,0.0716129,0.00119237,,,,,0,0,0.998808,0.274572,1027480,972523,1027480,972523,0,27477.5,0,0,0,0.00119237,44444.4,0,0,0,0,0,0.00238474,0,1,0,1,0,1,0,1,0,1,0,0.00119237,0.998808,0,0.998808,0,0.998808,0,0.724563,0.274245
"CostsMult0","AllCount",5000,0,5000,0.499467,5000,5000,859,1062,0.733203,0.255527,0.061052,0.0516793,0,,,,,0,0,1907,2420,0.648148,0.296296,0.0910213,0.0677101,5,,,,,0,0,4995,2482,1049690,950313,1049690,950313,0,13826.7,13820,0,0,5,46666.7,0,0,0,2484,0,0.002,0,5000,0,5000,0,5000,0,5000,0,5000,0,5,4995,0,4995,0,4995,0,2513,2482
"CostsMult0","Liability Strength1",0.2066,0,0.2066,0.166667,1,1,0.394966,0.0367861,0.665441,0.181373,0.0989408,0.0207935,0,,,,,0,0,0.631171,0.159729,0.619048,0.285714,0.0910608,0.0658611,0,,,,,0,0,1,0.0590513,1005910,994095,1005910,994095,0,5905.13,2710.55,0,0,0,,0,0,0,0.0271055,0,-0.0232333,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0.940949,0.0590513
"CostsMult0","Liability Strength2",0.1518,0,0.1518,0.333333,1,1,0.220026,0.108037,0.672886,0.197761,0.0840837,0.0300011,0,,,,,0,0,0.516469,0.322793,0.583333,0.208333,0.0977987,0.0635907,0,,,,,0,0,1,0.192358,1019240,980764,1019240,980764,0,13702.2,16205.5,0,0,0,,0,0,0,0.217391,0,0.030303,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0.807642,0.192358
"CostsMult0","Liability Strength3",0.2786,0,0.2786,0.5,1,1,0.173726,0.230438,0.73818,0.26773,0.0597247,0.057292,0,,,,,0,0,0.399139,0.495334,0.666667,0.280702,0.0905587,0.0733597,0.00215363,,,,,0,0,0.997846,0.48777,1048770,951232,1048770,951232,0,25221.3,26202.4,0,0,0.00215363,44444.4,0,0,0,0.497487,0,-0.0323044,0,1,0,1,0,1,0,1,0,1,0,0.00215363,0.997846,0,0.997846,0,0.997846,0,0.511127,0.486719
"CostsMult0","Liability Strength4",0.1642,0,0.1642,0.666667,1,1,0.0426309,0.27162,0.79085,0.294118,0.0329984,0.0697369,0,,,,,0,0,0.211937,0.621194,0.633333,0.466667,0.088635,0.0494721,0.00243605,,,,,0,0,0.997564,0.796093,1079540,920463,1079540,920463,0,18757.6,15468.9,0,0,0.00243605,50000,0,0,0,0.762485,0,0.107186,0,1,0,1,0,1,0,1,0,1,0,0.00243605,0.997564,0,0.997564,0,0.997564,0,0.20341,0.794153
"CostsMult0","Liability Strength5",0.1988,0,0.1988,0.833333,1,1,0.00704225,0.400402,0.82029,0.346377,0.0175443,0.0836856,0,,,,,0,0,0.133803,0.814889,0.833333,0.166667,0.0843551,0.0809796,0,,,,,0,0,1,0.950704,1095070,904930,1095070,904930,0,2112.68,4828.97,0,0,0,,0,0,0,0.977867,0,-0.0321932,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0.0492958,0.950704
"CostsMult0","PLiabilitySignal1",0.1678,0,0.1678,0.252483,1,1,0.449344,0.0738975,0.590164,0.204918,0.12288,0.0330426,0,,,,,0,0,0.774732,0.246722,0.512821,0.282051,0.103648,0.0635359,0.00595948,,,,,0,0,0.994041,0.153477,1015530,984466,1015530,984466,0,10886,6793.8,0,0,0.00595948,46666.7,0,0,0,0.114422,0,-1.04052,0,1,0,1,0,1,0,1,0,1,0,0.00595948,0.994041,0,0.994041,0,0.994041,0,0.841478,0.152563
