"Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","PBargains2","DBargains2","POffer2","DOffer2","POfferMixedness2","DOfferMixedness2","Settles2","PBet2","DBet2","PBetMixedness2","DBetMixedness2","PAbandons2","DDefaults2","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","Settles1","PAbandons1","DDefaults1","Settles2","PAbandons2","DDefaults2","P Loses","P Wins"
"Truly Not Liable",0.5,0,0.5,0.347027,0.99976,0.99952,1,1,0.480938,0.301398,0.0397925,0.0373203,0.706,,,,,0,8E-05,1,1,0.560115,0.302572,0.0636905,0.0570437,0.1264,,,,,0.00024,8E-05,0.16672,0.434741,1029100,917115,1029100,917115,53786.8,82884.7,0,0,0,0.8324,51624.2,0.00024,0.00016,0,0,0,-8E-05,0.99976,0.99952,0.00024,0.00024,0.706,0,8E-05,0.1264,0.00024,8E-05,0.09424,0.07248
"AllCount",25000,0,25000,0.500707,24994,24985,25000,25000,0.626376,0.456034,0.0331201,0.0394642,18064,,,,,0,3,25000,25000,0.60651,0.330563,0.0622141,0.0687792,2559,,,,,5,4,4350,2284,1054680,891824,1054680,891824,53499.4,62497,16253,0,0,20623,80147.8,5,7,0,12500,0,-0.00172,24994,24985,6,9,18064,0,3,2559,5,4,2066,2284
"Liability Strength1",0.2024,0,0.2024,0.166667,0.999802,0.999605,1,1,0.224002,0.168413,0.0362508,0.0166521,0.908103,,,,,0,0,1,1,0.220302,0.170986,0.0713277,0.0174807,0.0824111,,,,,0,0,0.009091,0,1003470,953526,1003470,953526,43003,45228.8,2786.56,0,0,0.990514,25182.1,0,0,0,0.0268775,0,-0.0013834,0.999802,0.999605,0.000197628,0.000197628,0.908103,0,0,0.0824111,0,0,0.00909091,0
"Liability Strength2",0.1557,0,0.15572,0.333333,0.999486,0.999486,1,1,0.472758,0.219866,0.054004,0.0338281,0.583098,,,,,0,0,1,1,0.44962,0.221365,0.0683682,0.0313119,0.219368,,,,,0.000256871,0.000256871,0.196507,0.129412,1003850,937787,1003850,937787,58366.3,47750.4,26038.4,0,0,0.802466,34775.1,0.000256871,0.000256871,0,0.244798,0,0.0197791,0.999486,0.999486,0.000513743,0,0.583098,0,0,0.219368,0.000256871,0.000256871,0.171076,0.0254303
"Liability Strength3",0.2777,0,0.27772,0.5,0.999712,0.999424,1,1,0.737618,0.42057,0.0402105,0.0678626,0.482788,,,,,0,0.00014403,1,1,0.67717,0.36266,0.0627467,0.0746419,0.150223,,,,,0.00057612,0,0.365692,0.50256,1059340,874216,1059340,874216,66443.9,83068.1,25329.9,0,0,0.633012,94325.9,0.00057612,0.00014403,0,0.50036,0,-0.0116664,0.999712,0.999424,0.00028806,0.00028806,0.482788,0,0.00014403,0.150223,0.00057612,0,0.18191,0.183782
"Liability Strength4",0.1636,0,0.16356,0.666667,1,0.999022,1,1,0.82856,0.676989,0.0203002,0.0425304,0.762045,,,,,0,0.000244559,1,1,0.73261,0.432335,0.0530942,0.114071,0.0516019,,,,,0,0.000489117,0.184642,0.886093,1098390,848999,1098390,848999,52607,75058,13684.9,0,0,0.813646,122723,0,0.000733676,0,0.750795,0,-0.00880411,1,0.999022,0,0.000978234,0.762045,0,0.000244559,0.0516019,0,0.000489117,0.021032,0.16361
"Liability Strength5",0.2006,0,0.2006,0.833333,0.999801,0.999402,1,1,0.832901,0.79865,0.0143801,0.0250451,0.94337,,,,,0,0.000199402,1,1,0.8125,0.46369,0.0362237,0.13885,0.00677966,,,,,0,0.000199402,0.048853,0.979592,1103700,853182,1103700,853182,43118.6,52646.5,11771.7,0,0,0.95015,124906,0,0.000398804,0,0.970489,0,0.000797607,0.999801,0.999402,0.000199402,0.000398804,0.94337,0,0.000199402,0.00677966,0,0.000199402,0.00099701,0.0478564
"PLiabilitySignal1",0.1911,0,0.19108,0.196706,0.999581,0.999372,1,1,0.168517,0.179025,0.0269948,0.0196902,0.992673,,,,,0,0,1,1,0.182292,0.166667,0.0710766,0.0279581,0.00648943,,,,,0,0,0.000209,0,1005860,953959,1005860,953959,40183.2,42860.6,6552.75,0,0,0.999163,25940.2,0,0,0,0.066569,0,-0.355244,0.999581,0.999372,0.000418673,0.000209336,0.992673,0,0,0.00648943,0,0,0.00020934,0
"PLiabilitySignal2",0.19,0,0.19,0.347158,0.999789,0.999789,1,1,0.422194,0.269601,0.0700026,0.0392402,0.710316,,,,,0,0,1,1,0.183273,0.214182,0.0735241,0.0279697,0.279789,,,,,0.000210526,0,0.009474,0.133333,1014490,936549,1014490,936549,48960,45598.9,21581.1,0,0,0.990105,39094.7,0.000210526,0,0,0.275368,0,-0.168,0.999789,0.999789,0.000210526,0,0.710316,0,0,0.279789,0.000210526,0,0.00821053,0.0012632
"PLiabilitySignal3",0.2284,0,0.2284,0.497986,0.99965,0.998949,1,1,0.826788,0.423124,0.0385178,0.0575889,0.378809,,,,,0,0,1,1,0.672738,0.336722,0.0712868,0.0679378,0.161996,,,,,0.000700525,0.000175131,0.457268,0.411337,1057200,870515,1057200,870515,72283.7,84653.1,23323.2,0,0,0.540806,110185,0.000700525,0.000175131,0,0.499124,0,-0.00875657,0.99965,0.998949,0.000350263,0.000700525,0.378809,0,0,0.161996,0.000700525,0.000175131,0.269177,0.188091
