"Filter","All","P2 0.17  ","P2 0.33  ","P2 0.5  ","P2 0.67  ","P2 0.83  "
"All",1,0.00529686,0.46984,0.0568424,0.383667,0.0843545
"PSignal Liab 1 Dam 1",0.0002,1,0,0,0,0
"PSignal Liab 1 Dam 2",0.0002,1,0,0,0,0
"PSignal Liab 1 Dam 3",7.9E-5,1,0,0,0,0
"PSignal Liab 1 Dam 4",0.0002,1,0,0,0,0
"PSignal Liab 1 Dam 5",0.0003,1,0,0,0,0
"PSignal Liab 2 Dam 1",0.0005,1,0,0,0,0
"PSignal Liab 2 Dam 2",0.0004,1,0,0,0,0
"PSignal Liab 2 Dam 3",0.0006,1,0,0,0,0
"PSignal Liab 2 Dam 4",0.0006,0.714286,0,0,0,0.285714
"PSignal Liab 2 Dam 5",0.0005,0.666667,0.166667,0,0.166667,0
"PSignal Liab 3 Dam 1",0.0021,0.346154,0.576923,0,0.0384615,0.0384615
"PSignal Liab 3 Dam 2",0.091,0.00347524,0.99305,0.00173762,0.00086881,0.00086881
"PSignal Liab 3 Dam 3",0.0823,0.00480307,0.989433,0.00384246,0.000960615,0.000960615
"PSignal Liab 3 Dam 4",0.0924,0,0.964927,0.0325064,0.0025663,0
"PSignal Liab 3 Dam 5",0.0873,0,0.0117754,0.417572,0.570652,0
"PSignal Liab 4 Dam 1",0.0666,0.00593824,0.989311,0.00356295,0.00118765,0
"PSignal Liab 4 Dam 2",0.0614,0.002574,0.985843,0.00514801,0.00643501,0
"PSignal Liab 4 Dam 3",0.0764,0,0.00310559,0.0238095,0.971014,0.00207039
"PSignal Liab 4 Dam 4",0.0727,0,0.00108696,0.00543478,0.91087,0.0826087
"PSignal Liab 4 Dam 5",0.0644,0,0,0.002457,0.7543,0.243243
"PSignal Liab 5 Dam 1",0.081,0,0.985352,0.00976563,0.00292969,0.00195313
"PSignal Liab 5 Dam 2",0.0783,0.00100908,0.00100908,0.162462,0.700303,0.135217
"PSignal Liab 5 Dam 3",0.0644,0,0,0.00737101,0.988943,0.0036855
"PSignal Liab 5 Dam 4",0.047,0.0016835,0,0,0.535354,0.462963
"PSignal Liab 5 Dam 5",0.0294,0,0,0,0,1
