"Scenario","Filter","All","D3 0.17  ","D3 0.33  ","D3 0.5  ","D3 0.67  ","D3 0.83  "
"WarmCosts25000","All",1,0.00266272,0.00384615,0.0112426,0.00739645,0.0159763
"WarmCosts25000","DLiabilitySignal 1",0.0033,0,0,0,0,0
"WarmCosts25000","DLiabilitySignal 2",0.0462,0,0,0,0,0
"WarmCosts25000","DLiabilitySignal 3",0.3633,0.002443,0.00732899,0.019544,0.00570033,0.00325733
"WarmCosts25000","DLiabilitySignal 4",0.0666,0.00888889,0.0177778,0.0533333,0.0622222,0.16
"WarmCosts25000","DLiabilitySignal 5",0.0118,0.1,0,0.05,0.1,0.35
"WarmCosts0","All",1,0.0101659,0.0104334,0.00722311,0.0133761,0.000802568
"WarmCosts0","DLiabilitySignal 1",0.0003,0,0,0,0,0
"WarmCosts0","DLiabilitySignal 2",0.0177,0.121212,0.136364,0.0606061,0,0
"WarmCosts0","DLiabilitySignal 3",0.1297,0.0474227,0.0494845,0.0164948,0.00824742,0
"WarmCosts0","DLiabilitySignal 4",0.0313,0.0512821,0.042735,0.128205,0.367521,0.00854701
"WarmCosts0","DLiabilitySignal 5",0.0019,0.142857,0.142857,0,0.428571,0.285714
"WarmCosts5000","All",1,0.03642,0.0232468,0.0468811,0.0104611,0
"WarmCosts5000","DLiabilitySignal 1",0.0004,0,0,0,0,0
"WarmCosts5000","DLiabilitySignal 2",0.0236,0.295082,0.229508,0.0163934,0,0
"WarmCosts5000","DLiabilitySignal 3",0.2584,0.0524738,0.0524738,0.158921,0.0029985,0
"WarmCosts5000","DLiabilitySignal 4",0.0744,0.213542,0.0572917,0.0677083,0.125,0
"WarmCosts5000","DLiabilitySignal 5",0.0012,0,0,0.333333,0.333333,0
"WarmCosts10000","All",1,0,0,0.000326797,0.000326797,0
"WarmCosts10000","DLiabilitySignal 1",0.0016,0,0,0,0,0
"WarmCosts10000","DLiabilitySignal 2",0.0258,0,0,0,0,0
"WarmCosts10000","DLiabilitySignal 3",0.2373,0,0,0,0.00137741,0
"WarmCosts10000","DLiabilitySignal 4",0.0268,0,0,0.0121951,0,0
"WarmCosts10000","DLiabilitySignal 5",0,,,,,
"WarmCosts15000","All",1,0.00071599,0.00167064,0.00071599,0.00071599,0
"WarmCosts15000","DLiabilitySignal 1",0.015,0,0,0,0,0
"WarmCosts15000","DLiabilitySignal 2",0.101,0.00236407,0,0,0,0
"WarmCosts15000","DLiabilitySignal 3",0.1792,0.00133156,0.00798935,0.00133156,0,0
"WarmCosts15000","DLiabilitySignal 4",0.0871,0.00273973,0.00273973,0.00547945,0.00821918,0
"WarmCosts15000","DLiabilitySignal 5",0,,,,,
