"Filter","All","Trial","PWinsAtTrial","DWinsAtTrial","TrialDamages","PWelfare","DWelfare","LiabStr 1","LiabStrPct 1","LiabStr 2","LiabStrPct 2","LiabStr 3","LiabStrPct 3","LiabStr 4","LiabStrPct 4","LiabStr 5","LiabStrPct 5","DamStr 1","DamStr 2","DamStr 3","DamStr 4","DamStr 5","PLiabilitySignal 1","PLiabilitySignal 2","PLiabilitySignal 3","PLiabilitySignal 4","PLiabilitySignal 5","DLiabilitySignal 1","DLiabilitySignal 2","DLiabilitySignal 3","DLiabilitySignal 4","DLiabilitySignal 5"
"PSignal Liab 3 Dam 1",0.0456,1,0.501317,0.498683,30684.8,1011370,888631,0.00702371,0.00165289,0.145742,0.0413656,0.712028,0.115874,0.132572,0.03733,0.00263389,0.000587889,0.790167,0.203687,0.00614574,0,0,0,0,1,0,0,0.0368745,0.235294,0.466198,0.223003,0.0386304
"PSignal Liab 3 Dam 2",0.0464,1,0.503883,0.496117,38740.3,1027480,872520,0.0069025,0.00165289,0.146678,0.0423623,0.710958,0.117731,0.126833,0.0363412,0.00862813,0.00195963,0.208801,0.583261,0.201898,0.00603969,0,0,0,1,0,0,0.0293356,0.213978,0.477135,0.244176,0.0353753
"PSignal Liab 3 Dam 3",0.0459,1,0.507411,0.492589,49498.7,1049000,851004,0.0043592,0.00103306,0.160418,0.045851,0.701831,0.115016,0.129032,0.0365884,0.0043592,0.000979816,0.00610288,0.214473,0.584133,0.193548,0.00174368,0,0,1,0,0,0.0348736,0.197908,0.503923,0.226678,0.0366173
"PSignal Liab 3 Dam 4",0.0454,1,0.518519,0.481481,61640.2,1073280,826720,0.00440917,0.00103306,0.116402,0.0328931,0.722222,0.117017,0.149912,0.0420272,0.00705467,0.00156771,0,0.00617284,0.185185,0.599647,0.208995,0,0,1,0,0,0.0273369,0.200176,0.500882,0.238095,0.0335097
"PSignal Liab 3 Dam 5",0.0477,1,0.505872,0.494128,68204.7,1086410,813592,0.00167785,0.000413223,0.144295,0.0428607,0.70302,0.119731,0.145134,0.0427689,0.00587248,0.00137174,0,0,0.0033557,0.19547,0.801174,0,0,1,0,0,0.045302,0.228188,0.46057,0.224832,0.0411074
"PSignal Liab 4 Dam 1",0.0352,1,0.795687,0.204313,50567.5,1051130,848866,0,0,0.00227015,0.00049838,0.258797,0.0325761,0.525539,0.114462,0.213394,0.0368411,0.800227,0.195233,0.00340522,0.00113507,0,0,0,0,1,0,0.00113507,0.0794552,0.249716,0.402951,0.266742
"PSignal Liab 4 Dam 2",0.0345,1,0.816918,0.183082,64803,1079610,820395,0,0,0.0023175,0.00049838,0.236385,0.029147,0.529548,0.112979,0.23175,0.0391926,0.183082,0.60139,0.209733,0.00579374,0,0,0,0,1,0,0.0023175,0.0556199,0.227115,0.426419,0.288528
"PSignal Liab 4 Dam 3",0.0416,1,0.788665,0.211335,77857.8,1105710,794285,0,0,0.00384246,0.000996761,0.301633,0.0448636,0.503362,0.129543,0.191162,0.0389967,0.00864553,0.205572,0.54755,0.229587,0.00864553,0,0,0,1,0,0.00192123,0.0787704,0.277618,0.388088,0.253602
"PSignal Liab 4 Dam 4",0.0453,1,0.74669,0.25331,89761.7,1129520,770478,0,0,0.00441306,0.00124595,0.324801,0.0525789,0.47308,0.132509,0.197705,0.0438957,0,0.00353045,0.185349,0.642542,0.168579,0,0,0,1,0,0.00441306,0.0732568,0.278906,0.393645,0.249779
"PSignal Liab 4 Dam 5",0.0416,1,0.770192,0.229808,104135,1158270,741732,0,0,0.00480769,0.00124595,0.325,0.0482926,0.467308,0.120148,0.202885,0.0413482,0,0,0.000961538,0.215385,0.783654,0,0,0,1,0,0.00192308,0.0923077,0.278846,0.358654,0.268269
