"Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","PBargains2","DBargains2","POffer2","DOffer2","POfferMixedness2","DOfferMixedness2","Settles2","PBet2","DBet2","PBetMixedness2","DBetMixedness2","PAbandons2","DDefaults2","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","Settles1","PAbandons1","DDefaults1","Settles2","PAbandons2","DDefaults2","P Loses","P Wins"
"All",1,0,1,0.500707,0.99976,0.99956,1,1,0.530093,0.213414,0.0539052,0.0421494,0.48416,,,,,0.00012,0.00016,1,1,0.5139,0.401913,0.0312024,0.0197559,0.29172,,,,,0.00028,8E-05,0.22304,0.696915,1022560,915309,1022560,915309,62128.2,42096.3,32332.1,0,0,0.77588,48131.2,0.0004,0.00024,0,0.5,0,-0.00172,0.99976,0.99956,0.00024,0.0002,0.48416,0.00012,0.00016,0.29172,0.00028,8E-05,0.0676,0.15544
"NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DisputeArises",1,0,1,0.500707,0.99976,0.99956,1,1,0.530093,0.213414,0.0539052,0.0421494,0.48416,,,,,0.00012,0.00016,1,1,0.5139,0.401913,0.0312024,0.0197559,0.29172,,,,,0.00028,8E-05,0.22304,0.696915,1022560,915309,1022560,915309,62128.2,42096.3,32332.1,0,0,0.77588,48131.2,0.0004,0.00024,0,0.5,0,-0.00172,0.99976,0.99956,0.00024,0.0002,0.48416,0.00012,0.00016,0.29172,0.00028,8E-05,0.0676,0.15544
"Litigated",0.9996,0,0.99956,0.500707,1,1,1,1,0.530093,0.213414,0.0539052,0.0421494,0.484373,,,,,0.000120053,0.00016007,1,1,0.5139,0.401913,0.0312024,0.0197559,0.291848,,,,,0.000280123,8.00352E-05,0.223138,0.696915,1022540,915302,1022540,915302,62154.5,42093.8,32336.3,0,0,0.776222,48131.2,0.000400176,0.000240106,0,0.49998,0,-0.00156069,1,1,0,0,0.484373,0.000120053,0.00016007,0.291848,0.000280123,8.00352E-05,0.0676298,0.155508
"Settles",0.7759,0,0.77588,0.465639,1,1,1,1,0.456205,0.22384,0.0502359,0.0417668,0.624014,,,,,0,0,1,1,0.421729,0.449906,0.0229167,0.0178207,0.375986,,,,,0,0,0,,1022490,926229,1022490,926229,51279.6,36618.2,27026.7,0,0,1,48131.2,0,0,0,0.451565,0,-0.197299,1,1,0,0,0.624014,0,0,0.375986,0,0,0,0
"Tried",0.223,0,0.22304,0.622429,1,1,1,1,0.786496,0.177158,0.066611,0.0434267,0,,,,,0,0,1,1,0.634445,0.339401,0.0419634,0.0222272,0,,,,,0,0,1,0.696915,1022710,877291,1022710,877291,100000,61123.6,50771.2,0,0,0,,0,0,0,0.668042,0,0.678981,1,1,0,0,0,0,0,0,0,0,0.303085,0.696915
"Abandoned",0.0006,0,0.00064,0.59375,1,1,1,1,0.75,0.208333,0.0742519,0.0608761,0,,,,,0.1875,0.25,1,1,0.518519,0.240741,0.078336,0.0568412,0,,,,,0.4375,0.125,0,,1027810,915313,1027810,915313,56875,48437.5,44687.5,0,0,0,,0.625,0.375,0,0.625,0,0.125,1,1,0,0,0,0.1875,0.25,0,0.4375,0.125,0,0
"OneRound",0.4844,0,0.48444,0.358985,1,1,1,1,0.25086,0.252635,0.023042,0.0330545,0.999422,,,,,0.000247709,0.000330278,1,1,,,,,0,,,,,0,0,0,,1017770,942230,1017770,942230,40000,34110.5,18712.9,0,0,0.999422,37742.7,0.000247709,0.000330278,0,0.297498,0,-0.258443,1,1,0,0,0.999422,0.000247709,0.000330278,0,0,0,0,0
"TwoRounds",0.5151,0,0.51512,0.633988,1,1,1,1,0.792696,0.176528,0.0829303,0.0507026,0,,,,,0,0,1,1,0.5139,0.401913,0.0312024,0.0197559,0.566315,,,,,0.000543563,0.000155304,0.432986,0.696915,1027030,889978,1027030,889978,82989.6,49601.6,45148.3,0,0,0.566315,65372.6,0.000543563,0.000155304,0,0.690402,0,0.240022,1,1,0,0,0,0,0,0.566315,0.000543563,0.000155304,0.131232,0.301755
"ThreeRounds",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
