"Filter","All","P1 0.17  ","P1 0.33  ","P1 0.5  ","P1 0.67  ","P1 0.83  "
"All",1,0.425856,0.00460147,0.0412532,0.0288892,0.4994
"PSignal Liab 1 Dam 1",0.0361,0.99667,0.00221976,0,0.00110988,0
"PSignal Liab 1 Dam 2",0.0379,0.99789,0.00105485,0.00105485,0,0
"PSignal Liab 1 Dam 3",0.0371,0.99784,0.00107991,0.00107991,0,0
"PSignal Liab 1 Dam 4",0.0413,0.999031,0,0.000968992,0,0
"PSignal Liab 1 Dam 5",0.0374,0.996791,0,0.00320856,0,0
"PSignal Liab 2 Dam 1",0.0411,0.998051,0.000974659,0.000974659,0,0
"PSignal Liab 2 Dam 2",0.0426,0.996241,0.00281955,0.00093985,0,0
"PSignal Liab 2 Dam 3",0.0387,0.994835,0.00413223,0.00103306,0,0
"PSignal Liab 2 Dam 4",0.0365,0.996714,0.00109529,0.00219058,0,0
"PSignal Liab 2 Dam 5",0.034,0.981154,0.00824499,0.00471143,0.00588928,0
"PSignal Liab 3 Dam 1",0.0454,0.985891,0.00793651,0.00529101,0,0.000881834
"PSignal Liab 3 Dam 2",0.0484,0.00330579,0.0140496,0.140496,0.0181818,0.823967
"PSignal Liab 3 Dam 3",0.0455,0,0.013181,0.00878735,0.0140598,0.963972
"PSignal Liab 3 Dam 4",0.0484,0,0.00661157,0.00495868,0.128926,0.859504
"PSignal Liab 3 Dam 5",0.0468,0,0.00769231,0.00769231,0.390598,0.594017
"PSignal Liab 4 Dam 1",0.033,0,0.0194175,0.25,0.00970874,0.720874
"PSignal Liab 4 Dam 2",0.0359,0,0.00558036,0.168527,0.0133929,0.8125
"PSignal Liab 4 Dam 3",0.0384,0,0.00521376,0.0114703,0,0.983316
"PSignal Liab 4 Dam 4",0.0447,0,0,0.000895255,0.00716204,0.991943
"PSignal Liab 4 Dam 5",0.0409,0,0,0,0.0166178,0.983382
"PSignal Liab 5 Dam 1",0.0396,0,0.00909091,0.206061,0.0121212,0.772727
"PSignal Liab 5 Dam 2",0.0399,0,0.00200401,0.239479,0.001002,0.757515
"PSignal Liab 5 Dam 3",0.0376,0,0,0.00319489,0.00319489,0.99361
"PSignal Liab 5 Dam 4",0.0374,0,0,0,0.00428266,0.995717
"PSignal Liab 5 Dam 5",0.0355,0,0,0,0,1
