"OptionSet","Exploit","Refine","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","PBargains2","DBargains2","POffer2","DOffer2","POfferMixedness2","DOfferMixedness2","Settles2","PBet2","DBet2","PBetMixedness2","DBetMixedness2","PAbandons2","DDefaults2","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","SettlesBR2","PAbandonsBR2","DDefaultsBR2","P Loses","P Wins","Round 1 P 1-All","P1 0.25  ","P1 0.5  ","P1 0.75  ","Round 1 D 1-All","D1 0.25  ","D1 0.5  ","D1 0.75  ","Round 2 P 2-All","P2 0.25  ","P2 0.5  ","P2 0.75  ","Round 2 D 2-All","D2 0.25  ","D2 0.5  ","D2 0.75  "
"simple2BR3,3,3","0.0009404","0.9878","PrePrimary8","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"simple2BR3,3,3","0.0009404","0.9878","PrePrimary9","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"simple2BR3,3,3","0.0009404","0.9878","PrePrimary10","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"simple2BR3,3,3","0.0009404","0.9878","Truly Liable","0.5033","0","0.5033","0.605752","1","1","1","1","0.5","0.5","0","0","1","","","","","0","0","1","1","","","","","0","","","","","0","0","0","","1040000","940000","1040000","940000","20000","0","60000","0","0","1","50000","0","0","0","1","0","0.0266243","1","1","0","0","1","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"simple2BR3,3,3","0.0009404","0.9878","Truly Not Liable","0.4967","0","0.4967","0.398681","1","1","1","1","0.5","0.5","0","0","1","","","","","0","0","1","1","","","","","0","","","","","0","0","0","","1040000","940000","1040000","940000","20000","60000","0","0","0","1","50000","0","0","0","0","0","-0.0175156","1","1","0","0","1","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"simple2BR3,3,3","0.0009404","0.9878","AllCount","10000","0","10000","0.5029","10000","10000","10000","10000","0.5","0.5","0","0","10000","","","","","0","0","10000","10000","","","","","0","","","","","0","0","0","","1040000","940000","1040000","940000","20000","29802","30198","0","0","10000","50000","0","0","0","5033","0","0.0047","10000","10000","0","0","10000","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"simple2BR3,3,3","0.0009404","0.9878","Liability Strength1","0.2596","0","0.2596","0.25","1","1","1","1","0.5","0.5","0","0","1","","","","","0","0","1","1","","","","","0","","","","","0","0","0","","1040000","940000","1040000","940000","20000","53967.6","6032.36","0","0","1","50000","0","0","0","0.100539","0","-0.00654854","1","1","0","0","1","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"simple2BR3,3,3","0.0009404","0.9878","Liability Strength2","0.4692","0","0.4692","0.5","1","1","1","1","0.5","0.5","0","0","1","","","","","0","0","1","1","","","","","0","","","","","0","0","0","","1040000","940000","1040000","940000","20000","29539.6","30460.4","0","0","1","50000","0","0","0","0.507673","0","0.0183291","1","1","0","0","1","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"simple2BR3,3,3","0.0009404","0.9878","Liability Strength3","0.2712","0","0.2712","0.75","1","1","1","1","0.5","0.5","0","0","1","","","","","0","0","1","1","","","","","0","","","","","0","0","0","","1040000","940000","1040000","940000","20000","7123.89","52876.1","0","0","1","50000","0","0","0","0.881268","0","-0.00811209","1","1","0","0","1","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"simple2BR3,3,3","0.0009404","0.9878","PLiabilitySignal1","0.2919","0","0.2919","0.391059","1","1","1","1","0.5","0.5","0","0","1","","","","","0","0","1","1","","","","","0","","","","","0","0","0","","1040000","940000","1040000","940000","20000","40781.1","19218.9","0","0","1","50000","0","0","0","0.320315","0","-0.779034","1","1","0","0","1","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"simple2BR3,3,3","0.0009404","0.9878","PLiabilitySignal2","0.4094","0","0.4094","0.507084","1","1","1","1","0.5","0.5","0","0","1","","","","","0","0","1","1","","","","","0","","","","","0","0","0","","1040000","940000","1040000","940000","20000","29428.4","30571.6","0","0","1","50000","0","0","0","0.509526","0","-0.0161212","1","1","0","0","1","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"simple2BR3,3,3","0.0009404","0.9878","PLiabilitySignal3","0.2987","0","0.2987","0.606461","1","1","1","1","0.5","0.5","0","0","1","","","","","0","0","1","1","","","","","0","","","","","0","0","0","","1040000","940000","1040000","940000","20000","19584.9","40415.1","0","0","1","50000","0","0","0","0.673586","0","0.79913","1","1","0","0","1","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"simple2BR3,3,3","0.0009404","0.9878","DLiabilitySignal1","0.2923","0","0.2923","0.39403","1","1","1","1","0.5","0.5","0","0","1","","","","","0","0","1","1","","","","","0","","","","","0","0","0","","1040000","940000","1040000","940000","20000","39267.9","20732.1","0","0","1","50000","0","0","0","0.345535","0","0.795758","1","1","0","0","1","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"simple2BR3,3,3","0.0009404","0.9878","DLiabilitySignal2","0.4133","0","0.4133","0.502722","1","1","1","1","0.5","0.5","0","0","1","","","","","0","0","1","1","","","","","0","","","","","0","0","0","","1040000","940000","1040000","940000","20000","29949.2","30050.8","0","0","1","50000","0","0","0","0.500847","0","0.00411323","1","1","0","0","1","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"simple2BR3,3,3","0.0009404","0.9878","DLiabilitySignal3","0.2944","0","0.2944","0.611243","1","1","1","1","0.5","0.5","0","0","1","","","","","0","0","1","1","","","","","0","","","","","0","0","0","","1040000","940000","1040000","940000","20000","20197","39803","0","0","1","50000","0","0","0","0.663383","0","-0.779891","1","1","0","0","1","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"simple2BR3,3,3","0.0009404","0.9878","MutOptLiability5","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"simple2BR3,3,3","0.0009404","0.9878","MutOptLiability4","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"simple2BR3,3,3","0.0009404","0.9878","MutOptLiability3","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"simple2BR3,3,3","0.0009404","0.9878","MutOptLiability2","0.0588","0","0.0588","0.497449","1","1","1","1","0.5","0.5","0","0","1","","","","","0","0","1","1","","","","","0","","","","","0","0","0","","1040000","940000","1040000","940000","20000","27244.9","32755.1","0","0","1","50000","0","0","0","0.545918","0","2","1","1","0","0","1","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
