"Scenario","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PDoesntFile","P Files","DDoesntAnswer","D Answers","Settles1","DoesntSettle1","PAbandons1","PDoesntAbandon1","DDefaults1","DDoesntDefault1","POrDQuits1","P Loses","P Wins"
"WarmCosts25000","All",1,0,1,0.49645,0.6637,0.632,0.4722,0.3995,0.5,0.5,2.91523E-05,3.61194E-05,0.2526,,,,,0.0734,0.0545,0.2515,0.660835,1035520,938952,-0.00580997,-0.00956827,25532,23517.5,21538.5,0,0,0.2526,75000,0.0734,0.0545,0,0.4953,0,0.0017,0.3363,0.6637,0.0317,0.632,0.2526,0.3794,0.0734,0.306,0.0545,0.2515,0.1279,0.0853,0.1662
"WarmCosts25000","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WarmCosts25000","DisputeArises",1,0,1,0.49645,0.6637,0.632,0.4722,0.3995,0.5,0.5,2.91523E-05,3.61194E-05,0.2526,,,,,0.0734,0.0545,0.2515,0.660835,1035520,938952,-0.00580997,-0.00956827,25532,23517.5,21538.5,0,0,0.2526,75000,0.0734,0.0545,0,0.4953,0,0.0017,0.3363,0.6637,0.0317,0.632,0.2526,0.3794,0.0734,0.306,0.0545,0.2515,0.1279,0.0853,0.1662
"WarmCosts25000","Litigated",0.632,0,0.632,0.599657,1,1,0.747152,0.63212,0.5,0.5,2.91523E-05,3.61194E-05,0.399684,,,,,0.116139,0.0862342,0.397943,0.660835,1049170,910930,-0.00543976,-0.0108388,39897.2,36341,26510.3,0,0,0.399684,75000,0.116139,0.0862342,0,0.644146,0,0.153006,0,1,0,1,0.399684,0.600316,0.116139,0.484177,0.0862342,0.397943,0.202373,0.134968,0.262975
"WarmCosts25000","Settles",0.2526,0,0.2526,0.648324,1,1,1,1,0.5,0.5,2.91523E-05,3.61194E-05,1,,,,,0,0,0,,1065000,915000,-0.00486835,-0.0103063,20000,32953.3,20071.3,0,0,1,75000,0,0,0,0.708234,0,-0.379652,0,1,0,1,1,0,0,0,0,0,0,0,0
"WarmCosts25000","Tried",0.2515,0,0.2515,0.591319,1,1,0.581312,0.367396,,,,,0,,,,,0,0,1,0.660835,1030860,899135,-0.00598769,-0.0115689,70000,48023.9,35870.8,0,0,0,,0,0,0,0.628628,0,0.686282,0,1,0,1,0,1,0,1,0,1,0,0.339165,0.660835
"WarmCosts25000","Abandoned",0.1279,0,0.1279,0.519937,1,1,0.573886,0.426114,,,,,0,,,,,0.573886,0.426114,0,,1053920,926083,-0.00549083,-0.0104549,20000,20058.6,20821,0,0,0,,0.573886,0.426114,0,0.548084,0,0.156372,0,1,0,1,0,1,0.573886,0.426114,0.426114,0,1,0,0
"WarmCosts25000","OneRound",0.632,0,0.632,0.599657,1,1,0.747152,0.63212,0.5,0.5,2.91523E-05,3.61194E-05,0.399684,,,,,0.116139,0.0862342,0.397943,0.660835,1049170,910930,-0.00543976,-0.0108388,39897.2,36341,26510.3,0,0,0.399684,75000,0.116139,0.0862342,0,0.644146,0,0.153006,0,1,0,1,0.399684,0.600316,0.116139,0.484177,0.0862342,0.397943,0.202373,0.134968,0.262975
"WarmCosts25000","TwoRounds",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WarmCosts25000","ThreeRounds",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
