"OptionSet","Exploit","Filter","All","PQuits","DQuits","Settles","Trial","Shifting","ShiftingOccursIfTrial","ShiftingValueIfTrial","POffer","DOffer","AccSq","Accuracy","Accuracy_ForPlaintiff","Accuracy_ForDefendant","SettlementOrJudgment","DsProportionOfCost","DsProportionOfCostIfTrial","TrialValuePreShiftingIfOccurs","TrialValueWithShiftingIfOccurs","PTrialEffect_IfOccurs","DTrialEffect_IfOccurs","ResolutionValueIncludingShiftedAmount","SettlementValue","PWelfare","DWelfare","PQuality","DQuality","NQuality","QualitySum","PBestGuess","DBestGuess","QualitySum_PInfo","QualitySum_DInfo","PBias","DBias","NBias","BiasSum","BiasSum_PInfo","BiasSum_DInfo","Quality","Alpha_Quality","Alpha_Both_Quality","Alpha_Plaintiff_Quality","Alpha_Defendant_Quality","Alpha_Plaintiff_Bias","Alpha_Defendant_Bias","TrialCost","FeeShifting","FSMargin","FeeShiftingThreshold"
"origq100c15t0","0","NBias4",0.2,0,0,0,1,0,0,0,0.861125,0.5,0.076883,0.25115,0.32615,0.17615,0.74885,0.5,0.5,0.74885,0.74885,0.67385,0.17615,0.74885,,0.67385,0.17615,0,0,0,1,0.74885,0.75,1,1,0.4977,0,0.666667,0.4977,0.4977,0,1,0.5,1,0,0,1,0,0.15,1,0,0
"origq100c15t0","0","NBias5",0.2,0,0,0,1,0,0,0,0.861125,0.5,0.076883,0.25115,0.32615,0.17615,0.74885,0.5,0.5,0.74885,0.74885,0.67385,0.17615,0.74885,,0.67385,0.17615,0,0,0,1,0.74885,0.75,1,1,0.4977,0,0.833333,0.4977,0.4977,0,1,0.5,1,0,0,1,0,0.15,1,0,0
"origq100c15t0","0","POffer1",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","POffer2",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","POffer3",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","POffer4",0.5555,0,0,0,1,0,0,0,0.75,0.5,0.109775,0.324647,0.399647,0.249647,0.675353,0.5,0.5,0.675353,0.675353,0.600353,0.249647,0.675353,,0.600353,0.249647,0,0,0,1,0.675353,0.75,1,1,0.350705,0,0.5,0.350705,0.350705,0,1,0.5,1,0,0,1,0,0.15,1,0,0
"origq100c15t0","0","POffer5",0.4445,0,0,0,1,0,0,0,1,0.5,0.035778,0.159299,0.234299,0.0842988,0.840701,0.5,0.5,0.840701,0.840701,0.765701,0.0842988,0.840701,,0.765701,0.0842988,0,0,0,1,0.840701,0.75,1,1,0.681402,0,0.5,0.681402,0.681402,0,1,0.5,1,0,0,1,0,0.15,1,0,0
"origq100c15t0","0","DOffer1",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","DOffer2",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","DOffer3",1,0,0,0,1,0,0,0,0.861125,0.5,0.076883,0.25115,0.32615,0.17615,0.74885,0.5,0.5,0.74885,0.74885,0.67385,0.17615,0.74885,,0.67385,0.17615,0,0,0,1,0.74885,0.75,1,1,0.4977,0,0.5,0.4977,0.4977,0,1,0.5,1,0,0,1,0,0.15,1,0,0
"origq100c15t0","0","DOffer4",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","DOffer5",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","QualitySum1",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","QualitySum2",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","QualitySum3",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","QualitySum4",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","QualitySum5",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","QualitySum6",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","QualitySum7",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","QualitySum8",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","QualitySum9",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","QualitySum10",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","QualitySum11",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","QualitySum12",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","QualitySum13",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","QualitySum14",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","QualitySum15",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","QualitySum16",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","QualitySum17",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","QualitySum18",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","QualitySum19",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","QualitySum20",1,0,0,0,1,0,0,0,0.861125,0.5,0.076883,0.25115,0.32615,0.17615,0.74885,0.5,0.5,0.74885,0.74885,0.67385,0.17615,0.74885,,0.67385,0.17615,0,0,0,1,0.74885,0.75,1,1,0.4977,0,0.5,0.4977,0.4977,0,1,0.5,1,0,0,1,0,0.15,1,0,0
"origq100c15t0","0","PBestGuess1",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","PBestGuess2",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","PBestGuess3",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","PBestGuess4",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","PBestGuess5",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","PBestGuess6",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","PBestGuess7",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","PBestGuess8",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","PBestGuess9",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","PBestGuess10",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","PBestGuess11",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","PBestGuess12",0.2017,0,0,0,1,0,0,0,0.815072,0.5,0.173611,0.416667,0.491667,0.341667,0.583333,0.5,0.5,0.583333,0.583333,0.508333,0.341667,0.583333,,0.508333,0.341667,0,0,0,1,0.583333,0.75,1,1,0.166667,0,0.5,0.166667,0.166667,0,1,0.5,1,0,0,1,0,0.15,1,0,0
"origq100c15t0","0","PBestGuess13",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","PBestGuess14",0.1992,0,0,0,1,0,0,0,0.75,0.5,0.111111,0.333333,0.408333,0.258333,0.666667,0.5,0.5,0.666667,0.666667,0.591667,0.258333,0.666667,,0.591667,0.258333,0,0,0,1,0.666667,0.75,1,1,0.333333,0,0.5,0.333333,0.333333,0,1,0.5,1,0,0,1,0,0.15,1,0,0
"origq100c15t0","0","PBestGuess15",0.2071,0,0,0,1,0,0,0,0.75,0.5,0.0625,0.25,0.325,0.175,0.75,0.5,0.5,0.75,0.75,0.675,0.175,0.75,,0.675,0.175,0,0,0,1,0.75,0.75,1,1,0.5,0,0.5,0.5,0.5,0,1,0.5,1,0,0,1,0,0.15,1,0,0
"origq100c15t0","0","PBestGuess16",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","PBestGuess17",0.1952,0,0,0,1,0,0,0,1,0.5,0.027778,0.166667,0.241667,0.0916667,0.833333,0.5,0.5,0.833333,0.833333,0.758333,0.0916667,0.833333,,0.758333,0.0916667,0,0,0,1,0.833333,0.75,1,1,0.666667,0,0.5,0.666667,0.666667,0,1,0.5,1,0,0,1,0,0.15,1,0,0
"origq100c15t0","0","PBestGuess18",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","PBestGuess19",0.1968,0,0,0,1,0,0,0,1,0.5,0.006944,0.0833333,0.158333,0.00833333,0.916667,0.5,0.5,0.916667,0.916667,0.841667,0.00833333,0.916667,,0.841667,0.00833333,0,0,0,1,0.916667,0.75,1,1,0.833333,0,0.5,0.833333,0.833333,0,1,0.5,1,0,0,1,0,0.15,1,0,0
"origq100c15t0","0","PBestGuess20",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","DBestGuess1",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","DBestGuess2",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","DBestGuess3",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","DBestGuess4",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","DBestGuess5",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","DBestGuess6",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","DBestGuess7",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","DBestGuess8",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","DBestGuess9",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","DBestGuess10",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","DBestGuess11",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","DBestGuess12",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","DBestGuess13",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","DBestGuess14",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","DBestGuess15",1,0,0,0,1,0,0,0,0.861125,0.5,0.076883,0.25115,0.32615,0.17615,0.74885,0.5,0.5,0.74885,0.74885,0.67385,0.17615,0.74885,,0.67385,0.17615,0,0,0,1,0.74885,0.75,1,1,0.4977,0,0.5,0.4977,0.4977,0,1,0.5,1,0,0,1,0,0.15,1,0,0
"origq100c15t0","0","DBestGuess16",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","DBestGuess17",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","DBestGuess18",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","DBestGuess19",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq100c15t0","0","DBestGuess20",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
