"Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","PBargains2","DBargains2","POffer2","DOffer2","POfferMixedness2","DOfferMixedness2","Settles2","PBet2","DBet2","PBetMixedness2","DBetMixedness2","PAbandons2","DDefaults2","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","Settles1","PAbandons1","DDefaults1","Settles2","PAbandons2","DDefaults2","P Loses","P Wins"
"All",1,0,1,0.500707,0.45092,0.2572,1,1,0.447849,0.336029,0.132462,0.0769847,0.16352,,,,,0.00964,0.00356,1,1,0.516153,0.463469,0.0825512,0.0691289,0.06016,,,,,0.00192,0.00076,0.01764,0.657596,1021740,935660,1021740,935660,42600.6,28926.6,32054.6,0,0,0.22368,60190.9,0.01156,0.00432,0.00048,0.5,0,-0.00172,0.45092,0.2572,0.54908,0.19372,0.16352,0.00964,0.00356,0.06016,0.00192,0.00076,0.00604,0.0116
"NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DisputeArises",1,0,1,0.500707,0.45092,0.2572,1,1,0.447849,0.336029,0.132462,0.0769847,0.16352,,,,,0.00964,0.00356,1,1,0.516153,0.463469,0.0825512,0.0691289,0.06016,,,,,0.00192,0.00076,0.01764,0.657596,1021740,935660,1021740,935660,42600.6,28926.6,32054.6,0,0,0.22368,60190.9,0.01156,0.00432,0.00048,0.5,0,-0.00172,0.45092,0.2572,0.54908,0.19372,0.16352,0.00964,0.00356,0.06016,0.00192,0.00076,0.00604,0.0116
"Litigated",0.2572,0,0.2572,0.636081,1,1,1,1,0.447849,0.336029,0.132462,0.0769847,0.63577,,,,,0.0374806,0.0138414,1,1,0.516153,0.463469,0.0825512,0.0691289,0.233904,,,,,0.00746501,0.0029549,0.068585,0.657596,982843,862823,982843,862823,154334,79531.9,69884.9,0,0,0.869673,60190.9,0.0449456,0.0167963,0.00186625,0.683048,0,0.5014,1,1,0,0,0.63577,0.0374806,0.0138414,0.233904,0.00746501,0.0029549,0.0234837,0.0451011
"Settles",0.2237,0,0.22368,0.64637,1,1,1,1,0.437858,0.352468,0.12677,0.07624,0.731044,,,,,0,0,1,1,0.476175,0.502549,0.0711375,0.0614536,0.268956,,,,,0,0,0,,988088,867706,988088,867706,144206,75341.6,66366.2,0,0,1,60190.9,0,0,0,0.695279,0,0.423462,1,1,0,0,0.731044,0,0,0.268956,0,0,0,0
"Tried",0.0176,0,0.01764,0.570673,1,1,1,1,0.530234,0.207105,0.186857,0.0797432,0,,,,,0,0,1,1,0.64059,0.354497,0.11906,0.0908361,0,,,,,0,0,1,0.657596,925000,775000,925000,775000,300000,153118,110658,0,0,0,,0,0,0,0.589569,0,1.31066,1,1,0,0,0,0,0,0,0,0,0.342404,0.657596
"Abandoned",0.0159,0,0.01588,0.563812,1,1,1,1,0.497061,0.247691,0.152212,0.0844108,0,,,,,0.607053,0.224181,1,1,0.594527,0.303483,0.0984599,0.0985449,0,,,,,0.120907,0.0478589,0,,973212,891599,973212,891599,135189,56813.6,74156.2,0,0,0,,0.72796,0.27204,0.0302267,0.61461,0,0.700252,1,1,0,0,0,0.607053,0.224181,0,0.120907,0.0478589,0,0
"OneRound",0.1767,0,0.17672,0.651124,1,1,1,1,0.360269,0.377169,0.113597,0.0740334,0.925306,,,,,0.0545496,0.0201449,1,1,,,,,0,,,,,0,0,0,,994219,885781,994219,885781,120000,60923.5,60173.7,0,0,0.925306,55329.6,0.0545496,0.0201449,0.00271616,0.71005,0,0.283386,1,1,0,0,0.925306,0.0545496,0.0201449,0,0,0,0,0
"TwoRounds",0.0805,0,0.08048,0.603048,1,1,1,1,0.640159,0.245693,0.173886,0.0834653,0,,,,,0,0,1,1,0.516153,0.463469,0.0825512,0.0691289,0.747515,,,,,0.0238569,0.00944334,0.219185,0.657596,957863,812411,957863,812411,229727,120393,91209,0,0,0.747515,73404.3,0.0238569,0.00944334,0,0.623757,0,0.980119,1,1,0,0,0,0,0,0.747515,0.0238569,0.00944334,0.0750497,0.144135
"ThreeRounds",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
