"OptionSet","Exploit","Refine","Filter","All","PQuits","DQuits","Settles","Trial","Shifting","ShiftingOccursIfTrial","ShiftingValueIfTrial","POffer","DOffer","AccSq","Accuracy","Accuracy_ForPlaintiff","Accuracy_ForDefendant","SettlementOrJudgment","DsProportionOfCost","DsProportionOfCostIfTrial","TrialValuePreShiftingIfOccurs","TrialValueWithShiftingIfOccurs","PTrialEffect_IfOccurs","DTrialEffect_IfOccurs","ResolutionValueIncludingShiftedAmount","SettlementValue","PWelfare","DWelfare","PQuality","DQuality","NQuality","QualitySum","PBestGuess","DBestGuess","QualitySum_PInfo","QualitySum_DInfo","PBias","DBias","NBias","BiasSum","BiasSum_PInfo","BiasSum_DInfo","Quality","Alpha_Quality","Alpha_Both_Quality","Alpha_Plaintiff_Quality","Alpha_Defendant_Quality","Alpha_Plaintiff_Bias","Alpha_Defendant_Bias","TrialCost","FeeShifting","FSMargin","FeeShiftingThreshold"
"origq20c30t50","1.156E-06","0.68","All","1","0","0","0","1","0.8372","0.8372","-0.11331","0.881518","0.0714091","0.026948","0.120475","0.178778","0.188982","0.351048","0.1223","0.1223","0.351048","0.237738","0.0877383","0.612262","0.237738","","0.0877383","0.612262","0","0","0","0.2","0.350208","0.35084","0.2","0.2","0.502083","0.5021","0.5","0.502097","0.502083","0.5021","0.2","0.5","1","0","0","0.2","0.8","0.3","1","0","0.5"
"origq20c30t50","1.156E-06","0.68","Settles","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"origq20c30t50","1.156E-06","0.68","Trial","1","0","0","0","1","0.8372","0.8372","-0.11331","0.881518","0.0714091","0.026948","0.120475","0.178778","0.188982","0.351048","0.1223","0.1223","0.351048","0.237738","0.0877383","0.612262","0.237738","","0.0877383","0.612262","0","0","0","0.2","0.350208","0.35084","0.2","0.2","0.502083","0.5021","0.5","0.502097","0.502083","0.5021","0.2","0.5","1","0","0","0.2","0.8","0.3","1","0","0.5"
"origq20c30t50","1.156E-06","0.68","Shifting","0.8372","0","0","0","1","1","1","-0.135344","0.872785","0.0543587","0.017442","0.0904782","0.189288","0.143138","0.326997","0.0488533","0.0488533","0.326997","0.191653","0.0416527","0.658347","0.191653","","0.0416527","0.658347","0","0","0","0.2","0.351921","0.325076","0.2","0.2","0.519211","0.437689","0.5","0.453993","0.519211","0.437689","0.2","0.5","1","0","0","0.2","0.8","0.3","1","0","0.5"
"origq20c30t50","1.156E-06","0.68","PQuality1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"origq20c30t50","1.156E-06","0.68","PQuality2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"origq20c30t50","1.156E-06","0.68","PQuality3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"origq20c30t50","1.156E-06","0.68","PQuality4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"origq20c30t50","1.156E-06","0.68","PQuality5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"origq20c30t50","1.156E-06","0.68","DQuality1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
