"OptionSet","Exploit","Refine","Filter","All","PQuits","DQuits","Settles","Trial","Shifting","ShiftingOccursIfTrial","ShiftingValueIfTrial","POffer","DOffer","AccSq","Accuracy","Accuracy_ForPlaintiff","Accuracy_ForDefendant","SettlementOrJudgment","DsProportionOfCost","DsProportionOfCostIfTrial","TrialValuePreShiftingIfOccurs","TrialValueWithShiftingIfOccurs","PTrialEffect_IfOccurs","DTrialEffect_IfOccurs","ResolutionValueIncludingShiftedAmount","SettlementValue","PWelfare","DWelfare","PQuality","DQuality","NQuality","QualitySum","PBestGuess","DBestGuess","QualitySum_PInfo","QualitySum_DInfo","PBias","DBias","NBias","BiasSum","BiasSum_PInfo","BiasSum_DInfo","Quality","Alpha_Quality","Alpha_Both_Quality","Alpha_Plaintiff_Quality","Alpha_Defendant_Quality","Alpha_Plaintiff_Bias","Alpha_Defendant_Bias","TrialCost","FeeShifting","FSMargin","FeeShiftingThreshold"
"origq0c15t25","-1.301E-17","-5.24E-13","All",1,0,0,0,1,0.4007,0.4007,-0.0300525,1,0.153775,0.071008,0.219764,0.171378,0.294764,0.249817,0.29965,0.29965,0.249817,0.219764,0.144764,0.705236,0.219764,,0.144764,0.705236,0,0,0,0,0.25,0.249817,0,0,0,0.499633,0.5,0.499633,0,0.499633,0,0.5,1,0,0,0,1,0.15,1,0,0.25
"origq0c15t25","-1.301E-17","-5.24E-13","Settles",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq0c15t25","-1.301E-17","-5.24E-13","Trial",1,0,0,0,1,0.4007,0.4007,-0.0300525,1,0.153775,0.071008,0.219764,0.171378,0.294764,0.249817,0.29965,0.29965,0.249817,0.219764,0.144764,0.705236,0.219764,,0.144764,0.705236,0,0,0,0,0.25,0.249817,0,0,0,0.499633,0.5,0.499633,0,0.499633,0,0.5,1,0,0,0,1,0.15,1,0,0.25
"origq0c15t25","-1.301E-17","-5.24E-13","Shifting",0.4007,0,0,0,1,1,1,-0.075,1,0.0098577,0.004252,0.050156,0.0415731,0.125156,0.125156,0,0,0.125156,0.050156,-0.024844,0.874844,0.050156,,-0.024844,0.874844,0,0,0,0,0.25,0.125156,0,0,0,0.250312,0.5,0.250312,0,0.250312,0,0.5,1,0,0,0,1,0.15,1,0,0.25
"origq0c15t25","-1.301E-17","-5.24E-13","PQuality1",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq0c15t25","-1.301E-17","-5.24E-13","PQuality2",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq0c15t25","-1.301E-17","-5.24E-13","PQuality3",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq0c15t25","-1.301E-17","-5.24E-13","PQuality4",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq0c15t25","-1.301E-17","-5.24E-13","PQuality5",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"origq0c15t25","-1.301E-17","-5.24E-13","DQuality1",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
