"Scenario","Filter","All","P2 0.17  ","P2 0.33  ","P2 0.5  ","P2 0.67  ","P2 0.83  "
"CostsMult0","All",1,0,0,0,0,0
"CostsMult0","PLiabilitySignal 1",0.0474,0,0,0,0,0
"CostsMult0","PLiabilitySignal 2",0.0868,0,0,0,0,0
"CostsMult0","PLiabilitySignal 3",0.115,0,0,0,0,0
"CostsMult0","PLiabilitySignal 4",0,,,,,
"CostsMult0","PLiabilitySignal 5",0,,,,,
"CostsMult0.05","All",1,0,0,0,0,0
"CostsMult0.05","PLiabilitySignal 1",0.0544,0,0,0,0,0
"CostsMult0.05","PLiabilitySignal 2",0.0858,0,0,0,0,0
"CostsMult0.05","PLiabilitySignal 3",0.1196,0,0,0,0,0
"CostsMult0.05","PLiabilitySignal 4",0,,,,,
"CostsMult0.05","PLiabilitySignal 5",0,,,,,
"CostsMult0.1","All",1,0,0,0,0,0
"CostsMult0.1","PLiabilitySignal 1",0.1172,0,0,0,0,0
"CostsMult0.1","PLiabilitySignal 2",0.1702,0,0,0,0,0
"CostsMult0.1","PLiabilitySignal 3",0.1674,0,0,0,0,0
"CostsMult0.1","PLiabilitySignal 4",0.2104,0,0,0,0,0
"CostsMult0.1","PLiabilitySignal 5",0,,,,,
"CostsMult0.15000000000000002","All",1,0,0,0,0,0
"CostsMult0.15000000000000002","PLiabilitySignal 1",0.0518,0,0,0,0,0
"CostsMult0.15000000000000002","PLiabilitySignal 2",0.0822,0,0,0,0,0
"CostsMult0.15000000000000002","PLiabilitySignal 3",0.116,0,0,0,0,0
"CostsMult0.15000000000000002","PLiabilitySignal 4",0,,,,,
"CostsMult0.15000000000000002","PLiabilitySignal 5",0,,,,,
"CostsMult0.2","All",1,0,0,0,0,0
"CostsMult0.2","PLiabilitySignal 1",0.1224,0,0,0,0,0
"CostsMult0.2","PLiabilitySignal 2",0.1692,0,0,0,0,0
"CostsMult0.2","PLiabilitySignal 3",0.1618,0,0,0,0,0
"CostsMult0.2","PLiabilitySignal 4",0.2174,0,0,0,0,0
"CostsMult0.2","PLiabilitySignal 5",0,,,,,
"CostsMult0.25","All",1,0,0,0,0.00413437,0.571576
"CostsMult0.25","PLiabilitySignal 1",0,,,,,
"CostsMult0.25","PLiabilitySignal 2",0.1966,0,0,0,0.021025,0.978975
"CostsMult0.25","PLiabilitySignal 3",0.1711,0,0,0,0,1
"CostsMult0.25","PLiabilitySignal 4",0.208,0,0,0,0,1
"CostsMult0.25","PLiabilitySignal 5",0,,,,,
"CostsMult0.30000000000000004","All",1,0,0,0,0,0
"CostsMult0.30000000000000004","PLiabilitySignal 1",0.1078,0,0,0,0,0
"CostsMult0.30000000000000004","PLiabilitySignal 2",0.1592,0,0,0,0,0
"CostsMult0.30000000000000004","PLiabilitySignal 3",0.1692,0,0,0,0,0
"CostsMult0.30000000000000004","PLiabilitySignal 4",0.2256,0,0,0,0,0
"CostsMult0.30000000000000004","PLiabilitySignal 5",0,,,,,
"CostsMult0.35000000000000003","All",1,0,0,0,0,0
"CostsMult0.35000000000000003","PLiabilitySignal 1",0.122,0,0,0,0,0
"CostsMult0.35000000000000003","PLiabilitySignal 2",0.154,0,0,0,0,0
"CostsMult0.35000000000000003","PLiabilitySignal 3",0.1578,0,0,0,0,0
"CostsMult0.35000000000000003","PLiabilitySignal 4",0.2238,0,0,0,0,0
"CostsMult0.35000000000000003","PLiabilitySignal 5",0,,,,,
"CostsMult0.4","All",1,0,0,0,0,0
"CostsMult0.4","PLiabilitySignal 1",0.1068,0,0,0,0,0
"CostsMult0.4","PLiabilitySignal 2",0.1598,0,0,0,0,0
"CostsMult0.4","PLiabilitySignal 3",0.1744,0,0,0,0,0
"CostsMult0.4","PLiabilitySignal 4",0.2316,0,0,0,0,0
"CostsMult0.4","PLiabilitySignal 5",0,,,,,
"CostsMult0.45","All",1,0,0,0,0,0.044708
"CostsMult0.45","PLiabilitySignal 1",0,,,,,
"CostsMult0.45","PLiabilitySignal 2",0,,,,,
"CostsMult0.45","PLiabilitySignal 3",0,,,,,
"CostsMult0.45","PLiabilitySignal 4",0.0447,0,0,0,0,1
"CostsMult0.45","PLiabilitySignal 5",0,,,,,
"CostsMult0.5","All",1,0,0,0,0.569486,0.430514
"CostsMult0.5","PLiabilitySignal 1",0,,,,,
"CostsMult0.5","PLiabilitySignal 2",0.329,0,0,0,1,0
"CostsMult0.5","PLiabilitySignal 3",0.2405,0,0,0,1,0
"CostsMult0.5","PLiabilitySignal 4",0.2541,0,0,0,0,1
"CostsMult0.5","PLiabilitySignal 5",0.1764,0,0,0,0,1
"CostsMult0.55","All",1,0,0,0,0,1
"CostsMult0.55","PLiabilitySignal 1",0,,,,,
"CostsMult0.55","PLiabilitySignal 2",0.3269,0,0,0,0,1
"CostsMult0.55","PLiabilitySignal 3",0.2398,0,0,0,0,1
"CostsMult0.55","PLiabilitySignal 4",0.2617,0,0,0,0,1
"CostsMult0.55","PLiabilitySignal 5",0.1716,0,0,0,0,1
"CostsMult0.6000000000000001","All",1,0,0,0,0,1
"CostsMult0.6000000000000001","PLiabilitySignal 1",0,,,,,
"CostsMult0.6000000000000001","PLiabilitySignal 2",0.3183,0,0,0,0,1
"CostsMult0.6000000000000001","PLiabilitySignal 3",0.2643,0,0,0,0,1
"CostsMult0.6000000000000001","PLiabilitySignal 4",0.2523,0,0,0,0,1
"CostsMult0.6000000000000001","PLiabilitySignal 5",0.1652,0,0,0,0,1
"CostsMult0.65","All",1,0,0,0,0,1
"CostsMult0.65","PLiabilitySignal 1",0,,,,,
