"OptionSet","Exploit","Refine","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins","Round 1 P 1-All","P1 0.2  ","P1 0.4  ","P1 0.6  ","P1 0.8  ","Round 1 D 1-All","D1 0.2  ","D1 0.4  ","D1 0.6  ","D1 0.8  "
"Single","-6.344E-16","1","All","1","0","1","0.5","1","1","1","1","0.5","0.5","","","0.931707","","","","","0","0","0.068293","0.5","10.3329","9.33293","10.3329","9.33293","0.334146","0.280451","0.272781","0","0","0.931707","0.5","0","0","0","0.5","0","7.35524E-17","1","1","0","0","0.931707","0","0","0.0341465","0.0341465","","","","","","","","","",""
"Single","-6.344E-16","1","PrePrimary8","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Single","-6.344E-16","1","PrePrimary9","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Single","-6.344E-16","1","PrePrimary10","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Single","-6.344E-16","1","Truly Liable","0.5","0","0.5","0.604819","1","1","1","1","0.617308","0.617308","","","0.931707","","","","","0","0","0.068293","0.561567","10.4544","9.21141","10.4544","9.21141","0.334146","0.0153404","0.545561","0","0","0.931707","0.625906","0","0","0","1","0","2.25029E-16","1","1","0","0","0.931707","0","0","0.0299419","0.0383511","","","","",""
"Single","-6.344E-16","1","Truly Not Liable","0.5","0","0.5","0.395181","1","1","1","1","0.382692","0.382692","","","0.931707","","","","","0","0","0.068293","0.438433","10.2114","9.45444","10.2114","9.45444","0.334146","0.545561","0","0","0","0.931707","0.374094","0","0","0","0","0","-3.3165E-17","1","1","0","0","0.931707","0","0","0.0383511","0.0299419","","","","",""
"Single","-6.344E-16","1","AllCount","160","0","160","0.5","160","160","160","160","0.5","0.5","","","149.073","","","","","0","0","10.9269","32","10.3329","9.33293","10.3329","9.33293","0.334146","0.280451","0.272781","0","0","149.073","0.5","0","0","0","80","0","7.35524E-17","160","160","0","0","149.073","0","0","5.46343","5.46343","","","","",""
"Single","-6.344E-16","1","Liability Strength1","0.2467","0","0.246747","0.2","1","1","1","1","0.200829","0.200829","","","0.998621","","","","","0","0","0.001379","0.0250333","10.0498","9.64948","10.0498","9.64948","0.30069","0.284952","0.177743","0","0","0.998621","0.200416","0","0","0","0.187064","0","3.06471E-17","1","1","0","0","0.998621","0","0","0.00134495","3.4533E-5","","","","",""
"Single","-6.344E-16","1","Liability Strength2","0.2533","0","0.253253","0.4","1","1","1","1","0.295196","0.295196","","","0.866513","","","","","0","0","0.133487","0.25344","10.0789","9.55434","10.0789","9.55434","0.366744","0.281466","0.349977","0","0","0.866513","0.263646","0","0","0","0.379961","0","4.39373E-17","1","1","0","0","0.866513","0","0","0.0996563","0.0338309","","","","",""
"Single","-6.344E-16","1","Liability Strength3","0.2533","0","0.253253","0.6","1","1","1","1","0.704804","0.704804","","","0.866513","","","","","0","0","0.133487","0.74656","10.5543","9.07891","10.5543","9.07891","0.366744","0.374694","0.276324","0","0","0.866513","0.736354","0","0","0","0.620039","0","2.07239E-17","1","1","0","0","0.866513","0","0","0.0338309","0.0996563","","","","",""
"Single","-6.344E-16","1","Liability Strength4","0.2467","0","0.246747","0.8","1","1","1","1","0.799171","0.799171","","","0.998621","","","","","0","0","0.001379","0.974967","10.6495","9.04983","10.6495","9.04983","0.30069","0.17818","0.284949","0","0","0.998621","0.799584","0","0","0","0.812936","0","4.13261E-16","1","1","0","0","0.998621","0","0","3.45331E-5","0.001345","","","","",""
"Single","-6.344E-16","1","PLiabilitySignal1","0.1858","0","0.185814","0.21833","1","1","1","1","0.2","0.209577","","","1","","","","","0","0","0","","10.0548","9.64521","10.0548","9.64521","0.3","0.281358","0.192753","0","0","1","0.204789","0","0","0","0.204757","0","-0.388143","1","1","0","0","1","0","0","0","0","","","","",""
"Single","-6.344E-16","1","PLiabilitySignal2","0.3142","0","0.314186","0.376601","1","1","1","1","0.2","0.324755","","","1","","","","","0","0","0","","10.1124","9.58762","10.1124","9.58762","0.3","0.253603","0.313736","0","0","1","0.262377","0","0","0","0.363469","0","-0.00669174","1","1","0","0","1","0","0","0","0","","","","",""
"Single","-6.344E-16","1","PLiabilitySignal3","0.3142","0","0.314186","0.623399","1","1","1","1","0.8","0.675245","","","0.792075","","","","","0","0","0.207925","0.488364","10.5332","9.06282","10.5332","9.06282","0.403962","0.355093","0.27417","0","0","0.792075","0.8","0","0","0","0.636531","0","0.00669174","1","1","0","0","0.792075","0","0","0.106382","0.101543","","","","",""
"Single","-6.344E-16","1","PLiabilitySignal4","0.1858","0","0.185814","0.78167","1","1","1","1","0.8","0.790423","","","0.984038","","","","","0","0","0.015962","0.756278","10.6453","9.04671","10.6453","9.04671","0.307981","0.198731","0.281209","0","0","0.984038","0.8","0","0","0","0.795243","0","0.388143","1","1","0","0","0.984038","0","0","0.00389038","0.012072","","","","",""
"Single","-6.344E-16","1","DLiabilitySignal1","0.1858","0","0.185814","0.21833","1","1","1","1","0.209577","0.2","","","0.984038","","","","","0","0","0.015962","0.243722","10.0467","9.64531","10.0467","9.64531","0.307981","0.281817","0.195649","0","0","0.984038","0.2","0","0","0","0.204757","0","0.388143","1","1","0","0","0.984038","0","0","0.012072","0.0038904","","","","",""
"Single","-6.344E-16","1","DLiabilitySignal2","0.3142","0","0.314186","0.376601","1","1","1","1","0.324755","0.2","","","0.792075","","","","","0","0","0.207925","0.511636","10.0628","9.53322","10.0628","9.53322","0.403962","0.298223","0.332503","0","0","0.792075","0.2","0","0","0","0.363469","0","0.00669174","1","1","0","0","0.792075","0","0","0.101543","0.106382","","","","",""
"Single","-6.344E-16","1","DLiabilitySignal3","0.3142","0","0.314186","0.623399","1","1","1","1","0.675245","0.8","","","1","","","","","0","0","0","","10.5876","9.11238","10.5876","9.11238","0.3","0.313736","0.253603","0","0","1","0.737623","0","0","0","0.636531","0","-0.00669174","1","1","0","0","1","0","0","0","0","","","","",""
"Single","-6.344E-16","1","DLiabilitySignal4","0.1858","0","0.185814","0.78167","1","1","1","1","0.790423","0.8","","","1","","","","","0","0","0","","10.6452","9.05479","10.6452","9.05479","0.3","0.192753","0.281358","0","0","1","0.795211","0","0","0","0.795243","0","-0.388143","1","1","0","0","1","0","0","0","0","","","","",""
"Single","-6.344E-16","1","MutOptLiability5","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Single","-6.344E-16","1","MutOptLiability4","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Single","-6.344E-16","1","MutOptLiability3","7.9E-6","0","7.87658E-06","0.5","1","1","1","1","0.8","0.2","","","0","","","","","0","0","1","0.5","10.1","9.1","10.1","9.1","0.8","0.532182","0.420304","0","0","0","","0","0","0","0.5","0","3","1","1","0","0","0","0","0","0.5","0.5","","","","",""
"Single","-6.344E-16","1","MutOptLiability2","0.0059","0","0.00591631","0.5","1","1","1","1","0.8","0.2","","","0","","","","","0","0","1","0.5","10.1","9.1","10.1","9.1","0.8","0.52661","0.411017","0","0","0","","0","0","0","0.5","0","2","1","1","0","0","0","0","0","0.5","0.5","","","","",""
"Single","-6.344E-16","1","MutOptLiability1","0.1947","0","0.194734","0.5","1","1","1","1","0.596083","0.403917","","","0.679723","","","","","0","0","0.320277","0.5","10.2699","9.26993","10.2699","9.26993","0.460138","0.335281","0.299409","0","0","0.679723","0.5","0","0","0","0.5","0","1","1","1","0","0","0.679723","0","0","0.160138","0.160138","","","","",""
