"OptionSet","Exploit","Refine","Filter","All","PQuits","DQuits","Settles","Trial","Shifting","ShiftingOccursIfTrial","ShiftingValueIfTrial","POffer","DOffer","AccSq","Accuracy","Accuracy_ForPlaintiff","Accuracy_ForDefendant","SettlementOrJudgment","DsProportionOfCost","DsProportionOfCostIfTrial","TrialValuePreShiftingIfOccurs","TrialValueWithShiftingIfOccurs","PTrialEffect_IfOccurs","DTrialEffect_IfOccurs","ResolutionValueIncludingShiftedAmount","SettlementValue","PWelfare","DWelfare","PQuality","DQuality","NQuality","QualitySum","PBestGuess","DBestGuess","QualitySum_PInfo","QualitySum_DInfo","PBias","DBias","NBias","BiasSum","BiasSum_PInfo","BiasSum_DInfo","Quality","Alpha_Quality","Alpha_Both_Quality","Alpha_Plaintiff_Quality","Alpha_Defendant_Quality","Alpha_Plaintiff_Bias","Alpha_Defendant_Bias","TrialCost","FeeShifting","FSMargin","FeeShiftingThreshold"
"origq20c15t0","6.785E-17","1","All","1","0","0","0.5617","0.4383","0","0","0","0.377136","0.322182","0.023201","0.133265","0.122157","0.164907","0.332035","0.5","0.5","0.349427","0.349427","0.274427","0.575573","0.332035","0.372194","0.299162","0.635093","0","0","0","0.2","0.34988","0.349547","0.2","0.2","0.4988","0.498867","0.5","0.498853","0.4988","0.498867","0.2","0.5","1","0","0","0.2","0.8","0.15","1","0","0"
"origq20c15t0","6.785E-17","1","Settles","0.5617","0","0","1","0","0","0","0","0.352772","0.391616","0.032902","0.172194","0.172194","0.172194","0.372194","0.5","0.5","0.403157","0.403157","0.328157","0.521843","0.372194","0.372194","0.372194","0.627806","0","0","0","0.2","0.342365","0.410792","0.2","0.2","0.423654","0.651979","0.5","0.606314","0.423654","0.651979","0.2","0.5","1","0","0","0.2","0.8","0.15","1","0","0"
"origq20c15t0","6.785E-17","1","Trial","0.4383","0","0","0","1","0","0","0","0.40836","0.2332","0.01077","0.0833752","0.0580329","0.155569","0.280569","0.5","0.5","0.280569","0.280569","0.205569","0.644431","0.280569","","0.205569","0.644431","0","0","0","0.2","0.35951","0.271059","0.2","0.2","0.595102","0.302647","0.5","0.361138","0.595102","0.302647","0.2","0.5","1","0","0","0.2","0.8","0.15","1","0","0"
"origq20c15t0","6.785E-17","1","Shifting","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"origq20c15t0","6.785E-17","1","PQuality1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"origq20c15t0","6.785E-17","1","PQuality2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"origq20c15t0","6.785E-17","1","PQuality3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"origq20c15t0","6.785E-17","1","PQuality4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"origq20c15t0","6.785E-17","1","PQuality5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"origq20c15t0","6.785E-17","1","DQuality1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"origq20c15t0","6.785E-17","1","DQuality2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"origq20c15t0","6.785E-17","1","DQuality3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"origq20c15t0","6.785E-17","1","DQuality4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"origq20c15t0","6.785E-17","1","DQuality5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"origq20c15t0","6.785E-17","1","NQuality1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"origq20c15t0","6.785E-17","1","NQuality2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"origq20c15t0","6.785E-17","1","NQuality3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"origq20c15t0","6.785E-17","1","NQuality4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"origq20c15t0","6.785E-17","1","NQuality5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"origq20c15t0","6.785E-17","1","PBias1","0.2002","0","0","0.815684","0.184316","0","0","0","0.295455","0.324607","0.014516","0.108076","0.1219","0.115756","0.301932","0.5","0.5","0.318831","0.318831","0.243831","0.606169","0.301932","0.328731","0.288108","0.684244","0","0","0","0.2","0.316667","0.352165","0.2","0.2","0.166667","0.505411","0.5","0.437662","0.166667","0.505411","0.2","0.5","1","0","0","0.2","0.8","0.15","1","0","0"
