"Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","PBargains2","DBargains2","POffer2","DOffer2","POfferMixedness2","DOfferMixedness2","Settles2","PBet2","DBet2","PBetMixedness2","DBetMixedness2","PAbandons2","DDefaults2","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","Settles1","PAbandons1","DDefaults1","Settles2","PAbandons2","DDefaults2","P Loses","P Wins"
"All",1,0,1,0.75,0.98308,0.40616,0.289,0.39652,0.536994,0.524763,0.0635699,0.0680153,0.22896,,,,,0.00064,0.00212,0.17128,0.16676,0.536793,0.51771,0.0392033,0.0736576,0.14148,,,,,0.00068,0.00064,0.03164,1,1075940,854356,1075940,854356,69702.6,46577.6,29225.6,0,0,0.37044,81176.4,0.00132,0.00276,0,1,0,0,0.98308,0.40616,0.01692,0.57692,0.22896,0.00064,0.00212,0.14148,0.00068,0.00064,0,0.03164
"NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DisputeArises",1,0,1,0.75,0.98308,0.40616,0.289,0.39652,0.536994,0.524763,0.0635699,0.0680153,0.22896,,,,,0.00064,0.00212,0.17128,0.16676,0.536793,0.51771,0.0392033,0.0736576,0.14148,,,,,0.00068,0.00064,0.03164,1,1075940,854356,1075940,854356,69702.6,46577.6,29225.6,0,0,0.37044,81176.4,0.00132,0.00276,0,1,0,0,0.98308,0.40616,0.01692,0.57692,0.22896,0.00064,0.00212,0.14148,0.00068,0.00064,0,0.03164
"Litigated",0.4062,0,0.40616,0.75,1,1,0.711542,0.976266,0.536994,0.524763,0.0635699,0.0680153,0.563719,,,,,0.00157573,0.00521962,0.421706,0.410577,0.536793,0.51771,0.0392033,0.0736576,0.348336,,,,,0.00167422,0.00157573,0.0779,1,1016520,854475,1016520,854475,129001,76823.4,52295.2,0,0,0.912054,81176.4,0.00324995,0.00679535,0,1,0,0,1,1,0,0,0.563719,0.00157573,0.00521962,0.348336,0.00167422,0.00157573,0,0.0779003
"Settles",0.3704,0,0.37044,0.75,1,1,0.729835,0.995249,0.531782,0.53441,0.0638621,0.0667138,0.618076,,,,,0,0,0.381924,0.381924,0.532601,0.552894,0.0379654,0.0703665,0.381924,,,,,0,0,0,,1020080,857730,1020080,857730,122187,73837.6,48349,0,0,1,81176.4,0,0,0,1,0,0,1,1,0,0,0.618076,0,0,0.381924,0,0,0,0
"Tried",0.0316,0,0.03164,0.75,1,1,0.548673,0.783818,0.607253,0.39249,0.0591481,0.0859402,0,,,,,0,0,0.912769,0.771176,0.557166,0.351047,0.0446683,0.0889866,0,,,,,0,0,1,1,971612,818388,971612,818388,210000,111163,98836.9,0,0,0,,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"Abandoned",0.0041,0,0.00408,0.75,1,1,0.313725,0.745098,0.646667,0.38,0.069942,0.0855403,0,,,,,0.156863,0.519608,0.22549,0.215686,0.533333,0.366667,0.061025,0.0985767,0,,,,,0.166667,0.156863,0,,1041690,838750,1041690,838750,119559,81617.6,49656.9,0,0,0,,0.323529,0.676471,0,1,0,0,1,1,0,0,0,0.156863,0.519608,0,0.166667,0.156863,0,0
"OneRound",0.2317,0,0.23172,0.75,1,1,0.991369,0.996548,0.478276,0.501861,0.0714643,0.0645652,0.988089,,,,,0.00276195,0.00914897,0,0,,,,,0,,,,,0,0,0,,1021510,873495,1021510,873495,105000,63287.2,41901.9,0,0,0.988089,73508.5,0.00276195,0.00914897,0,1,0,0,1,1,0,0,0.988089,0.00276195,0.00914897,0,0,0,0,0
"TwoRounds",0.1744,0,0.17444,0.75,1,1,0.33983,0.949324,0.617059,0.555992,0.0528055,0.0727197,0,,,,,0,0,0.981885,0.955973,0.536793,0.51771,0.0392033,0.0736576,0.811053,,,,,0.00389819,0.00366888,0.18138,1,1009910,829209,1009910,829209,160883,94804.5,66101.2,0,0,0.811053,93585.7,0.00389819,0.00366888,0,1,0,0,1,1,0,0,0,0,0,0.811053,0.00389819,0.00366888,0,0.18138
"ThreeRounds",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
