"Filter","All","D1 0.17  ","D1 0.33  ","D1 0.5  ","D1 0.67  ","D1 0.83  "
"All",1,0.92393,0.00340136,0.0110844,0.00132053,0.0602641
"DSignal Liab 1 Dam 1",0.0355,1,0,0,0,0
"DSignal Liab 1 Dam 2",0.0382,1,0,0,0,0
"DSignal Liab 1 Dam 3",0.0387,0.998965,0,0.0010352,0,0
"DSignal Liab 1 Dam 4",0.0407,0.998031,0.000984252,0.000984252,0,0
"DSignal Liab 1 Dam 5",0.0397,0.996976,0.00201613,0,0.00100806,0
"DSignal Liab 2 Dam 1",0.0397,0.997984,0,0,0,0.00201613
"DSignal Liab 2 Dam 2",0.0406,0.997044,0.00197044,0.000985222,0,0
"DSignal Liab 2 Dam 3",0.0398,0.995976,0.00402414,0,0,0
"DSignal Liab 2 Dam 4",0.0392,0.998979,0.00102145,0,0,0
"DSignal Liab 2 Dam 5",0.0373,0.998926,0,0.00107411,0,0
"DSignal Liab 3 Dam 1",0.0479,0.997492,0.00167224,0,0,0.00083612
"DSignal Liab 3 Dam 2",0.0477,0.994966,0.00419463,0.000838926,0,0
"DSignal Liab 3 Dam 3",0.0449,0.993761,0.00356506,0.000891266,0.00178253,0
"DSignal Liab 3 Dam 4",0.0481,0.995844,0.00332502,0.000831255,0,0
"DSignal Liab 3 Dam 5",0.0459,0.995645,0.00261324,0.00174216,0,0
"DSignal Liab 4 Dam 1",0.0397,0.993958,0.0040282,0.00100705,0,0.00100705
"DSignal Liab 4 Dam 2",0.0377,0.991498,0.0053135,0.0031881,0,0
"DSignal Liab 4 Dam 3",0.0383,0.996865,0,0.0031348,0,0
"DSignal Liab 4 Dam 4",0.0373,0.961332,0.0118153,0.0236305,0.00322234,0
"DSignal Liab 4 Dam 5",0.0369,0.93167,0.0140998,0.0433839,0.00867679,0.0021692
"DSignal Liab 5 Dam 1",0.0389,0.983556,0.0061665,0.00924974,0.00102775,0
"DSignal Liab 5 Dam 2",0.0371,0.900862,0.00646552,0.0905172,0.00215517,0
"DSignal Liab 5 Dam 3",0.0371,0.897519,0.00755124,0.0862999,0.00862999,0
"DSignal Liab 5 Dam 4",0.0374,0.312299,0.00427807,0.0278075,0.00641711,0.649198
"DSignal Liab 5 Dam 5",0.0359,0,0.00111607,0,0.00223214,0.996652
