"Scenario","Filter","All","P3 0.17  ","P3 0.33  ","P3 0.5  ","P3 0.67  ","P3 0.83  "
"WarmCosts25000","All",1,0.00328751,0.00328751,0.0083682,0.00567842,0.019725
"WarmCosts25000","PLiabilitySignal 1",0.0003,0,0,0,0,0
"WarmCosts25000","PLiabilitySignal 2",0.0672,0,0.00888889,0.00888889,0.00888889,0
"WarmCosts25000","PLiabilitySignal 3",0.2812,0.0010627,0.0063762,0.00743889,0.0116897,0.0063762
"WarmCosts25000","PLiabilitySignal 4",0.1073,0.00835655,0.00835655,0.0501393,0.0111421,0.0529248
"WarmCosts25000","PLiabilitySignal 5",0.0287,0.0729167,0,0.0104167,0.0208333,0.427083
"WarmCosts0","All",1,0.00134517,0.00484262,0.00780199,0.0134517,0.0182943
"WarmCosts0","PLiabilitySignal 1",0,,,,,
"WarmCosts0","PLiabilitySignal 2",0.0315,0.017094,0.025641,0.102564,0.0598291,0.0512821
"WarmCosts0","PLiabilitySignal 3",0.1464,0.00551471,0.0147059,0.03125,0.0772059,0.0367647
"WarmCosts0","PLiabilitySignal 4",0.0178,0,0.106061,0,0.0151515,0.636364
"WarmCosts0","PLiabilitySignal 5",0.0003,0,0,0,0,0
"WarmCosts5000","All",1,0.00573614,0.0191205,0.0332696,0.0351816,0.0198853
"WarmCosts5000","PLiabilitySignal 1",0,,,,,
"WarmCosts5000","PLiabilitySignal 2",0.0417,0.0458716,0.357798,0.357798,0.0642202,0.0642202
"WarmCosts5000","PLiabilitySignal 3",0.2153,0.0142096,0.017762,0.0852575,0.147425,0.062167
"WarmCosts5000","PLiabilitySignal 4",0.078,0.00980392,0.00490196,0,0.00980392,0.0490196
"WarmCosts5000","PLiabilitySignal 5",0.013,0,0,0,0,0
"WarmCosts10000","All",1,0,0.000313185,0,0,0
"WarmCosts10000","PLiabilitySignal 1",0,,,,,
"WarmCosts10000","PLiabilitySignal 2",0.0354,0,0.00884956,0,0,0
"WarmCosts10000","PLiabilitySignal 3",0.279,0,0,0,0,0
"WarmCosts10000","PLiabilitySignal 4",0.0063,0,0,0,0,0
"WarmCosts10000","PLiabilitySignal 5",0,,,,,
"WarmCosts15000","All",1,0.00023912,0,0.00143472,0.00047824,0.00095648
"WarmCosts15000","PLiabilitySignal 1",0,,,,,
"WarmCosts15000","PLiabilitySignal 2",0.1437,0,0,0,0,0
"WarmCosts15000","PLiabilitySignal 3",0.2152,0.00111111,0,0.00555556,0.00111111,0.00444444
"WarmCosts15000","PLiabilitySignal 4",0.0485,0,0,0.00492611,0.00492611,0
"WarmCosts15000","PLiabilitySignal 5",0.0007,0,0,0,0,0
