"Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","PBargains2","DBargains2","POffer2","DOffer2","POfferMixedness2","DOfferMixedness2","Settles2","PBet2","DBet2","PBetMixedness2","DBetMixedness2","PAbandons2","DDefaults2","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","Settles1","PAbandons1","DDefaults1","Settles2","PAbandons2","DDefaults2","P Loses","P Wins"
"All",1,0,1,0.500707,0.93604,0.80736,0.67812,0.62832,0.664761,0.276862,0.120264,0.115111,0.11668,,,,,0.00532,0.00356,0.5334,0.56132,0.613643,0.34768,0.0789573,0.0708339,0.14068,,,,,0.00308,0.002,0.53604,0.490038,1025940,923564,1025940,923564,50492.2,34822,26771.8,0,0,0.25736,47176.5,0.0084,0.00556,4E-05,0.5,0,0.00672,0.93604,0.80736,0.06396,0.12868,0.11668,0.00532,0.00356,0.14068,0.00308,0.002,0.27336,0.26268
"NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DisputeArises",1,0,1,0.500707,0.93604,0.80736,0.67812,0.62832,0.664761,0.276862,0.120264,0.115111,0.11668,,,,,0.00532,0.00356,0.5334,0.56132,0.613643,0.34768,0.0789573,0.0708339,0.14068,,,,,0.00308,0.002,0.53604,0.490038,1025940,923564,1025940,923564,50492.2,34822,26771.8,0,0,0.25736,47176.5,0.0084,0.00556,4E-05,0.5,0,0.00672,0.93604,0.80736,0.06396,0.12868,0.11668,0.00532,0.00356,0.14068,0.00308,0.002,0.27336,0.26268
"Litigated",0.8074,0,0.80736,0.483105,1,1,0.839923,0.77824,0.664761,0.276862,0.120264,0.115111,0.14452,,,,,0.00658938,0.00440943,0.660672,0.695254,0.613643,0.34768,0.0789573,0.0708339,0.174247,,,,,0.0038149,0.00247721,0.663942,0.490038,1017790,921264,1017790,921264,60946,40480.1,30735.9,0,0,0.318767,47176.5,0.0104043,0.00688664,4.95442E-05,0.475476,0,0.259859,1,1,0,0,0.14452,0.00658938,0.00440943,0.174247,0.0038149,0.00247721,0.338585,0.325357
"Settles",0.2574,0,0.25736,0.470133,1,1,0.940006,0.864159,0.513237,0.344524,0.115628,0.137408,0.453373,,,,,0,0,0.546627,0.546627,0.57323,0.604097,0.0710645,0.0570659,0.546627,,,,,0,0,0,,1025580,931224,1025580,931224,43199.4,30775.6,27759,0,0,1,47176.5,0,0,0,0.457258,0,-0.847062,1,1,0,0,0.453373,0,0,0.546627,0,0,0,0
"Tried",0.536,0,0.53604,0.490013,1,1,0.795985,0.740019,0.758315,0.235004,0.123208,0.101349,0,,,,,0,0,0.72711,0.779121,0.635141,0.21164,0.0830836,0.0780928,0,,,,,0,0,1,0.490038,1014000,915996,1014000,915996,70000,45373.1,32334.9,0,0,0,,0,0,0,0.485934,0,0.801134,1,1,0,0,0,0,0,0,0,0,0.509962,0.490038
"Abandoned",0.014,0,0.01396,0.45702,1,1,0.681948,0.661891,0.646943,0.289941,0.114591,0.11744,0,,,,,0.381089,0.255014,0.212034,0.2149,0.611111,0.285714,0.0939693,0.0839608,0,,,,,0.22063,0.143266,0,,1019600,939943,1019600,939943,40458.5,31504.3,24219.2,0,0,0,,0.601719,0.398281,0.00286533,0.409742,0,-0.117479,1,1,0,0,0,0.381089,0.255014,0,0.22063,0.143266,0,0
"OneRound",0.1256,0,0.12556,0.432675,1,1,0.978656,0.972921,0.39462,0.427121,0.113443,0.110034,0.929277,,,,,0.0423702,0.028353,0,0,,,,,0,,,,,0,0,0,,1023470,941529,1023470,941529,35000,27802.4,21101.5,0,0,0.929277,41038.2,0.0423702,0.028353,0.000318573,0.387066,0,-0.911437,1,1,0,0,0.929277,0.0423702,0.028353,0,0,0,0,0
"TwoRounds",0.6818,0,0.6818,0.492393,1,1,0.814374,0.742388,0.722535,0.244728,0.121722,0.116197,0,,,,,0,0,0.782341,0.823291,0.613643,0.34768,0.0789573,0.0708339,0.206336,,,,,0.00451745,0.00293341,0.786213,0.490038,1016740,917532,1016740,917532,65724.3,42814.8,32510.2,0,0,0.206336,52267.6,0.00451745,0.00293341,0,0.491757,0,0.475565,1,1,0,0,0,0,0,0.206336,0.00451745,0.00293341,0.400939,0.385274
"ThreeRounds",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
