"Filter","All","D2 0.17  ","D2 0.33  ","D2 0.5  ","D2 0.67  ","D2 0.83  "
"All",1,0.10618,0.647491,0.0081491,0.235759,0.00242053
"DSignal Liab 1 Dam 1",0.0007,1,0,0,0,0
"DSignal Liab 1 Dam 2",0.0031,1,0,0,0,0
"DSignal Liab 1 Dam 3",0.0038,1,0,0,0,0
"DSignal Liab 1 Dam 4",0.0041,1,0,0,0,0
"DSignal Liab 1 Dam 5",0.0031,1,0,0,0,0
"DSignal Liab 2 Dam 1",0.0106,1,0,0,0,0
"DSignal Liab 2 Dam 2",0.0236,0.993174,0.00341297,0,0.00341297,0
"DSignal Liab 2 Dam 3",0.0267,0.138973,0.861027,0,0,0
"DSignal Liab 2 Dam 4",0.025,0.132258,0.864516,0.00322581,0,0
"DSignal Liab 2 Dam 5",0.0292,0.243094,0.756906,0,0,0
"DSignal Liab 3 Dam 1",0.0382,0.240506,0.757384,0.0021097,0,0
"DSignal Liab 3 Dam 2",0.0546,0.181684,0.818316,0,0,0
"DSignal Liab 3 Dam 3",0.0662,0.0134146,0.985366,0.00121951,0,0
"DSignal Liab 3 Dam 4",0.0699,0.142032,0.852194,0.00461894,0,0.00115473
"DSignal Liab 3 Dam 5",0.0704,0.168578,0.821101,0.0103211,0,0
"DSignal Liab 4 Dam 1",0.0569,0,0.997163,0.00283688,0,0
"DSignal Liab 4 Dam 2",0.0579,0.00139276,0.990251,0.00835655,0,0
"DSignal Liab 4 Dam 3",0.0673,0.00479616,0.985612,0.00719424,0.00239808,0
"DSignal Liab 4 Dam 4",0.0687,0,0.00821596,0.00586854,0.984742,0.00117371
"DSignal Liab 4 Dam 5",0.0699,0,0.00230947,0.0115473,0.966513,0.0196305
"DSignal Liab 5 Dam 1",0.0759,0.0010627,0.989373,0.0063762,0.0031881,0
"DSignal Liab 5 Dam 2",0.0738,0.0120219,0.921311,0.0469945,0.0196721,0
"DSignal Liab 5 Dam 3",0.0754,0,0.00321199,0.00749465,0.988223,0.00107066
"DSignal Liab 5 Dam 4",0.0246,0,0,0,0.980328,0.0196721
"DSignal Liab 5 Dam 5",0.0003,0,0,0,0,1
