                                      	Total        	SocWel1      	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	InvDel       	UserUt       	PrvWel       	SocWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	0.2026       	1             	0.8072       	3.443           	0.07567       	--           	0.1391       	0.2913       	0            	1.063        	0.06338      	0.1392       	0.2026       	0.2026       	0.4701       	0.4715         	--             	--            
FirstTries                            	8072         	0.257        	1             	1            	4.265           	0.08777       	0.06277      	0.1723       	0.2913       	0            	1.084        	0.08449      	0.1725       	0.257        	0.257        	0.5824       	0.4715         	0.5844         	0.5844        
SomeoneTries                          	8072         	0.257        	1             	1            	4.265           	0.08777       	0.06277      	0.1723       	0.2913       	0            	1.084        	0.08449      	0.1725       	0.257        	0.257        	0.5824       	0.4715         	0.5844         	0.5844        
NooneTries                            	1928         	-0.025       	1             	0            	0               	0.025         	--           	0            	--           	0            	0.975        	-0.025       	0            	-0.025       	-0.025       	0            	0.4715         	--             	--            
InventionOccurs                       	4701         	0.5039       	1             	1            	4.941           	0.08804       	0.06304      	0.2958       	0.2913       	0            	1.208        	0.2078       	0.2962       	0.5039       	0.5039       	1            	0.4715         	0.6255         	0.6255        
InadvertentInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	4697         	0.5044       	1             	1            	4.941           	0.08806       	0.06306      	0.296        	0.2915       	0            	1.208        	0.208        	0.2964       	0.5044       	0.5044       	1            	0.4715         	0.6255         	0.6255        
IntentionalInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsed                         	4697         	0.5044       	1             	1            	4.941           	0.08806       	0.06306      	0.296        	0.2915       	0            	1.208        	0.208        	0.2964       	0.5044       	0.5044       	1            	0.4715         	0.6255         	0.6255        
AllHighValue                          	1908         	0.4728       	1             	1            	5.201           	0.1127        	0.0877       	0.2856       	0.4269       	0            	1.173        	0.1729       	0.2999       	0.4728       	0.4728       	0.6494       	0.4715         	0.6418         	0.6418        
FirstTriesHighValue                   	1908         	0.4728       	1             	1            	5.201           	0.1127        	0.0877       	0.2856       	0.4269       	0            	1.173        	0.1729       	0.2999       	0.4728       	0.4728       	0.6494       	0.4715         	0.6418         	0.6418        
SomeoneTriesHighValue                 	1908         	0.4728       	1             	1            	5.201           	0.1127        	0.0877       	0.2856       	0.4269       	0            	1.173        	0.1729       	0.2999       	0.4728       	0.4728       	0.6494       	0.4715         	0.6418         	0.6418        
NooneTriesHighValue                   	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionOccursHighValue              	1239         	0.7903       	1             	1            	5.746           	0.1113        	0.08626      	0.4398       	0.4269       	0            	1.329        	0.3285       	0.4618       	0.7903       	0.7903       	1            	0.4715         	0.6741         	0.6741        
InadvertentHighValue                  	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	1239         	0.7903       	1             	1            	5.746           	0.1113        	0.08626      	0.4398       	0.4269       	0            	1.329        	0.3285       	0.4618       	0.7903       	0.7903       	1            	0.4715         	0.6741         	0.6741        
IntentionalInfringementHighValue      	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	1239         	0.7903       	1             	1            	5.746           	0.1113        	0.08626      	0.4398       	0.4269       	0            	1.329        	0.3285       	0.4618       	0.7903       	0.7903       	1            	0.4715         	0.6741         	0.6741        
